"Estacion","Fecha inicial","Fecha final","PM10"
"BASE AÉREA","2004-10-22","","4.44285714"
"BASE AÉREA","2004-10-21","","4.16208333"
"BASE AÉREA","2004-10-20","","4.01083333"
"BASE AÉREA","2004-10-19","","3.865"
"BASE AÉREA","2004-10-18","","15.24608696"
"BASE AÉREA","2004-10-17","","25.61625"
"BASE AÉREA","2004-10-16","","38.52833333"
"BASE AÉREA","2004-10-15","","44.35708333"
"BASE AÉREA","2004-10-14","","40.1375"
"BASE AÉREA","2004-10-13","","43.85208333"
"BASE AÉREA","2004-10-12","","21.53"
"BASE AÉREA","2004-10-11","","32.22833333"
"BASE AÉREA","2004-10-10","","29.15291667"
"BASE AÉREA","2004-10-09","","47.59208333"
"BASE AÉREA","2004-10-08","","41.0525"
"BASE AÉREA","2004-10-07","","25.11708333"
"BASE AÉREA","2004-10-06","","24.77375"
"BASE AÉREA","2004-10-05","","30.2325"
"BASE AÉREA","2004-10-04","","34.96333333"
"BASE AÉREA","2004-10-03","","34.4475"
"BASE AÉREA","2004-10-02","","37.44375"
"BASE AÉREA","2004-10-01","","28.09833333"
"BASE AÉREA","2004-09-30","","38.0475"
"BASE AÉREA","2004-09-29","","49.08625"
"BASE AÉREA","2004-09-28","","36.15583333"
"BASE AÉREA","2004-09-27","","28.32416667"
"BASE AÉREA","2004-09-26","","23.87958333"
"BASE AÉREA","2004-09-25","","35.35913043"
"BASE AÉREA","2004-09-24","","52.01208333"
"BASE AÉREA","2004-09-23","","51.52166667"
"BASE AÉREA","2004-09-22","","33.66708333"
"BASE AÉREA","2004-09-21","","35.67333333"
"BASE AÉREA","2004-09-20","","40.53958333"
"BASE AÉREA","2004-09-19","","38.41958333"
"BASE AÉREA","2004-09-18","","38.01958333"
"BASE AÉREA","2004-09-17","","38.62291667"
"BASE AÉREA","2004-09-16","","38.38791667"
"BASE AÉREA","2004-09-15","","40.2265"
"BASE AÉREA","2004-09-14","","39.62958333"
"BASE AÉREA","2004-09-13","","40.625"
"BASE AÉREA","2004-09-12","","33.87583333"
"BASE AÉREA","2004-09-11","","33.95208333"
"BASE AÉREA","2004-09-10","","29.73416667"
"BASE AÉREA","2004-09-09","","29.93375"
"BASE AÉREA","2004-09-08","","28.96583333"
"BASE AÉREA","2004-09-07","","38.66291667"
"BASE AÉREA","2004-09-06","","33.00541667"
"BASE AÉREA","2004-09-05","","22.33958333"
"BASE AÉREA","2004-09-04","","28.85041667"
"BASE AÉREA","2004-09-03","","50.80041667"
"BASE AÉREA","2004-09-02","","48.88125"
"BASE AÉREA","2004-09-01","","43.84791667"
"BASE AÉREA","2004-08-31","","43.89833333"
"BASE AÉREA","2004-08-30","","41.77875"
"BASE AÉREA","2004-08-29","","22.65375"
"BASE AÉREA","2004-08-28","","25.335"
"BASE AÉREA","2004-08-27","","40.87583333"
"BASE AÉREA","2004-08-26","","44.27125"
"BASE AÉREA","2004-08-25","","45.93333333"
"BASE AÉREA","2004-08-24","","43.83125"
"BASE AÉREA","2004-08-23","","40.09083333"
"BASE AÉREA","2004-08-22","","42.73958333"
"BASE AÉREA","2004-08-21","","37.97791667"
"BASE AÉREA","2004-08-20","","45.43375"
"BASE AÉREA","2004-08-19","","53.4225"
"BASE AÉREA","2004-08-18","","37.82727273"
"BASE AÉREA","2004-08-17","","35.765"
"BASE AÉREA","2004-08-16","","38.14833333"
"BASE AÉREA","2004-08-15","","34.35458333"
"BASE AÉREA","2004-08-14","","50.86333333"
"BASE AÉREA","2004-08-13","","58.54083333"
"BASE AÉREA","2004-08-12","","49.10166667"
"BASE AÉREA","2004-08-11","","45.05375"
"BASE AÉREA","2004-08-10","","45.46875"
"BASE AÉREA","2004-08-09","","45.47125"
"BASE AÉREA","2004-08-08","","45.20333333"
"BASE AÉREA","2004-08-07","","57.73375"
"BASE AÉREA","2004-08-06","","52.78833333"
"BASE AÉREA","2004-08-05","","36.82416667"
"BASE AÉREA","2004-08-04","","41.38958333"
"BASE AÉREA","2004-08-03","","44.43208333"
"BASE AÉREA","2004-08-02","","38.87625"
"BASE AÉREA","2004-08-01","","36.91458333"
"BASE AÉREA","2004-07-31","","42.49833333"
"BASE AÉREA","2004-07-30","","45.53458333"
"BASE AÉREA","2004-07-29","","26.89416667"
"BASE AÉREA","2004-07-28","","34.4575"
"BASE AÉREA","2004-07-27","","34.3095"
"BASE AÉREA","2004-07-26","","37.27166667"
"BASE AÉREA","2004-07-25","","30.26875"
"BASE AÉREA","2004-07-24","","30.89875"
"BASE AÉREA","2004-07-23","","30.34333333"
"BASE AÉREA","2004-07-22","","47.22833333"
"BASE AÉREA","2004-07-21","","37.09833333"
"BASE AÉREA","2004-07-20","","32.66708333"
"BASE AÉREA","2004-07-19","","41.778125"
"BASE AÉREA","2004-07-18","","45.73041667"
"BASE AÉREA","2004-07-17","","56.66208333"
"BASE AÉREA","2004-07-16","","45.64125"
"BASE AÉREA","2004-07-15","","38.79416667"
"BASE AÉREA","2004-07-14","","28.71416667"
"BASE AÉREA","2004-07-13","","26.38208333"
"BASE AÉREA","2004-07-12","","31.40529412"
"BASE AÉREA","2004-07-11","","34.2425"
"BASE AÉREA","2004-07-10","","35.55708333"
"BASE AÉREA","2004-07-09","","33.6625"
"BASE AÉREA","2004-07-08","","35.0825"
"BASE AÉREA","2004-07-07","","34.55541667"
"BASE AÉREA","2004-07-06","","31.09291667"
"BASE AÉREA","2004-07-05","","31.89125"
"BASE AÉREA","2004-07-04","","35.24652174"
"BASE AÉREA","2004-07-03","","36.39875"
"BASE AÉREA","2004-07-02","","38.78791667"
"BASE AÉREA","2004-07-01","","39.2925"
"BASE AÉREA","2004-06-30","","47.67666667"
"BASE AÉREA","2004-06-29","","49.42791667"
"BASE AÉREA","2004-06-28","","43.43416667"
"BASE AÉREA","2004-06-27","","43.91916667"
"BASE AÉREA","2004-06-26","","46.48916667"
"BASE AÉREA","2004-06-25","","42.56416667"
"BASE AÉREA","2004-06-24","","56.46791667"
"BASE AÉREA","2004-06-23","","44.21875"
"BASE AÉREA","2004-06-22","","38.37416667"
"BASE AÉREA","2004-06-21","","38.30041667"
"BASE AÉREA","2004-06-20","","28.00208333"
"BASE AÉREA","2004-06-19","","44.71333333"
"BASE AÉREA","2004-06-18","","51.26416667"
"BASE AÉREA","2004-06-17","","46.25916667"
"BASE AÉREA","2004-06-16","","49.25791667"
"BASE AÉREA","2004-06-15","","40.56666667"
"BASE AÉREA","2004-06-14","","37.60791667"
"BASE AÉREA","2004-06-13","","40.46041667"
"BASE AÉREA","2004-06-12","","48.52041667"
"BASE AÉREA","2004-06-11","","46.99083333"
"BASE AÉREA","2004-06-10","","46.44291667"
"BASE AÉREA","2004-06-09","","46.14875"
"BASE AÉREA","2004-06-08","","54.38952381"
"BASE AÉREA","2004-06-07","","35.81291667"
"BASE AÉREA","2004-06-06","","25.82625"
"BASE AÉREA","2004-06-05","","34.02958333"
"BASE AÉREA","2004-06-04","","42.60458333"
"BASE AÉREA","2004-06-03","","38.17833333"
"BASE AÉREA","2004-06-02","","38.74166667"
"BASE AÉREA","2004-06-01","","47.53875"
"BASE AÉREA","2004-05-31","","39.59833333"
"BASE AÉREA","2004-05-30","","34.10916667"
"BASE AÉREA","2004-05-29","","24.32869565"
"BASE AÉREA","2004-05-28","","30.19208333"
"BASE AÉREA","2004-05-27","","35.67541667"
"BASE AÉREA","2004-05-26","","42.91041667"
"BASE AÉREA","2004-05-25","","39.42125"
"BASE AÉREA","2004-05-24","","31.65333333"
"BASE AÉREA","2004-05-23","","40.52083333"
"BASE AÉREA","2004-05-22","","35.55666667"
"BASE AÉREA","2004-05-21","","28.57916667"
"BASE AÉREA","2004-05-20","","20.65208333"
"BASE AÉREA","2004-05-19","","24.41958333"
"BASE AÉREA","2004-05-18","","44.72625"
"BASE AÉREA","2004-05-17","","29.01375"
"BASE AÉREA","2004-05-16","","34.39"
"BASE AÉREA","2004-05-15","","55.78625"
"BASE AÉREA","2004-05-14","","48.06916667"
"BASE AÉREA","2004-05-13","","37.91541667"
"BASE AÉREA","2004-05-12","","45.1395"
"BASE AÉREA","2004-05-11","","46.93875"
"BASE AÉREA","2004-05-10","","44.63333333"
"BASE AÉREA","2004-05-09","","33.11458333"
"BASE AÉREA","2004-05-08","","40.65541667"
"BASE AÉREA","2004-05-07","","40.27583333"
"BASE AÉREA","2004-05-06","","45.46708333"
"BASE AÉREA","2004-05-05","","60.48875"
"BASE AÉREA","2004-05-04","","37.35875"
"BASE AÉREA","2004-05-03","","27.51041667"
"BASE AÉREA","2004-05-02","","45.42041667"
"BASE AÉREA","2004-05-01","","39.69833333"
"BASE AÉREA","2004-04-30","","41.44208333"
"BASE AÉREA","2004-04-29","","43.29541667"
"BASE AÉREA","2004-04-28","","42.49666667"
"BASE AÉREA","2004-04-27","","47.52708333"
"BASE AÉREA","2004-04-26","","50.35125"
"BASE AÉREA","2004-04-25","","27.28458333"
"BASE AÉREA","2004-04-24","","57.63791667"
"BASE AÉREA","2004-04-23","","48.70541667"
"BASE AÉREA","2004-04-22","","40.86958333"
"BASE AÉREA","2004-04-21","","36.95333333"
"BASE AÉREA","2004-04-20","","35.065"
"BASE AÉREA","2004-04-19","","37.86708333"
"BASE AÉREA","2004-04-18","","18.4975"
"BASE AÉREA","2004-04-17","","47.17958333"
"BASE AÉREA","2004-04-16","","40.23333333"
"BASE AÉREA","2004-04-15","","34.22083333"
"BASE AÉREA","2004-04-14","","39.025"
"BASE AÉREA","2004-04-13","","24.96208333"
"BASE AÉREA","2004-04-12","","42.20625"
"BASE AÉREA","2004-04-11","","31.87625"
"BASE AÉREA","2004-04-10","","26.2375"
"BASE AÉREA","2004-04-09","","24.81041667"
"BASE AÉREA","2004-04-08","","30.59875"
"BASE AÉREA","2004-04-07","","50.31125"
"BASE AÉREA","2004-04-06","","62.02708333"
"BASE AÉREA","2004-04-05","","49.82625"
"BASE AÉREA","2004-04-04","","42.18333333"
"BASE AÉREA","2004-04-03","","45.23041667"
"BASE AÉREA","2004-04-02","","49.31791667"
"BASE AÉREA","2004-04-01","","35.45416667"
"BASE AÉREA","2004-03-31","","69.6275"
"BASE AÉREA","2004-03-30","","59.7175"
"BASE AÉREA","2004-03-29","","49.36916667"
"BASE AÉREA","2004-03-28","","43.59875"
"BASE AÉREA","2004-03-27","","69.33833333"
"BASE AÉREA","2004-03-26","","91.33416667"
"BASE AÉREA","2004-03-25","","63.2825"
"BASE AÉREA","2004-03-24","","82.72041667"
"BASE AÉREA","2004-03-23","","60.84916667"
"BASE AÉREA","2004-03-22","","40.87375"
"BASE AÉREA","2004-03-21","","48.60083333"
"BASE AÉREA","2004-03-20","","68.48833333"
"BASE AÉREA","2004-03-19","","70.68083333"
"BASE AÉREA","2004-03-18","","69.03375"
"BASE AÉREA","2004-03-17","","77.93708333"
"BASE AÉREA","2004-03-16","","69.98291667"
"BASE AÉREA","2004-03-15","","45.15708333"
"BASE AÉREA","2004-03-14","","50.35708333"
"BASE AÉREA","2004-03-13","","59.41041667"
"BASE AÉREA","2004-03-12","","66.81125"
"BASE AÉREA","2004-03-11","","69.43333333"
"BASE AÉREA","2004-03-10","","65.42541667"
"BASE AÉREA","2004-03-09","","59.3325"
"BASE AÉREA","2004-03-08","","55.57166667"
"BASE AÉREA","2004-03-07","","25.22166667"
"BASE AÉREA","2004-03-06","","38.03291667"
"BASE AÉREA","2004-03-05","","57.17916667"
"BASE AÉREA","2004-03-04","","53.03166667"
"BASE AÉREA","2004-03-03","","50.77583333"
"BASE AÉREA","2004-03-02","","39.70041667"
"BASE AÉREA","2004-03-01","","43.84041667"
"BASE AÉREA","2004-02-29","","46.16833333"
"BASE AÉREA","2004-02-28","","55.99041667"
"BASE AÉREA","2004-02-27","","60.38291667"
"BASE AÉREA","2004-02-26","","49.39"
"BASE AÉREA","2004-02-25","","60.34583333"
"BASE AÉREA","2004-02-24","","34.63875"
"BASE AÉREA","2004-02-23","","25.41333333"
"BASE AÉREA","2004-02-22","","42.22041667"
"BASE AÉREA","2004-02-21","","67.92541667"
"BASE AÉREA","2004-02-20","","39.36"
"BASE AÉREA","2004-02-19","","34.22291667"
"BASE AÉREA","2004-02-18","","33.97833333"
"BASE AÉREA","2004-02-17","","61.715"
"BASE AÉREA","2004-02-16","","47.93666667"
"BASE AÉREA","2004-02-15","","52.96291667"
"BASE AÉREA","2004-02-14","","57.43291667"
"BASE AÉREA","2004-02-13","","55.805"
"BASE AÉREA","2004-02-12","","56.94125"
"BASE AÉREA","2004-02-11","","52.9825"
"BASE AÉREA","2004-02-10","","54.75291667"
"BASE AÉREA","2004-02-09","","55.845"
"BASE AÉREA","2004-02-08","","47.52791667"
"BASE AÉREA","2004-02-07","","55.06916667"
"BASE AÉREA","2004-02-06","","56.0725"
"BASE AÉREA","2004-02-05","","62.98541667"
"BASE AÉREA","2004-02-04","","54.57"
"BASE AÉREA","2004-02-03","","53.285"
"BASE AÉREA","2004-02-02","","52.6225"
"BASE AÉREA","2004-02-01","","50.53708333"
"BASE AÉREA","2004-01-31","","55.76041667"
"BASE AÉREA","2004-01-30","","62.26125"
"BASE AÉREA","2004-01-29","","62.40958333"
"BASE AÉREA","2004-01-28","","57.99875"
"BASE AÉREA","2004-01-27","","44.25916667"
"BASE AÉREA","2004-01-26","","43.0475"
"BASE AÉREA","2004-01-25","","46.8625"
"BASE AÉREA","2004-01-24","","43.34791667"
"BASE AÉREA","2004-01-23","","53.70208333"
"BASE AÉREA","2004-01-22","","21.79375"
"BASE AÉREA","2004-01-21","","37.40583333"
"BASE AÉREA","2004-01-20","","47.93208333"
"BASE AÉREA","2004-01-19","","44.95041667"
"BASE AÉREA","2004-01-18","","41.69208333"
"BASE AÉREA","2004-01-17","","23.94208333"
"BASE AÉREA","2004-01-16","","23.00291667"
"BASE AÉREA","2004-01-15","","52.49916667"
"BASE AÉREA","2004-01-14","","48.2475"
"BASE AÉREA","2004-01-13","","37.73541667"
"BASE AÉREA","2004-01-12","","27.53791667"
"BASE AÉREA","2004-01-11","","34.37958333"
"BASE AÉREA","2004-01-10","","28.18291667"
"BASE AÉREA","2004-01-09","","37.66041667"
"BASE AÉREA","2004-01-08","","25.67666667"
"BASE AÉREA","2004-01-07","","28.93083333"
"BASE AÉREA","2004-01-06","","8.55291667"
"BASE AÉREA","2004-01-05","","4.7025"
"BASE AÉREA","2004-01-04","","6.835"
"BASE AÉREA","2004-01-03","","28.39125"
"BASE AÉREA","2004-01-02","","24.00625"
"BASE AÉREA","2004-01-01","","55.87625"
"BASE AÉREA","2003-12-31","","35.06333333"
"BASE AÉREA","2003-12-30","","29.695"
"BASE AÉREA","2003-12-29","","33.12166667"
"BASE AÉREA","2003-12-28","","24.67416667"
"BASE AÉREA","2003-12-27","","28.37625"
"BASE AÉREA","2003-12-26","","42.11458333"
"BASE AÉREA","2003-12-25","","46.53208333"
"BASE AÉREA","2003-12-24","","64.11375"
"BASE AÉREA","2003-12-23","","61.10041667"
"BASE AÉREA","2003-12-22","","44.35916667"
