"Estacion","Fecha inicial","Fecha final","PM2.5"
"BASE AÉREA","2021-07-27","","19.2173913"
"BASE AÉREA","2021-07-26","","18.91666667"
"BASE AÉREA","2021-07-25","","14.45833333"
"BASE AÉREA","2021-07-24","","28.75"
"BASE AÉREA","2021-07-23","","24.58333333"
"BASE AÉREA","2021-07-22","","29.04347826"
"BASE AÉREA","2021-07-21","","27.5"
"BASE AÉREA","2021-07-20","","21.0"
"BASE AÉREA","2021-07-19","","27.0"
"BASE AÉREA","2021-07-18","","23.875"
"BASE AÉREA","2021-07-17","","25.125"
"BASE AÉREA","2021-07-16","","27.66666667"
"BASE AÉREA","2021-07-15","","27.95833333"
"BASE AÉREA","2021-07-14","","24.54166667"
"BASE AÉREA","2021-07-13","","26.04166667"
"BASE AÉREA","2021-07-12","","23.33333333"
"BASE AÉREA","2021-07-11","","17.83333333"
"BASE AÉREA","2021-07-10","","26.79166667"
"BASE AÉREA","2021-07-09","","26.20833333"
"BASE AÉREA","2021-07-08","","25.375"
"BASE AÉREA","2021-07-07","","30.66666667"
"BASE AÉREA","2021-07-06","","32.58333333"
"BASE AÉREA","2021-07-05","","20.91666667"
"BASE AÉREA","2021-07-04","","21.95833333"
"BASE AÉREA","2021-07-03","","25.83333333"
"BASE AÉREA","2021-07-02","","17.91666667"
"BASE AÉREA","2021-07-01","","21.58333333"
"BASE AÉREA","2021-06-30","","21.45833333"
"BASE AÉREA","2021-06-29","","27.33333333"
"BASE AÉREA","2021-06-28","","26.79166667"
"BASE AÉREA","2021-06-27","","16.66666667"
"BASE AÉREA","2021-06-26","","22.375"
"BASE AÉREA","2021-06-25","","28.0"
"BASE AÉREA","2021-06-24","","23.375"
"BASE AÉREA","2021-06-23","","23.45833333"
"BASE AÉREA","2021-06-22","","23.58333333"
"BASE AÉREA","2021-06-21","","19.875"
"BASE AÉREA","2021-06-20","","14.58333333"
"BASE AÉREA","2021-06-19","","17.54166667"
"BASE AÉREA","2021-06-18","","21.91666667"
"BASE AÉREA","2021-06-17","","22.91666667"
"BASE AÉREA","2021-06-16","","22.54166667"
"BASE AÉREA","2021-06-15","","15.5"
"BASE AÉREA","2021-06-14","","20.375"
"BASE AÉREA","2021-06-13","","20.33333333"
"BASE AÉREA","2021-06-12","","22.08333333"
"BASE AÉREA","2021-06-11","","32.29166667"
"BASE AÉREA","2021-06-10","","33.45833333"
"BASE AÉREA","2021-06-09","","23.7826087"
"BASE AÉREA","2021-06-08","","16.91666667"
"BASE AÉREA","2021-06-07","","13.25"
"BASE AÉREA","2021-06-06","","19.375"
"BASE AÉREA","2021-06-05","","25.33333333"
"BASE AÉREA","2021-06-04","","17.41666667"
"BASE AÉREA","2021-06-03","","16.125"
"BASE AÉREA","2021-06-02","","20.20833333"
"BASE AÉREA","2021-06-01","","16.75"
"BASE AÉREA","2021-05-31","","19.41666667"
"BASE AÉREA","2021-05-30","","13.04166667"
"BASE AÉREA","2021-05-29","","18.5"
"BASE AÉREA","2021-05-28","","18.66666667"
"BASE AÉREA","2021-05-27","","16.04166667"
"BASE AÉREA","2021-05-26","","16.58333333"
"BASE AÉREA","2021-05-25","","16.45833333"
"BASE AÉREA","2021-05-24","","15.16666667"
"BASE AÉREA","2021-05-23","","14.70833333"
"BASE AÉREA","2021-05-22","","21.20833333"
"BASE AÉREA","2021-05-21","","12.125"
"BASE AÉREA","2021-04-29","","18.21052632"
"BASE AÉREA","2021-04-28","","17.75"
"BASE AÉREA","2021-04-27","","23.69565217"
"BASE AÉREA","2021-04-26","","5.47619048"
"BASE AÉREA","2021-04-25","","2.95833333"
"BASE AÉREA","2021-04-24","","2.95833333"
"BASE AÉREA","2021-04-23","","11.2173913"
"BASE AÉREA","2021-04-22","","23.79166667"
"BASE AÉREA","2021-04-21","","21.30434783"
"BASE AÉREA","2021-04-20","","19.125"
"BASE AÉREA","2021-04-19","","13.16666667"
"BASE AÉREA","2021-04-18","","16.41666667"
"BASE AÉREA","2021-04-17","","21.75"
"BASE AÉREA","2021-04-16","","21.08333333"
"BASE AÉREA","2021-04-15","","29.08333333"
"BASE AÉREA","2021-04-14","","21.95652174"
"BASE AÉREA","2021-04-13","","29.33333333"
"BASE AÉREA","2021-04-12","","24.7826087"
"BASE AÉREA","2021-04-11","","16.04166667"
"BASE AÉREA","2021-04-10","","21.95833333"
"BASE AÉREA","2021-04-09","","17.40909091"
"BASE AÉREA","2021-04-08","","27.25"
"BASE AÉREA","2021-04-07","","35.61904762"
"BASE AÉREA","2021-04-06","","19.04347826"
