"Estacion","Fecha inicial","Fecha final","PM10"
"BOLIVIA","2021-02-28","","18.73043478"
"BOLIVIA","2021-02-27","","31.15833333"
"BOLIVIA","2021-02-26","","32.02083333"
"BOLIVIA","2021-02-25","","20.075"
"BOLIVIA","2021-02-24","","42.17916667"
"BOLIVIA","2021-02-23","","35.62608696"
"BOLIVIA","2021-02-22","","26.0125"
"BOLIVIA","2021-02-21","","21.34"
"BOLIVIA","2021-02-20","","36.55"
"BOLIVIA","2021-02-19","","32.84583333"
"BOLIVIA","2021-02-18","","55.14583333"
"BOLIVIA","2021-02-17","","62.20833333"
"BOLIVIA","2021-02-16","","47.7375"
"BOLIVIA","2021-02-15","","45.1173913"
"BOLIVIA","2021-02-14","","43.70416667"
"BOLIVIA","2021-02-13","","36.4125"
"BOLIVIA","2021-02-12","","61.81363636"
"BOLIVIA","2021-02-11","","51.85"
"BOLIVIA","2021-02-10","","29.0625"
"BOLIVIA","2021-02-09","","36.20416667"
"BOLIVIA","2021-02-08","","47.84166667"
"BOLIVIA","2021-02-07","","30.62"
"BOLIVIA","2021-02-06","","43.65"
"BOLIVIA","2021-02-05","","40.02916667"
"BOLIVIA","2021-02-04","","51.32083333"
"BOLIVIA","2021-02-03","","53.15416667"
"BOLIVIA","2021-02-02","","34.45416667"
"BOLIVIA","2021-02-01","","30.60416667"
"BOLIVIA","2021-01-31","","34.9"
"BOLIVIA","2021-01-30","","51.57916667"
"BOLIVIA","2021-01-29","","68.58333333"
"BOLIVIA","2021-01-28","","60.9"
"BOLIVIA","2021-01-27","","41.90416667"
"BOLIVIA","2021-01-26","","32.91666667"
"BOLIVIA","2021-01-25","","27.725"
"BOLIVIA","2021-01-24","","27.61304348"
"BOLIVIA","2021-01-23","","30.56666667"
"BOLIVIA","2021-01-22","","51.60416667"
"BOLIVIA","2021-01-21","","62.34166667"
"BOLIVIA","2021-01-20","","84.29166667"
"BOLIVIA","2021-01-19","","80.06666667"
"BOLIVIA","2021-01-18","","67.6"
"BOLIVIA","2021-01-17","","43.89166667"
"BOLIVIA","2021-01-16","","61.5625"
"BOLIVIA","2021-01-15","","76.42608696"
"BOLIVIA","2021-01-14","","58.27916667"
"BOLIVIA","2021-01-13","","47.3625"
"BOLIVIA","2021-01-12","","48.18"
"BOLIVIA","2021-01-11","","7.75833333"
"BOLIVIA","2021-01-10","","9.00416667"
"BOLIVIA","2021-01-09","","13.34166667"
"BOLIVIA","2021-01-08","","39.025"
"BOLIVIA","2021-01-07","","35.52222222"
"BOLIVIA","2021-01-06","","50.73333333"
"BOLIVIA","2021-01-05","","62.30833333"
"BOLIVIA","2021-01-04","","37.44583333"
"BOLIVIA","2021-01-03","","14.9875"
"BOLIVIA","2021-01-02","","23.41666667"
"BOLIVIA","2021-01-01","","35.15416667"
"BOLIVIA","2020-12-31","","49.79473684"
"BOLIVIA","2020-12-30","","69.3375"
"BOLIVIA","2020-12-29","","49.9375"
"BOLIVIA","2020-12-28","","54.8375"
"BOLIVIA","2020-12-27","","27.09166667"
"BOLIVIA","2020-12-26","","30.50833333"
"BOLIVIA","2020-12-25","","27.25"
"BOLIVIA","2020-12-24","","34.6"
"BOLIVIA","2020-12-23","","75.3875"
"BOLIVIA","2020-12-22","","90.84583333"
"BOLIVIA","2020-12-21","","64.93333333"
"BOLIVIA","2020-12-20","","22.08"
"BOLIVIA","2020-12-19","","61.04166667"
"BOLIVIA","2020-12-18","","70.07083333"
"BOLIVIA","2020-12-17","","37.9125"
"BOLIVIA","2020-12-16","","52.36"
"BOLIVIA","2020-12-15","","91.7"
"BOLIVIA","2020-12-14","","94.65"
"BOLIVIA","2020-12-13","","52.6"
"BOLIVIA","2020-12-12","","76.42916667"
"BOLIVIA","2020-12-11","","104.20909091"
"BOLIVIA","2020-12-09","","93.2"
"BOLIVIA","2020-12-08","","76.8"
"BOLIVIA","2020-12-07","","79.82083333"
"BOLIVIA","2020-12-06","","37.05"
"BOLIVIA","2020-12-05","","58.75909091"
"BOLIVIA","2020-12-04","","68.56666667"
"BOLIVIA","2020-12-03","","51.80833333"
"BOLIVIA","2020-12-02","","42.03333333"
"BOLIVIA","2020-12-01","","39.24545455"
"BOLIVIA","2020-11-28","","22.2"
"BOLIVIA","2020-11-27","","52.975"
"BOLIVIA","2020-11-26","","86.91666667"
"BOLIVIA","2020-11-25","","49.34166667"
"BOLIVIA","2020-11-24","","54.35833333"
"BOLIVIA","2020-11-23","","53.17083333"
"BOLIVIA","2020-11-22","","54.63333333"
"BOLIVIA","2020-11-21","","65.75"
"BOLIVIA","2020-11-20","","51.02608696"
"BOLIVIA","2020-11-19","","48.97916667"
"BOLIVIA","2020-11-18","","40.675"
"BOLIVIA","2020-11-17","","31.90434783"
"BOLIVIA","2020-11-16","","21.72916667"
"BOLIVIA","2020-11-15","","34.49090909"
"BOLIVIA","2020-11-14","","40.24166667"
"BOLIVIA","2020-11-13","","20.05789474"
"BOLIVIA","2020-11-12","","43.3125"
"BOLIVIA","2020-11-11","","21.9375"
"BOLIVIA","2020-11-10","","69.2625"
"BOLIVIA","2020-11-09","","45.45"
"BOLIVIA","2020-11-08","","42.30416667"
"BOLIVIA","2020-11-07","","79.15416667"
"BOLIVIA","2020-11-06","","84.36363636"
"BOLIVIA","2020-11-05","","55.86956522"
"BOLIVIA","2020-11-04","","79.675"
"BOLIVIA","2020-11-03","","86.89166667"
"BOLIVIA","2020-11-02","","39.00416667"
"BOLIVIA","2020-11-01","","27.904"
"BOLIVIA","2020-10-31","","43.73478261"
"BOLIVIA","2020-10-30","","65.58333333"
"BOLIVIA","2020-10-29","","57.72916667"
"BOLIVIA","2020-10-28","","55.90416667"
"BOLIVIA","2020-10-27","","66.57916667"
"BOLIVIA","2020-10-26","","62.59166667"
"BOLIVIA","2020-10-25","","48.33333333"
"BOLIVIA","2020-10-24","","38.09583333"
"BOLIVIA","2020-10-23","","74.85"
"BOLIVIA","2020-10-22","","52.6125"
"BOLIVIA","2020-10-21","","65.00416667"
"BOLIVIA","2020-10-20","","65.425"
"BOLIVIA","2020-10-19","","62.35909091"
"BOLIVIA","2020-10-18","","42.65416667"
"BOLIVIA","2020-10-17","","46.44583333"
"BOLIVIA","2020-10-16","","80.33043478"
"BOLIVIA","2013-09-16","","26.0"
"BOLIVIA","2013-09-15","","26.34722222"
"BOLIVIA","2013-09-14","","49.42361111"
"BOLIVIA","2013-09-13","","155.60694445"
"BOLIVIA","2013-09-12","","218.41666668"
"BOLIVIA","2013-09-11","","62.20138889"
"BOLIVIA","2013-09-10","","60.84722222"
"BOLIVIA","2013-09-09","","49.90277777"
"BOLIVIA","2013-09-08","","39.125"
"BOLIVIA","2013-09-07","","62.28472224"
"BOLIVIA","2013-09-06","","51.59027779"
"BOLIVIA","2013-09-05","","57.51388889"
"BOLIVIA","2013-09-04","","84.125"
"BOLIVIA","2013-09-03","","77.39583334"
"BOLIVIA","2013-09-02","","135.85416668"
"BOLIVIA","2013-09-01","","33.60416666"
"BOLIVIA","2013-08-31","","31.8888889"
"BOLIVIA","2013-08-30","","47.33333333"
"BOLIVIA","2013-08-29","","35.34722222"
"BOLIVIA","2013-08-28","","39.33333333"
"BOLIVIA","2013-08-27","","33.26388889"
"BOLIVIA","2013-08-26","","32.9861111"
"BOLIVIA","2013-08-25","","45.91666667"
"BOLIVIA","2013-08-24","","65.20833334"
"BOLIVIA","2013-08-23","","53.88194445"
"BOLIVIA","2013-08-22","","42.74305556"
"BOLIVIA","2013-08-21","","37.75"
"BOLIVIA","2013-08-20","","53.36111111"
"BOLIVIA","2013-08-19","","109.1875"
"BOLIVIA","2013-08-18","","39.58333333"
"BOLIVIA","2013-08-17","","127.49166667"
"BOLIVIA","2013-08-16","","38.79166667"
"BOLIVIA","2013-08-15","","246.03472223"
"BOLIVIA","2013-08-14","","35.55555555"
"BOLIVIA","2013-08-13","","50.56944445"
"BOLIVIA","2013-08-12","","57.90277778"
"BOLIVIA","2013-08-11","","46.76388888"
"BOLIVIA","2013-08-10","","59.15972223"
"BOLIVIA","2013-08-09","","97.51388888"
"BOLIVIA","2013-08-08","","64.18055556"
"BOLIVIA","2013-08-07","","128.22222223"
"BOLIVIA","2013-08-06","","82.31944445"
"BOLIVIA","2013-08-05","","57.16666666"
"BOLIVIA","2013-08-04","","49.76388889"
"BOLIVIA","2013-08-03","","42.11805556"
"BOLIVIA","2013-08-02","","38.63194445"
"BOLIVIA","2013-08-01","","48.40972223"
"BOLIVIA","2013-07-31","","38.98611111"
"BOLIVIA","2013-07-30","","59.54444445"
"BOLIVIA","2013-07-29","","35.2013889"
"BOLIVIA","2013-07-28","","25.98611111"
"BOLIVIA","2013-07-27","","40.25694444"
"BOLIVIA","2013-07-26","","32.35416667"
"BOLIVIA","2013-07-25","","29.4236111"
"BOLIVIA","2013-07-24","","32.0"
"BOLIVIA","2013-07-23","","45.14583334"
"BOLIVIA","2013-07-22","","48.84722223"
"BOLIVIA","2013-07-21","","30.83333334"
"BOLIVIA","2013-07-20","","50.93055556"
"BOLIVIA","2013-07-19","","57.34027778"
"BOLIVIA","2013-07-18","","47.4375"
"BOLIVIA","2013-07-17","","35.31944445"
"BOLIVIA","2013-07-16","","36.1875"
"BOLIVIA","2013-07-15","","39.72916667"
"BOLIVIA","2013-07-14","","54.34027778"
"BOLIVIA","2013-07-13","","68.94444445"
"BOLIVIA","2013-07-12","","54.72916666"
"BOLIVIA","2013-07-11","","55.25000001"
"BOLIVIA","2013-02-06","","63.58333333"
"BOLIVIA","2013-02-05","","63.75"
"BOLIVIA","2013-02-04","","62.25"
"BOLIVIA","2013-02-03","","53.875"
"BOLIVIA","2013-02-02","","74.125"
"BOLIVIA","2013-02-01","","73.75"
"BOLIVIA","2013-01-31","","81.125"
"BOLIVIA","2013-01-30","","86.45833333"
"BOLIVIA","2013-01-29","","88.79166667"
"BOLIVIA","2013-01-28","","57.41666667"
"BOLIVIA","2013-01-27","","62.33333333"
"BOLIVIA","2013-01-26","","66.0"
"BOLIVIA","2013-01-25","","66.91666667"
"BOLIVIA","2013-01-24","","82.79166667"
"BOLIVIA","2013-01-23","","65.83333333"
"BOLIVIA","2013-01-22","","67.91666667"
"BOLIVIA","2013-01-21","","50.125"
"BOLIVIA","2013-01-20","","45.66666667"
"BOLIVIA","2013-01-19","","60.29166667"
"BOLIVIA","2013-01-18","","60.66666667"
"BOLIVIA","2013-01-17","","96.0"
"BOLIVIA","2013-01-16","","96.125"
"BOLIVIA","2013-01-15","","86.0"
"BOLIVIA","2013-01-14","","78.95833333"
"BOLIVIA","2013-01-13","","67.375"
"BOLIVIA","2013-01-12","","81.375"
"BOLIVIA","2013-01-11","","63.79166667"
"BOLIVIA","2013-01-10","","48.20833333"
"BOLIVIA","2013-01-09","","40.375"
"BOLIVIA","2013-01-08","","35.83333333"
"BOLIVIA","2013-01-07","","32.83333333"
"BOLIVIA","2013-01-06","","31.25"
"BOLIVIA","2013-01-05","","33.08333333"
"BOLIVIA","2013-01-04","","39.33333333"
"BOLIVIA","2013-01-03","","46.875"
"BOLIVIA","2013-01-02","","32.70833333"
"BOLIVIA","2013-01-01","","81.04166667"
