"Estacion","Fecha inicial","Fecha final","PM10"
"BOSA","2021-02-28","","21.56521739"
"BOSA","2021-02-27","","27.8625"
"BOSA","2021-02-26","","43.89166667"
"BOSA","2021-02-25","","29.3875"
"BOSA","2021-02-24","","51.1125"
"BOSA","2021-02-23","","42.0"
"BOSA","2021-02-22","","28.97916667"
"BOSA","2021-02-21","","21.01666667"
"BOSA","2021-02-20","","25.775"
"BOSA","2021-02-19","","30.48333333"
"BOSA","2021-02-18","","43.8375"
"BOSA","2021-02-17","","49.82916667"
"BOSA","2021-02-16","","60.5125"
"BOSA","2021-02-15","","48.06086957"
"BOSA","2021-02-14","","51.15833333"
"BOSA","2021-02-13","","27.76666667"
"BOSA","2021-02-12","","39.60833333"
"BOSA","2021-02-11","","36.4125"
"BOSA","2021-02-10","","20.55"
"BOSA","2021-02-09","","40.45"
"BOSA","2021-02-08","","47.79583333"
"BOSA","2021-02-07","","39.66666667"
"BOSA","2021-02-06","","44.04166667"
"BOSA","2021-02-05","","42.475"
"BOSA","2021-02-04","","63.04347826"
"BOSA","2021-02-03","","56.3125"
"BOSA","2021-02-02","","48.55833333"
"BOSA","2021-02-01","","36.01666667"
"BOSA","2021-01-31","","36.1"
"BOSA","2021-01-30","","68.145"
"BOSA","2021-01-29","","62.75833333"
"BOSA","2021-01-28","","54.46315789"
"BOSA","2021-01-21","","66.40769231"
"BOSA","2021-01-20","","100.0"
"BOSA","2021-01-19","","64.0125"
"BOSA","2021-01-18","","61.54166667"
"BOSA","2021-01-17","","34.81666667"
"BOSA","2021-01-16","","49.26666667"
"BOSA","2021-01-15","","53.5125"
"BOSA","2021-01-09","","16.93333333"
"BOSA","2021-01-08","","24.22857143"
"BOSA","2021-01-07","","24.20952381"
"BOSA","2021-01-06","","33.6375"
"BOSA","2021-01-03","","19.47272727"
"BOSA","2021-01-02","","25.59583333"
"BOSA","2021-01-01","","39.875"
"BOSA","2020-12-31","","46.71818182"
"BOSA","2020-12-30","","44.20833333"
"BOSA","2020-12-29","","39.70625"
"BOSA","2020-12-28","","25.95"
"BOSA","2020-12-27","","28.27916667"
"BOSA","2020-12-26","","17.7125"
"BOSA","2020-12-25","","22.3"
"BOSA","2020-12-24","","25.0"
"BOSA","2020-12-20","","21.05"
"BOSA","2020-12-12","","88.95"
"BOSA","2020-12-11","","52.69583333"
"BOSA","2020-12-10","","58.57916667"
"BOSA","2020-12-09","","50.1375"
"BOSA","2020-12-08","","51.82083333"
"BOSA","2020-12-07","","54.78571429"
"BOSA","2020-12-06","","43.20769231"
"BOSA","2020-12-05","","44.16"
"BOSA","2020-12-04","","42.41333333"
"BOSA","2020-12-03","","38.57272727"
"BOSA","2020-12-02","","31.4"
"BOSA","2020-12-01","","25.075"
"BOSA","2020-11-30","","39.6"
"BOSA","2020-11-29","","20.425"
"BOSA","2020-11-28","","24.99565217"
"BOSA","2020-11-27","","33.5"
"BOSA","2020-11-26","","65.975"
"BOSA","2020-11-25","","38.30869565"
"BOSA","2020-11-24","","45.72916667"
"BOSA","2020-11-23","","49.40416667"
"BOSA","2020-11-22","","63.89166667"
"BOSA","2020-11-21","","50.0"
"BOSA","2020-11-20","","36.72173913"
"BOSA","2020-11-19","","36.2875"
"BOSA","2020-11-18","","25.20416667"
"BOSA","2020-11-17","","23.668"
"BOSA","2020-11-16","","13.96666667"
"BOSA","2020-11-15","","35.70869565"
"BOSA","2020-11-14","","30.0875"
"BOSA","2020-11-13","","14.50416667"
"BOSA","2020-11-12","","36.59166667"
"BOSA","2020-11-11","","19.075"
"BOSA","2020-11-10","","44.80434783"
"BOSA","2020-11-09","","23.07083333"
"BOSA","2020-11-08","","42.71666667"
"BOSA","2020-11-07","","56.69583333"
"BOSA","2020-11-06","","66.725"
"BOSA","2020-11-05","","33.9"
"BOSA","2020-11-04","","42.15"
"BOSA","2020-11-03","","48.60833333"
"BOSA","2020-11-02","","29.54166667"
"BOSA","2020-11-01","","12.92083333"
"BOSA","2020-10-31","","31.60434783"
"BOSA","2020-10-30","","32.4125"
"BOSA","2020-10-29","","42.89166667"
"BOSA","2020-10-28","","36.86666667"
"BOSA","2020-10-27","","35.22916667"
"BOSA","2020-10-26","","58.38333333"
"BOSA","2020-10-25","","51.0"
"BOSA","2020-10-24","","28.98333333"
"BOSA","2020-10-23","","28.17916667"
"BOSA","2020-10-22","","25.625"
"BOSA","2020-10-21","","23.47916667"
"BOSA","2020-10-20","","39.52083333"
"BOSA","2020-10-19","","30.25416667"
"BOSA","2020-10-18","","36.0"
"BOSA","2020-10-17","","40.575"
"BOSA","2020-10-16","","35.24583333"
"BOSA","2020-10-15","","46.08695652"
"BOSA","2020-10-14","","57.26666667"
"BOSA","2020-10-13","","29.15"
"BOSA","2020-10-12","","32.20833333"
"BOSA","2020-10-11","","34.2125"
"BOSA","2020-10-10","","49.37916667"
"BOSA","2020-10-09","","25.92083333"
"BOSA","2020-10-08","","36.98333333"
"BOSA","2020-10-07","","44.78333333"
"BOSA","2020-10-06","","37.775"
"BOSA","2020-10-05","","36.60833333"
"BOSA","2020-10-04","","18.12916667"
"BOSA","2020-10-03","","52.77916667"
"BOSA","2020-10-02","","52.4875"
"BOSA","2020-10-01","","37.50833333"
