"Estacion","Fecha inicial","Fecha final","PM2.5"
"BOSA","2021-02-28","","11.39565217"
"BOSA","2021-02-27","","14.05416667"
"BOSA","2021-02-26","","17.9875"
"BOSA","2021-02-25","","9.47083333"
"BOSA","2021-02-24","","17.275"
"BOSA","2021-02-23","","16.95833333"
"BOSA","2021-02-22","","11.9"
"BOSA","2021-02-21","","11.25"
"BOSA","2021-02-20","","11.79583333"
"BOSA","2021-02-19","","15.95416667"
"BOSA","2021-02-18","","18.19583333"
"BOSA","2021-02-17","","17.48333333"
"BOSA","2021-02-16","","26.875"
"BOSA","2021-02-15","","19.06521739"
"BOSA","2021-02-14","","22.89583333"
"BOSA","2021-02-13","","11.07083333"
"BOSA","2021-02-12","","19.22083333"
"BOSA","2021-02-11","","16.58333333"
"BOSA","2021-02-10","","12.72916667"
"BOSA","2021-02-09","","23.675"
"BOSA","2021-02-08","","17.14583333"
"BOSA","2021-02-07","","16.16666667"
"BOSA","2021-02-06","","15.32916667"
"BOSA","2021-02-05","","12.66666667"
"BOSA","2021-02-04","","17.9826087"
"BOSA","2021-02-03","","17.88333333"
"BOSA","2021-02-02","","12.42083333"
"BOSA","2021-02-01","","9.49166667"
"BOSA","2021-01-31","","6.7"
"BOSA","2021-01-30","","16.22"
"BOSA","2021-01-29","","25.77083333"
"BOSA","2021-01-28","","23.37368421"
"BOSA","2021-01-21","","21.33076923"
"BOSA","2021-01-20","","36.31428571"
"BOSA","2021-01-19","","25.4625"
"BOSA","2021-01-18","","24.7375"
"BOSA","2021-01-17","","18.8875"
"BOSA","2021-01-16","","20.99583333"
"BOSA","2021-01-15","","29.9"
"BOSA","2021-01-09","","6.81333333"
"BOSA","2021-01-08","","10.55714286"
"BOSA","2021-01-07","","10.77142857"
"BOSA","2021-01-06","","16.9125"
"BOSA","2021-01-03","","8.17272727"
"BOSA","2021-01-02","","12.84166667"
"BOSA","2021-01-01","","25.51666667"
"BOSA","2020-12-31","","27.04545455"
"BOSA","2020-12-30","","14.45"
"BOSA","2020-12-29","","14.175"
"BOSA","2020-12-28","","6.85"
"BOSA","2020-12-27","","9.30416667"
"BOSA","2020-12-26","","7.42083333"
"BOSA","2020-12-25","","13.09583333"
"BOSA","2020-12-24","","8.41333333"
"BOSA","2020-12-20","","5.28333333"
"BOSA","2020-12-12","","33.75"
"BOSA","2020-12-11","","22.97916667"
"BOSA","2020-12-10","","27.76666667"
"BOSA","2020-12-09","","22.6"
"BOSA","2020-12-08","","31.17916667"
"BOSA","2020-12-07","","27.55714286"
"BOSA","2020-12-06","","15.54615385"
"BOSA","2020-12-05","","12.51"
"BOSA","2020-12-04","","17.92"
"BOSA","2020-12-03","","15.83636364"
"BOSA","2020-12-02","","10.15384615"
"BOSA","2020-12-01","","11.75"
"BOSA","2020-11-30","","12.62727273"
"BOSA","2020-11-29","","7.29166667"
"BOSA","2020-11-28","","15.66086957"
"BOSA","2020-11-27","","16.24166667"
"BOSA","2020-11-26","","26.625"
"BOSA","2020-11-25","","15.43913043"
"BOSA","2020-11-24","","19.51666667"
"BOSA","2020-11-23","","17.475"
"BOSA","2020-11-22","","20.54583333"
"BOSA","2020-11-21","","17.79583333"
"BOSA","2020-11-20","","18.43043478"
"BOSA","2020-11-19","","11.03333333"
"BOSA","2020-11-18","","8.04583333"
"BOSA","2020-11-17","","7.62272727"
"BOSA","2020-11-16","","9.13333333"
"BOSA","2020-11-15","","22.53043478"
"BOSA","2020-11-14","","17.3875"
"BOSA","2020-11-13","","8.98333333"
"BOSA","2020-11-12","","21.6125"
"BOSA","2020-11-11","","10.86666667"
"BOSA","2020-11-10","","25.33478261"
"BOSA","2020-11-09","","12.25416667"
"BOSA","2020-11-08","","18.71666667"
"BOSA","2020-11-07","","23.63333333"
"BOSA","2020-11-06","","32.44583333"
"BOSA","2020-11-05","","14.12173913"
"BOSA","2020-11-04","","18.7625"
"BOSA","2020-11-03","","20.75"
"BOSA","2020-11-02","","14.025"
"BOSA","2020-11-01","","5.90833333"
"BOSA","2020-10-31","","16.67391304"
"BOSA","2020-10-30","","15.825"
"BOSA","2020-10-29","","18.45416667"
"BOSA","2020-10-28","","16.74166667"
"BOSA","2020-10-27","","17.45833333"
"BOSA","2020-10-26","","30.7875"
"BOSA","2020-10-25","","25.97916667"
"BOSA","2020-10-24","","11.22083333"
"BOSA","2020-10-23","","8.7125"
"BOSA","2020-10-22","","6.62916667"
"BOSA","2020-10-21","","6.96666667"
"BOSA","2020-10-20","","18.07916667"
"BOSA","2020-10-19","","12.80416667"
"BOSA","2020-10-18","","12.39583333"
"BOSA","2020-10-17","","9.83333333"
"BOSA","2020-10-16","","8.45416667"
"BOSA","2020-10-15","","14.6826087"
"BOSA","2020-10-14","","21.9375"
"BOSA","2020-10-13","","7.0625"
"BOSA","2020-10-12","","12.325"
"BOSA","2020-10-11","","10.27916667"
"BOSA","2020-10-10","","15.8"
"BOSA","2020-10-09","","7.15"
"BOSA","2020-10-08","","12.68333333"
"BOSA","2020-10-07","","16.58333333"
"BOSA","2020-10-06","","15.53333333"
"BOSA","2020-10-05","","15.24583333"
"BOSA","2020-10-04","","6.54166667"
"BOSA","2020-10-03","","17.70416667"
"BOSA","2020-10-02","","20.77083333"
"BOSA","2020-10-01","","11.525"
