"Estacion","Fecha inicial","Fecha final","PM10"
"CARVAJAL - SEVILLANA","2021-02-28","","39.86956522"
"CARVAJAL - SEVILLANA","2021-02-27","","61.875"
"CARVAJAL - SEVILLANA","2021-02-26","","60.91304348"
"CARVAJAL - SEVILLANA","2021-02-25","","59.58333333"
"CARVAJAL - SEVILLANA","2021-02-24","","70.125"
"CARVAJAL - SEVILLANA","2021-02-23","","74.83333333"
"CARVAJAL - SEVILLANA","2021-02-22","","62.45833333"
"CARVAJAL - SEVILLANA","2021-02-21","","42.81818182"
"CARVAJAL - SEVILLANA","2021-02-20","","49.375"
"CARVAJAL - SEVILLANA","2021-02-19","","62.66666667"
"CARVAJAL - SEVILLANA","2021-02-18","","63.0"
"CARVAJAL - SEVILLANA","2021-02-17","","85.95833333"
"CARVAJAL - SEVILLANA","2021-02-16","","83.375"
"CARVAJAL - SEVILLANA","2021-02-15","","90.82608696"
"CARVAJAL - SEVILLANA","2021-02-14","","61.66666667"
"CARVAJAL - SEVILLANA","2021-02-13","","66.27272727"
"CARVAJAL - SEVILLANA","2021-02-12","","89.16666667"
"CARVAJAL - SEVILLANA","2021-02-11","","65.0"
"CARVAJAL - SEVILLANA","2021-02-10","","52.2173913"
"CARVAJAL - SEVILLANA","2021-02-09","","77.75"
"CARVAJAL - SEVILLANA","2021-02-08","","72.70833333"
"CARVAJAL - SEVILLANA","2021-02-07","","51.91666667"
"CARVAJAL - SEVILLANA","2021-02-06","","64.58333333"
"CARVAJAL - SEVILLANA","2021-02-05","","60.66666667"
"CARVAJAL - SEVILLANA","2021-02-04","","80.125"
"CARVAJAL - SEVILLANA","2021-02-03","","65.25"
"CARVAJAL - SEVILLANA","2021-02-02","","64.625"
"CARVAJAL - SEVILLANA","2021-02-01","","45.91666667"
"CARVAJAL - SEVILLANA","2021-01-31","","41.34782609"
"CARVAJAL - SEVILLANA","2021-01-30","","77.54166667"
"CARVAJAL - SEVILLANA","2021-01-29","","93.5"
"CARVAJAL - SEVILLANA","2021-01-28","","93.91666667"
"CARVAJAL - SEVILLANA","2021-01-27","","93.04166667"
"CARVAJAL - SEVILLANA","2021-01-26","","66.45833333"
"CARVAJAL - SEVILLANA","2021-01-25","","58.54166667"
"CARVAJAL - SEVILLANA","2021-01-24","","29.79166667"
"CARVAJAL - SEVILLANA","2021-01-23","","55.625"
"CARVAJAL - SEVILLANA","2021-01-22","","86.20833333"
"CARVAJAL - SEVILLANA","2021-01-21","","86.91666667"
"CARVAJAL - SEVILLANA","2021-01-20","","104.08695652"
"CARVAJAL - SEVILLANA","2021-01-19","","95.33333333"
"CARVAJAL - SEVILLANA","2021-01-18","","82.86363636"
"CARVAJAL - SEVILLANA","2021-01-17","","53.125"
"CARVAJAL - SEVILLANA","2021-01-16","","66.16666667"
"CARVAJAL - SEVILLANA","2021-01-15","","91.34782609"
"CARVAJAL - SEVILLANA","2021-01-14","","94.375"
"CARVAJAL - SEVILLANA","2021-01-13","","76.70833333"
"CARVAJAL - SEVILLANA","2021-01-12","","55.66666667"
"CARVAJAL - SEVILLANA","2021-01-11","","22.875"
"CARVAJAL - SEVILLANA","2021-01-10","","24.45833333"
"CARVAJAL - SEVILLANA","2021-01-09","","37.75"
"CARVAJAL - SEVILLANA","2021-01-08","","77.25"
"CARVAJAL - SEVILLANA","2021-01-07","","61.125"
"CARVAJAL - SEVILLANA","2021-01-06","","75.33333333"
"CARVAJAL - SEVILLANA","2021-01-05","","71.75"
"CARVAJAL - SEVILLANA","2021-01-04","","52.375"
"CARVAJAL - SEVILLANA","2021-01-03","","26.04347826"
"CARVAJAL - SEVILLANA","2021-01-02","","38.58333333"
"CARVAJAL - SEVILLANA","2021-01-01","","51.5"
"CARVAJAL - SEVILLANA","2020-12-31","","72.43478261"
"CARVAJAL - SEVILLANA","2020-12-30","","81.79166667"
"CARVAJAL - SEVILLANA","2020-12-29","","60.34782609"
"CARVAJAL - SEVILLANA","2020-12-28","","71.23809524"
"CARVAJAL - SEVILLANA","2020-12-27","","32.54166667"
"CARVAJAL - SEVILLANA","2020-12-26","","41.875"
"CARVAJAL - SEVILLANA","2020-12-25","","30.81818182"
"CARVAJAL - SEVILLANA","2020-12-24","","59.0"
"CARVAJAL - SEVILLANA","2020-12-23","","103.34782609"
"CARVAJAL - SEVILLANA","2020-12-22","","81.875"
"CARVAJAL - SEVILLANA","2020-12-21","","93.86363636"
"CARVAJAL - SEVILLANA","2020-12-20","","51.16666667"
"CARVAJAL - SEVILLANA","2020-12-19","","71.95833333"
"CARVAJAL - SEVILLANA","2020-12-18","","89.20833333"
"CARVAJAL - SEVILLANA","2020-12-17","","84.0"
"CARVAJAL - SEVILLANA","2020-12-16","","84.5"
"CARVAJAL - SEVILLANA","2020-12-15","","89.54166667"
"CARVAJAL - SEVILLANA","2020-12-14","","88.79166667"
"CARVAJAL - SEVILLANA","2020-12-13","","51.5"
"CARVAJAL - SEVILLANA","2020-12-12","","100.75"
"CARVAJAL - SEVILLANA","2020-12-11","","113.04166667"
"CARVAJAL - SEVILLANA","2020-12-10","","123.45833333"
"CARVAJAL - SEVILLANA","2020-12-09","","106.79166667"
"CARVAJAL - SEVILLANA","2020-12-08","","78.75"
"CARVAJAL - SEVILLANA","2020-12-07","","103.5"
"CARVAJAL - SEVILLANA","2020-12-06","","54.83333333"
"CARVAJAL - SEVILLANA","2020-12-05","","96.75"
"CARVAJAL - SEVILLANA","2020-12-04","","105.375"
"CARVAJAL - SEVILLANA","2020-12-03","","78.125"
"CARVAJAL - SEVILLANA","2020-12-02","","87.16666667"
"CARVAJAL - SEVILLANA","2020-12-01","","74.33333333"
