"Estacion","Fecha inicial","Fecha final","PM2.5"
"CARVAJAL - SEVILLANA","2021-02-28","","23.60869565"
"CARVAJAL - SEVILLANA","2021-02-27","","33.95833333"
"CARVAJAL - SEVILLANA","2021-02-26","","40.125"
"CARVAJAL - SEVILLANA","2021-02-25","","32.54166667"
"CARVAJAL - SEVILLANA","2021-02-24","","35.875"
"CARVAJAL - SEVILLANA","2021-02-23","","38.54166667"
"CARVAJAL - SEVILLANA","2021-02-22","","29.875"
"CARVAJAL - SEVILLANA","2021-02-21","","23.20833333"
"CARVAJAL - SEVILLANA","2021-02-20","","24.33333333"
"CARVAJAL - SEVILLANA","2021-02-19","","33.79166667"
"CARVAJAL - SEVILLANA","2021-02-18","","32.79166667"
"CARVAJAL - SEVILLANA","2021-02-17","","44.66666667"
"CARVAJAL - SEVILLANA","2021-02-16","","38.20833333"
"CARVAJAL - SEVILLANA","2021-02-15","","45.39130435"
"CARVAJAL - SEVILLANA","2021-02-14","","35.5"
"CARVAJAL - SEVILLANA","2021-02-13","","32.52380952"
"CARVAJAL - SEVILLANA","2021-02-12","","49.0"
"CARVAJAL - SEVILLANA","2021-02-11","","31.5625"
"CARVAJAL - SEVILLANA","2021-02-10","","34.875"
"CARVAJAL - SEVILLANA","2021-02-09","","48.95652174"
"CARVAJAL - SEVILLANA","2021-02-08","","36.25"
"CARVAJAL - SEVILLANA","2021-02-07","","29.95833333"
"CARVAJAL - SEVILLANA","2021-02-06","","41.16666667"
"CARVAJAL - SEVILLANA","2021-02-05","","38.08695652"
"CARVAJAL - SEVILLANA","2021-02-04","","42.91666667"
"CARVAJAL - SEVILLANA","2021-02-03","","41.52173913"
"CARVAJAL - SEVILLANA","2021-02-02","","39.0"
"CARVAJAL - SEVILLANA","2021-02-01","","25.95"
"CARVAJAL - SEVILLANA","2021-01-31","","25.05555556"
"CARVAJAL - SEVILLANA","2021-01-30","","81.125"
"CARVAJAL - SEVILLANA","2021-01-29","","59.31578947"
"CARVAJAL - SEVILLANA","2021-01-28","","55.60869565"
"CARVAJAL - SEVILLANA","2021-01-27","","51.88235294"
"CARVAJAL - SEVILLANA","2021-01-26","","36.66666667"
"CARVAJAL - SEVILLANA","2021-01-25","","41.80952381"
"CARVAJAL - SEVILLANA","2021-01-24","","17.45833333"
"CARVAJAL - SEVILLANA","2021-01-23","","28.875"
"CARVAJAL - SEVILLANA","2021-01-22","","48.9047619"
"CARVAJAL - SEVILLANA","2021-01-21","","42.21052632"
"CARVAJAL - SEVILLANA","2021-01-20","","56.0"
"CARVAJAL - SEVILLANA","2021-01-19","","48.52173913"
"CARVAJAL - SEVILLANA","2021-01-18","","49.13043478"
"CARVAJAL - SEVILLANA","2021-01-17","","29.43478261"
"CARVAJAL - SEVILLANA","2021-01-16","","35.26315789"
"CARVAJAL - SEVILLANA","2021-01-12","","24.94444444"
"CARVAJAL - SEVILLANA","2021-01-11","","10.875"
"CARVAJAL - SEVILLANA","2021-01-10","","13.04166667"
"CARVAJAL - SEVILLANA","2021-01-09","","17.5"
"CARVAJAL - SEVILLANA","2021-01-08","","35.08333333"
"CARVAJAL - SEVILLANA","2021-01-07","","24.375"
"CARVAJAL - SEVILLANA","2021-01-06","","33.41666667"
"CARVAJAL - SEVILLANA","2021-01-05","","36.95833333"
"CARVAJAL - SEVILLANA","2021-01-04","","26.625"
"CARVAJAL - SEVILLANA","2021-01-03","","14.05555556"
"CARVAJAL - SEVILLANA","2021-01-02","","21.05"
"CARVAJAL - SEVILLANA","2021-01-01","","46.4"
"CARVAJAL - SEVILLANA","2020-12-31","","45.40909091"
"CARVAJAL - SEVILLANA","2020-12-30","","51.17391304"
"CARVAJAL - SEVILLANA","2020-12-29","","31.95833333"
"CARVAJAL - SEVILLANA","2020-12-28","","42.58333333"
"CARVAJAL - SEVILLANA","2020-12-27","","17.11111111"
"CARVAJAL - SEVILLANA","2020-12-26","","20.04761905"
"CARVAJAL - SEVILLANA","2020-12-25","","21.04166667"
"CARVAJAL - SEVILLANA","2020-12-24","","31.25"
"CARVAJAL - SEVILLANA","2020-12-23","","52.58333333"
"CARVAJAL - SEVILLANA","2020-12-22","","58.18181818"
"CARVAJAL - SEVILLANA","2020-12-21","","51.41666667"
"CARVAJAL - SEVILLANA","2020-12-20","","31.82352941"
"CARVAJAL - SEVILLANA","2020-12-19","","37.625"
"CARVAJAL - SEVILLANA","2020-12-18","","41.83333333"
"CARVAJAL - SEVILLANA","2020-12-17","","32.125"
"CARVAJAL - SEVILLANA","2020-12-16","","35.20833333"
"CARVAJAL - SEVILLANA","2020-12-15","","37.16666667"
"CARVAJAL - SEVILLANA","2020-12-14","","35.75"
"CARVAJAL - SEVILLANA","2020-12-13","","20.45833333"
"CARVAJAL - SEVILLANA","2020-12-12","","40.04166667"
"CARVAJAL - SEVILLANA","2020-12-11","","48.125"
"CARVAJAL - SEVILLANA","2020-12-10","","53.5"
"CARVAJAL - SEVILLANA","2020-12-09","","41.70833333"
"CARVAJAL - SEVILLANA","2020-12-08","","38.33333333"
"CARVAJAL - SEVILLANA","2020-12-07","","42.25"
"CARVAJAL - SEVILLANA","2020-12-06","","23.16666667"
"CARVAJAL - SEVILLANA","2020-12-05","","34.125"
"CARVAJAL - SEVILLANA","2020-12-04","","37.08333333"
"CARVAJAL - SEVILLANA","2020-12-03","","28.83333333"
"CARVAJAL - SEVILLANA","2020-12-02","","29.875"
"CARVAJAL - SEVILLANA","2020-12-01","","32.25"
"CARVAJAL - SEVILLANA","2020-11-30","","30.91304348"
"CARVAJAL - SEVILLANA","2020-11-29","","16.54166667"
"CARVAJAL - SEVILLANA","2020-11-28","","30.20833333"
"CARVAJAL - SEVILLANA","2020-11-27","","33.54166667"
"CARVAJAL - SEVILLANA","2020-11-26","","44.625"
"CARVAJAL - SEVILLANA","2020-11-25","","36.66666667"
"CARVAJAL - SEVILLANA","2020-11-24","","44.84210526"
"CARVAJAL - SEVILLANA","2020-11-23","","42.95833333"
"CARVAJAL - SEVILLANA","2020-11-22","","26.41666667"
"CARVAJAL - SEVILLANA","2020-11-21","","30.91666667"
"CARVAJAL - SEVILLANA","2020-11-20","","35.2173913"
"CARVAJAL - SEVILLANA","2020-11-19","","30.41666667"
"CARVAJAL - SEVILLANA","2020-11-18","","19.04166667"
"CARVAJAL - SEVILLANA","2020-11-17","","22.72"
"CARVAJAL - SEVILLANA","2020-11-16","","18.0"
"CARVAJAL - SEVILLANA","2020-11-15","","28.58333333"
"CARVAJAL - SEVILLANA","2020-11-14","","37.16666667"
"CARVAJAL - SEVILLANA","2020-11-13","","25.16666667"
"CARVAJAL - SEVILLANA","2020-11-12","","33.125"
"CARVAJAL - SEVILLANA","2020-11-11","","20.0"
"CARVAJAL - SEVILLANA","2020-11-10","","39.375"
"CARVAJAL - SEVILLANA","2020-11-09","","28.125"
"CARVAJAL - SEVILLANA","2020-11-08","","29.20833333"
"CARVAJAL - SEVILLANA","2020-11-07","","36.625"
"CARVAJAL - SEVILLANA","2020-11-06","","46.52173913"
"CARVAJAL - SEVILLANA","2020-11-05","","38.39130435"
"CARVAJAL - SEVILLANA","2020-11-04","","38.04166667"
"CARVAJAL - SEVILLANA","2020-11-03","","39.33333333"
"CARVAJAL - SEVILLANA","2020-11-02","","27.625"
"CARVAJAL - SEVILLANA","2020-11-01","","15.36"
"CARVAJAL - SEVILLANA","2020-10-31","","34.5"
"CARVAJAL - SEVILLANA","2020-10-30","","32.08333333"
"CARVAJAL - SEVILLANA","2020-10-29","","30.79166667"
"CARVAJAL - SEVILLANA","2020-10-28","","27.29166667"
"CARVAJAL - SEVILLANA","2020-10-27","","38.66666667"
"CARVAJAL - SEVILLANA","2020-10-26","","39.79166667"
"CARVAJAL - SEVILLANA","2020-10-25","","31.16666667"
"CARVAJAL - SEVILLANA","2020-10-24","","21.75"
"CARVAJAL - SEVILLANA","2020-10-23","","27.70833333"
"CARVAJAL - SEVILLANA","2020-10-22","","32.20833333"
"CARVAJAL - SEVILLANA","2020-10-21","","30.54166667"
"CARVAJAL - SEVILLANA","2020-10-20","","30.54166667"
"CARVAJAL - SEVILLANA","2020-10-19","","26.66666667"
"CARVAJAL - SEVILLANA","2020-10-18","","19.08333333"
"CARVAJAL - SEVILLANA","2020-10-17","","24.875"
"CARVAJAL - SEVILLANA","2020-10-16","","27.875"
"CARVAJAL - SEVILLANA","2020-10-15","","31.625"
"CARVAJAL - SEVILLANA","2020-10-14","","34.33333333"
"CARVAJAL - SEVILLANA","2020-10-13","","25.04166667"
"CARVAJAL - SEVILLANA","2020-10-12","","15.04166667"
"CARVAJAL - SEVILLANA","2020-10-11","","19.79166667"
"CARVAJAL - SEVILLANA","2020-10-10","","27.625"
"CARVAJAL - SEVILLANA","2020-10-09","","24.70833333"
"CARVAJAL - SEVILLANA","2020-10-08","","26.54166667"
"CARVAJAL - SEVILLANA","2020-10-07","","30.0"
"CARVAJAL - SEVILLANA","2020-10-06","","29.79166667"
"CARVAJAL - SEVILLANA","2020-10-05","","23.375"
"CARVAJAL - SEVILLANA","2020-10-04","","17.29166667"
"CARVAJAL - SEVILLANA","2020-10-03","","28.0"
"CARVAJAL - SEVILLANA","2020-10-02","","38.04166667"
"CARVAJAL - SEVILLANA","2020-10-01","","29.54166667"
"CARVAJAL - SEVILLANA","2020-09-30","","35.41666667"
"CARVAJAL - SEVILLANA","2020-09-25","","23.9375"
"CARVAJAL - SEVILLANA","2020-09-24","","23.58333333"
"CARVAJAL - SEVILLANA","2020-09-23","","28.54166667"
"CARVAJAL - SEVILLANA","2020-09-22","","42.60869565"
"CARVAJAL - SEVILLANA","2020-09-21","","28.625"
"CARVAJAL - SEVILLANA","2020-09-20","","16.0"
"CARVAJAL - SEVILLANA","2020-09-19","","25.16666667"
"CARVAJAL - SEVILLANA","2020-09-18","","39.66666667"
"CARVAJAL - SEVILLANA","2020-09-17","","36.41666667"
"CARVAJAL - SEVILLANA","2020-09-16","","25.08333333"
"CARVAJAL - SEVILLANA","2020-09-15","","35.25"
"CARVAJAL - SEVILLANA","2020-09-14","","29.66666667"
"CARVAJAL - SEVILLANA","2020-09-13","","19.13043478"
"CARVAJAL - SEVILLANA","2020-09-12","","31.375"
"CARVAJAL - SEVILLANA","2020-09-11","","38.70833333"
"CARVAJAL - SEVILLANA","2020-09-10","","29.5"
"CARVAJAL - SEVILLANA","2020-09-09","","35.55555556"
"CARVAJAL - SEVILLANA","2020-09-04","","25.0625"
"CARVAJAL - SEVILLANA","2020-09-03","","32.54166667"
"CARVAJAL - SEVILLANA","2020-09-02","","23.66666667"
"CARVAJAL - SEVILLANA","2020-09-01","","26.20833333"
"CARVAJAL - SEVILLANA","2020-08-31","","30.70833333"
"CARVAJAL - SEVILLANA","2020-08-30","","16.95833333"
"CARVAJAL - SEVILLANA","2020-08-29","","32.0"
"CARVAJAL - SEVILLANA","2020-08-28","","23.33333333"
"CARVAJAL - SEVILLANA","2020-08-27","","25.65217391"
"CARVAJAL - SEVILLANA","2020-08-26","","33.95833333"
"CARVAJAL - SEVILLANA","2020-08-25","","34.08333333"
"CARVAJAL - SEVILLANA","2020-08-24","","27.95833333"
"CARVAJAL - SEVILLANA","2020-08-23","","21.58333333"
"CARVAJAL - SEVILLANA","2020-08-22","","23.625"
"CARVAJAL - SEVILLANA","2020-08-21","","27.29166667"
"CARVAJAL - SEVILLANA","2020-08-20","","33.20833333"
"CARVAJAL - SEVILLANA","2020-08-19","","33.58333333"
"CARVAJAL - SEVILLANA","2020-08-18","","37.95833333"
"CARVAJAL - SEVILLANA","2020-08-17","","25.95833333"
"CARVAJAL - SEVILLANA","2020-08-16","","14.08333333"
"CARVAJAL - SEVILLANA","2020-08-15","","25.75"
"CARVAJAL - SEVILLANA","2020-08-14","","23.95833333"
"CARVAJAL - SEVILLANA","2020-08-13","","26.04166667"
"CARVAJAL - SEVILLANA","2020-08-12","","28.54166667"
"CARVAJAL - SEVILLANA","2020-08-11","","29.58333333"
"CARVAJAL - SEVILLANA","2020-08-10","","25.5"
"CARVAJAL - SEVILLANA","2020-08-09","","19.66666667"
"CARVAJAL - SEVILLANA","2020-08-08","","21.91666667"
"CARVAJAL - SEVILLANA","2020-08-07","","12.20833333"
"CARVAJAL - SEVILLANA","2020-08-06","","23.58333333"
"CARVAJAL - SEVILLANA","2020-08-05","","24.5"
"CARVAJAL - SEVILLANA","2020-08-04","","23.75"
"CARVAJAL - SEVILLANA","2020-08-03","","25.45833333"
"CARVAJAL - SEVILLANA","2020-08-02","","14.0"
"CARVAJAL - SEVILLANA","2020-08-01","","22.25"
"CARVAJAL - SEVILLANA","2020-07-31","","27.91666667"
"CARVAJAL - SEVILLANA","2020-07-30","","24.41666667"
"CARVAJAL - SEVILLANA","2020-07-29","","24.875"
"CARVAJAL - SEVILLANA","2020-07-28","","21.25"
"CARVAJAL - SEVILLANA","2020-07-27","","21.79166667"
"CARVAJAL - SEVILLANA","2020-07-26","","12.91666667"
"CARVAJAL - SEVILLANA","2020-07-25","","22.08333333"
"CARVAJAL - SEVILLANA","2020-07-24","","23.04347826"
"CARVAJAL - SEVILLANA","2020-07-23","","25.625"
"CARVAJAL - SEVILLANA","2020-07-22","","29.58333333"
"CARVAJAL - SEVILLANA","2020-07-21","","26.70833333"
"CARVAJAL - SEVILLANA","2020-07-20","","12.43478261"
"CARVAJAL - SEVILLANA","2020-07-19","","16.45833333"
"CARVAJAL - SEVILLANA","2020-07-18","","19.20833333"
"CARVAJAL - SEVILLANA","2020-07-17","","22.25"
"CARVAJAL - SEVILLANA","2020-07-16","","21.41666667"
"CARVAJAL - SEVILLANA","2020-07-15","","21.79166667"
"CARVAJAL - SEVILLANA","2020-07-14","","19.625"
"CARVAJAL - SEVILLANA","2020-07-13","","21.0"
"CARVAJAL - SEVILLANA","2020-07-12","","18.70833333"
"CARVAJAL - SEVILLANA","2020-07-11","","22.125"
"CARVAJAL - SEVILLANA","2020-07-10","","25.54166667"
"CARVAJAL - SEVILLANA","2020-07-09","","21.58333333"
"CARVAJAL - SEVILLANA","2020-07-08","","25.54166667"
"CARVAJAL - SEVILLANA","2020-07-07","","28.08333333"
"CARVAJAL - SEVILLANA","2020-07-06","","26.33333333"
"CARVAJAL - SEVILLANA","2020-07-05","","17.75"
"CARVAJAL - SEVILLANA","2020-07-04","","18.5"
