"Estacion","Fecha inicial","Fecha final","PM2.5"
"CAÑAVERALEJO","2021-07-27","","4.48826087"
"CAÑAVERALEJO","2021-07-26","","4.36041667"
"CAÑAVERALEJO","2021-07-25","","4.1275"
"CAÑAVERALEJO","2021-07-24","","12.3075"
"CAÑAVERALEJO","2021-07-23","","10.66958333"
"CAÑAVERALEJO","2021-07-22","","14.88416667"
"CAÑAVERALEJO","2021-07-21","","15.68916667"
"CAÑAVERALEJO","2021-07-20","","8.70083333"
"CAÑAVERALEJO","2021-07-19","","13.9775"
"CAÑAVERALEJO","2021-07-18","","10.65791667"
"CAÑAVERALEJO","2021-07-17","","9.8325"
"CAÑAVERALEJO","2021-07-16","","14.34583333"
"CAÑAVERALEJO","2021-07-15","","16.12791667"
"CAÑAVERALEJO","2021-07-14","","13.45166667"
"CAÑAVERALEJO","2021-07-13","","10.88916667"
"CAÑAVERALEJO","2021-07-12","","11.56166667"
"CAÑAVERALEJO","2021-07-11","","4.87083333"
"CAÑAVERALEJO","2021-07-10","","5.43041667"
"CAÑAVERALEJO","2021-07-09","","16.65208333"
"CAÑAVERALEJO","2021-07-08","","15.02708333"
"CAÑAVERALEJO","2021-07-07","","16.01473684"
"CAÑAVERALEJO","2021-06-19","","3.59434783"
"CAÑAVERALEJO","2021-06-18","","5.05"
"CAÑAVERALEJO","2021-06-17","","9.75083333"
"CAÑAVERALEJO","2021-06-16","","12.73916667"
"CAÑAVERALEJO","2021-06-15","","5.27083333"
"CAÑAVERALEJO","2021-06-14","","9.69291667"
"CAÑAVERALEJO","2021-06-13","","6.46958333"
"CAÑAVERALEJO","2021-06-12","","5.62083333"
"CAÑAVERALEJO","2021-06-11","","8.08166667"
"CAÑAVERALEJO","2021-06-10","","6.07875"
"CAÑAVERALEJO","2021-06-09","","5.70541667"
"CAÑAVERALEJO","2021-06-08","","9.44458333"
"CAÑAVERALEJO","2021-06-07","","5.90791667"
"CAÑAVERALEJO","2021-06-06","","5.46583333"
"CAÑAVERALEJO","2021-06-05","","4.16625"
"CAÑAVERALEJO","2021-06-04","","2.84458333"
"CAÑAVERALEJO","2021-06-03","","3.20208333"
"CAÑAVERALEJO","2021-06-02","","3.3325"
"CAÑAVERALEJO","2021-06-01","","4.4675"
"CAÑAVERALEJO","2021-05-31","","2.96916667"
"CAÑAVERALEJO","2021-05-30","","4.70333333"
"CAÑAVERALEJO","2021-05-29","","9.02958333"
"CAÑAVERALEJO","2021-05-28","","11.15125"
"CAÑAVERALEJO","2021-05-27","","8.20333333"
"CAÑAVERALEJO","2021-05-26","","8.86375"
"CAÑAVERALEJO","2021-05-25","","8.97333333"
"CAÑAVERALEJO","2021-05-24","","8.01208333"
"CAÑAVERALEJO","2021-05-23","","7.96625"
"CAÑAVERALEJO","2021-05-22","","8.39833333"
"CAÑAVERALEJO","2021-05-21","","10.185"
"CAÑAVERALEJO","2021-05-20","","10.16708333"
"CAÑAVERALEJO","2021-05-19","","9.94291667"
"CAÑAVERALEJO","2021-05-18","","8.75333333"
"CAÑAVERALEJO","2021-05-17","","3.19541667"
"CAÑAVERALEJO","2021-05-16","","1.38333333"
"CAÑAVERALEJO","2021-05-15","","9.85666667"
"CAÑAVERALEJO","2021-05-14","","7.94"
"CAÑAVERALEJO","2021-05-13","","4.57416667"
"CAÑAVERALEJO","2021-05-12","","1.13333333"
"CAÑAVERALEJO","2021-05-11","","3.42375"
"CAÑAVERALEJO","2021-05-10","","2.93916667"
"CAÑAVERALEJO","2021-05-09","","2.62625"
"CAÑAVERALEJO","2021-05-08","","0.78916667"
"CAÑAVERALEJO","2021-05-07","","2.4975"
"CAÑAVERALEJO","2021-05-06","","13.69083333"
"CAÑAVERALEJO","2021-05-05","","17.15708333"
"CAÑAVERALEJO","2021-05-04","","12.68625"
"CAÑAVERALEJO","2021-05-03","","7.89208333"
"CAÑAVERALEJO","2021-05-02","","3.72583333"
"CAÑAVERALEJO","2021-05-01","","5.245"
"CAÑAVERALEJO","2021-04-30","","7.90708333"
"CAÑAVERALEJO","2021-04-29","","7.54"
"CAÑAVERALEJO","2021-04-28","","5.58833333"
"CAÑAVERALEJO","2021-04-27","","7.555"
"CAÑAVERALEJO","2021-04-26","","6.89708333"
"CAÑAVERALEJO","2021-04-25","","7.76791667"
"CAÑAVERALEJO","2021-04-24","","4.42166667"
"CAÑAVERALEJO","2021-04-23","","6.73291667"
"CAÑAVERALEJO","2021-04-22","","9.27956522"
"CAÑAVERALEJO","2021-04-21","","6.27"
"CAÑAVERALEJO","2021-04-20","","4.2975"
"CAÑAVERALEJO","2021-04-19","","3.14625"
"CAÑAVERALEJO","2021-04-18","","11.54625"
"CAÑAVERALEJO","2021-04-17","","11.4375"
"CAÑAVERALEJO","2021-04-16","","7.05875"
"CAÑAVERALEJO","2021-04-15","","12.91291667"
"CAÑAVERALEJO","2021-04-14","","7.55166667"
"CAÑAVERALEJO","2021-04-13","","7.07041667"
"CAÑAVERALEJO","2021-04-12","","9.5475"
"CAÑAVERALEJO","2021-04-11","","6.98375"
"CAÑAVERALEJO","2021-04-10","","6.79166667"
"CAÑAVERALEJO","2021-04-09","","7.67375"
"CAÑAVERALEJO","2021-04-08","","15.15"
"CAÑAVERALEJO","2021-04-07","","27.83416667"
"CAÑAVERALEJO","2021-04-06","","22.84666667"
"CAÑAVERALEJO","2021-04-05","","6.89958333"
"CAÑAVERALEJO","2021-04-04","","6.10458333"
"CAÑAVERALEJO","2021-04-03","","7.4025"
"CAÑAVERALEJO","2021-04-02","","4.59708333"
"CAÑAVERALEJO","2021-04-01","","5.82"
"CAÑAVERALEJO","2021-03-31","","6.54458333"
"CAÑAVERALEJO","2021-03-30","","7.24875"
"CAÑAVERALEJO","2021-03-29","","8.77"
"CAÑAVERALEJO","2021-03-28","","9.72875"
"CAÑAVERALEJO","2021-03-27","","13.4475"
"CAÑAVERALEJO","2021-03-26","","10.71416667"
"CAÑAVERALEJO","2021-03-25","","14.87458333"
"CAÑAVERALEJO","2021-03-24","","12.1575"
"CAÑAVERALEJO","2021-03-23","","8.1925"
"CAÑAVERALEJO","2021-03-22","","4.87333333"
"CAÑAVERALEJO","2021-03-21","","3.23625"
"CAÑAVERALEJO","2021-03-20","","8.40666667"
"CAÑAVERALEJO","2021-03-19","","6.04791667"
"CAÑAVERALEJO","2021-03-18","","4.95333333"
"CAÑAVERALEJO","2021-03-17","","11.27541667"
"CAÑAVERALEJO","2021-03-16","","14.78916667"
"CAÑAVERALEJO","2021-03-15","","13.2025"
"CAÑAVERALEJO","2021-03-14","","11.29833333"
"CAÑAVERALEJO","2021-03-13","","13.61933333"
"CAÑAVERALEJO","2021-03-03","","5.32384615"
"CAÑAVERALEJO","2021-03-02","","6.01291667"
"CAÑAVERALEJO","2021-03-01","","6.62333333"
"CAÑAVERALEJO","2021-02-28","","10.50916667"
"CAÑAVERALEJO","2021-02-27","","10.605"
"CAÑAVERALEJO","2021-02-26","","10.17125"
"CAÑAVERALEJO","2021-02-25","","14.49"
"CAÑAVERALEJO","2021-02-24","","11.21166667"
"CAÑAVERALEJO","2021-02-23","","6.04375"
"CAÑAVERALEJO","2021-02-22","","4.77083333"
