"Estacion","Fecha inicial","Fecha final","PM10"
"CENTRO DE ALTO RENDIMIENTO","2021-02-28","","16.36521739"
"CENTRO DE ALTO RENDIMIENTO","2021-02-27","","27.3125"
"CENTRO DE ALTO RENDIMIENTO","2021-02-26","","22.44210526"
"CENTRO DE ALTO RENDIMIENTO","2021-02-25","","13.11666667"
"CENTRO DE ALTO RENDIMIENTO","2021-02-24","","25.02380952"
"CENTRO DE ALTO RENDIMIENTO","2021-02-23","","25.70952381"
"CENTRO DE ALTO RENDIMIENTO","2021-02-22","","19.86956522"
"CENTRO DE ALTO RENDIMIENTO","2021-02-21","","26.49130435"
"CENTRO DE ALTO RENDIMIENTO","2021-02-20","","29.91666667"
"CENTRO DE ALTO RENDIMIENTO","2021-02-19","","27.3625"
"CENTRO DE ALTO RENDIMIENTO","2021-02-18","","28.37083333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-17","","38.54583333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-16","","33.6125"
"CENTRO DE ALTO RENDIMIENTO","2021-02-15","","28.57826087"
"CENTRO DE ALTO RENDIMIENTO","2021-02-14","","32.39565217"
"CENTRO DE ALTO RENDIMIENTO","2021-02-13","","22.41304348"
"CENTRO DE ALTO RENDIMIENTO","2021-02-12","","45.84705882"
"CENTRO DE ALTO RENDIMIENTO","2021-02-11","","33.93333333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-10","","29.23333333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-09","","35.3875"
"CENTRO DE ALTO RENDIMIENTO","2021-02-08","","27.99130435"
"CENTRO DE ALTO RENDIMIENTO","2021-02-07","","20.075"
"CENTRO DE ALTO RENDIMIENTO","2021-02-06","","21.94210526"
"CENTRO DE ALTO RENDIMIENTO","2021-02-05","","17.03684211"
"CENTRO DE ALTO RENDIMIENTO","2021-02-04","","26.04117647"
"CENTRO DE ALTO RENDIMIENTO","2021-02-03","","19.34666667"
"CENTRO DE ALTO RENDIMIENTO","2021-02-02","","8.48571429"
"CENTRO DE ALTO RENDIMIENTO","2021-02-01","","12.31176471"
"CENTRO DE ALTO RENDIMIENTO","2021-01-31","","15.3875"
"CENTRO DE ALTO RENDIMIENTO","2021-01-30","","26.98947368"
"CENTRO DE ALTO RENDIMIENTO","2021-01-29","","42.13333333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-28","","46.16956522"
"CENTRO DE ALTO RENDIMIENTO","2021-01-27","","30.65454545"
"CENTRO DE ALTO RENDIMIENTO","2021-01-26","","22.04"
"CENTRO DE ALTO RENDIMIENTO","2021-01-24","","14.66470588"
"CENTRO DE ALTO RENDIMIENTO","2021-01-23","","13.53"
"CENTRO DE ALTO RENDIMIENTO","2021-01-22","","31.88181818"
"CENTRO DE ALTO RENDIMIENTO","2021-01-21","","37.82083333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-20","","35.7047619"
"CENTRO DE ALTO RENDIMIENTO","2021-01-19","","38.3875"
"CENTRO DE ALTO RENDIMIENTO","2021-01-18","","35.1"
"CENTRO DE ALTO RENDIMIENTO","2021-01-17","","23.435"
"CENTRO DE ALTO RENDIMIENTO","2021-01-16","","36.63333333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-15","","45.85652174"
"CENTRO DE ALTO RENDIMIENTO","2021-01-14","","40.70833333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-13","","32.74761905"
"CENTRO DE ALTO RENDIMIENTO","2021-01-12","","3.84444444"
"CENTRO DE ALTO RENDIMIENTO","2021-01-11","","2.89473684"
"CENTRO DE ALTO RENDIMIENTO","2021-01-10","","3.99"
"CENTRO DE ALTO RENDIMIENTO","2021-01-09","","4.83181818"
"CENTRO DE ALTO RENDIMIENTO","2021-01-08","","22.05833333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-07","","17.395"
"CENTRO DE ALTO RENDIMIENTO","2021-01-06","","24.2"
"CENTRO DE ALTO RENDIMIENTO","2021-01-05","","22.24090909"
"CENTRO DE ALTO RENDIMIENTO","2021-01-04","","17.12857143"
"CENTRO DE ALTO RENDIMIENTO","2021-01-03","","12.05555556"
"CENTRO DE ALTO RENDIMIENTO","2021-01-02","","10.69230769"
"CENTRO DE ALTO RENDIMIENTO","2021-01-01","","20.08333333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-31","","30.40454545"
"CENTRO DE ALTO RENDIMIENTO","2020-12-30","","37.36363636"
"CENTRO DE ALTO RENDIMIENTO","2020-12-29","","25.44583333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-28","","28.07"
"CENTRO DE ALTO RENDIMIENTO","2020-12-27","","15.1047619"
"CENTRO DE ALTO RENDIMIENTO","2020-12-26","","16.3"
"CENTRO DE ALTO RENDIMIENTO","2020-12-25","","16.38947368"
"CENTRO DE ALTO RENDIMIENTO","2020-12-24","","19.60952381"
"CENTRO DE ALTO RENDIMIENTO","2020-12-23","","42.44583333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-22","","28.3125"
"CENTRO DE ALTO RENDIMIENTO","2020-12-21","","30.36666667"
"CENTRO DE ALTO RENDIMIENTO","2020-12-20","","15.3"
"CENTRO DE ALTO RENDIMIENTO","2020-12-19","","23.66521739"
"CENTRO DE ALTO RENDIMIENTO","2020-12-18","","27.63043478"
"CENTRO DE ALTO RENDIMIENTO","2020-12-17","","30.54"
"CENTRO DE ALTO RENDIMIENTO","2020-12-12","","23.925"
"CENTRO DE ALTO RENDIMIENTO","2020-12-11","","30.9826087"
"CENTRO DE ALTO RENDIMIENTO","2020-12-10","","51.92916667"
"CENTRO DE ALTO RENDIMIENTO","2020-12-09","","28.35217391"
"CENTRO DE ALTO RENDIMIENTO","2020-12-08","","40.59090909"
"CENTRO DE ALTO RENDIMIENTO","2020-12-07","","29.5125"
"CENTRO DE ALTO RENDIMIENTO","2020-12-06","","13.35416667"
"CENTRO DE ALTO RENDIMIENTO","2020-12-05","","16.625"
"CENTRO DE ALTO RENDIMIENTO","2020-12-04","","23.53043478"
"CENTRO DE ALTO RENDIMIENTO","2020-12-03","","18.1625"
"CENTRO DE ALTO RENDIMIENTO","2020-12-02","","12.58333333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-01","","24.64583333"
"CENTRO DE ALTO RENDIMIENTO","2020-11-30","","11.84090909"
"CENTRO DE ALTO RENDIMIENTO","2020-11-29","","12.37"
"CENTRO DE ALTO RENDIMIENTO","2020-11-28","","19.605"
"CENTRO DE ALTO RENDIMIENTO","2020-11-27","","33.7375"
"CENTRO DE ALTO RENDIMIENTO","2020-11-26","","46.0125"
"CENTRO DE ALTO RENDIMIENTO","2020-11-25","","25.8625"
"CENTRO DE ALTO RENDIMIENTO","2020-11-24","","39.6"
"CENTRO DE ALTO RENDIMIENTO","2020-11-23","","30.4875"
"CENTRO DE ALTO RENDIMIENTO","2020-11-22","","33.55"
"CENTRO DE ALTO RENDIMIENTO","2020-11-21","","19.72916667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-20","","20.80454545"
"CENTRO DE ALTO RENDIMIENTO","2020-11-19","","20.87222222"
"CENTRO DE ALTO RENDIMIENTO","2020-11-18","","25.18636364"
"CENTRO DE ALTO RENDIMIENTO","2020-11-17","","19.90416667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-16","","14.35"
"CENTRO DE ALTO RENDIMIENTO","2020-11-15","","25.00454545"
"CENTRO DE ALTO RENDIMIENTO","2020-11-14","","35.59130435"
"CENTRO DE ALTO RENDIMIENTO","2020-11-13","","20.77894737"
"CENTRO DE ALTO RENDIMIENTO","2020-11-12","","26.43043478"
"CENTRO DE ALTO RENDIMIENTO","2020-11-11","","11.975"
"CENTRO DE ALTO RENDIMIENTO","2020-11-10","","30.77083333"
"CENTRO DE ALTO RENDIMIENTO","2020-11-09","","24.9047619"
"CENTRO DE ALTO RENDIMIENTO","2020-11-08","","25.65416667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-07","","37.67916667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-06","","50.49583333"
"CENTRO DE ALTO RENDIMIENTO","2020-11-05","","23.40434783"
"CENTRO DE ALTO RENDIMIENTO","2020-11-04","","33.12083333"
"CENTRO DE ALTO RENDIMIENTO","2020-11-03","","35.03478261"
"CENTRO DE ALTO RENDIMIENTO","2020-11-02","","19.175"
"CENTRO DE ALTO RENDIMIENTO","2020-11-01","","16.1125"
"CENTRO DE ALTO RENDIMIENTO","2020-10-31","","26.35"
"CENTRO DE ALTO RENDIMIENTO","2020-10-30","","26.42916667"
"CENTRO DE ALTO RENDIMIENTO","2020-10-29","","29.42916667"
"CENTRO DE ALTO RENDIMIENTO","2020-10-28","","18.6"
"CENTRO DE ALTO RENDIMIENTO","2020-10-27","","31.87727273"
"CENTRO DE ALTO RENDIMIENTO","2020-10-26","","43.25"
"CENTRO DE ALTO RENDIMIENTO","2020-10-25","","25.75652174"
"CENTRO DE ALTO RENDIMIENTO","2020-10-24","","14.26666667"
"CENTRO DE ALTO RENDIMIENTO","2020-10-23","","9.55217391"
"CENTRO DE ALTO RENDIMIENTO","2020-10-22","","7.32777778"
"CENTRO DE ALTO RENDIMIENTO","2020-10-21","","15.51818182"
"CENTRO DE ALTO RENDIMIENTO","2020-10-20","","32.84166667"
"CENTRO DE ALTO RENDIMIENTO","2020-10-19","","28.79545455"
"CENTRO DE ALTO RENDIMIENTO","2020-10-18","","13.55"
"CENTRO DE ALTO RENDIMIENTO","2020-10-17","","10.58888889"
"CENTRO DE ALTO RENDIMIENTO","2020-10-16","","9.395"
"CENTRO DE ALTO RENDIMIENTO","2020-10-15","","17.96521739"
"CENTRO DE ALTO RENDIMIENTO","2020-10-14","","26.56956522"
"CENTRO DE ALTO RENDIMIENTO","2020-10-13","","10.58095238"
"CENTRO DE ALTO RENDIMIENTO","2020-10-12","","13.22380952"
"CENTRO DE ALTO RENDIMIENTO","2020-10-11","","8.6125"
"CENTRO DE ALTO RENDIMIENTO","2020-10-10","","17.00454545"
"CENTRO DE ALTO RENDIMIENTO","2020-10-09","","5.65833333"
"CENTRO DE ALTO RENDIMIENTO","2020-10-08","","10.32380952"
"CENTRO DE ALTO RENDIMIENTO","2020-10-07","","18.99583333"
"CENTRO DE ALTO RENDIMIENTO","2020-10-06","","30.32083333"
"CENTRO DE ALTO RENDIMIENTO","2020-10-05","","15.5625"
"CENTRO DE ALTO RENDIMIENTO","2020-10-04","","9.00833333"
"CENTRO DE ALTO RENDIMIENTO","2020-10-03","","22.55416667"
"CENTRO DE ALTO RENDIMIENTO","2020-10-02","","22.59166667"
"CENTRO DE ALTO RENDIMIENTO","2020-10-01","","11.53529412"
"CENTRO DE ALTO RENDIMIENTO","2020-09-30","","8.63043478"
"CENTRO DE ALTO RENDIMIENTO","2020-09-29","","10.87916667"
"CENTRO DE ALTO RENDIMIENTO","2020-09-28","","14.08947368"
"CENTRO DE ALTO RENDIMIENTO","2020-09-27","","14.57916667"
"CENTRO DE ALTO RENDIMIENTO","2020-09-26","","28.37083333"
"CENTRO DE ALTO RENDIMIENTO","2020-09-25","","7.0625"
"CENTRO DE ALTO RENDIMIENTO","2020-09-24","","5.15652174"
"CENTRO DE ALTO RENDIMIENTO","2020-09-23","","15.9375"
"CENTRO DE ALTO RENDIMIENTO","2020-09-22","","17.45"
"CENTRO DE ALTO RENDIMIENTO","2020-09-21","","9.05"
"CENTRO DE ALTO RENDIMIENTO","2020-09-20","","8.46190476"
"CENTRO DE ALTO RENDIMIENTO","2020-09-19","","25.68"
"CENTRO DE ALTO RENDIMIENTO","2020-09-18","","32.57916667"
"CENTRO DE ALTO RENDIMIENTO","2020-09-17","","36.36363636"
"CENTRO DE ALTO RENDIMIENTO","2020-09-16","","22.78333333"
"CENTRO DE ALTO RENDIMIENTO","2020-09-15","","18.84347826"
"CENTRO DE ALTO RENDIMIENTO","2020-09-14","","10.70454545"
"CENTRO DE ALTO RENDIMIENTO","2020-09-13","","11.685"
"CENTRO DE ALTO RENDIMIENTO","2020-09-12","","23.25833333"
"CENTRO DE ALTO RENDIMIENTO","2020-09-11","","26.725"
"CENTRO DE ALTO RENDIMIENTO","2020-09-10","","26.48333333"
"CENTRO DE ALTO RENDIMIENTO","2020-09-09","","32.13913043"
"CENTRO DE ALTO RENDIMIENTO","2020-09-08","","15.41363636"
"CENTRO DE ALTO RENDIMIENTO","2020-09-07","","21.32272727"
"CENTRO DE ALTO RENDIMIENTO","2020-09-06","","6.7"
"CENTRO DE ALTO RENDIMIENTO","2020-09-05","","9.82941176"
"CENTRO DE ALTO RENDIMIENTO","2020-09-04","","9.9"
"CENTRO DE ALTO RENDIMIENTO","2020-09-03","","17.025"
"CENTRO DE ALTO RENDIMIENTO","2020-09-02","","20.67083333"
"CENTRO DE ALTO RENDIMIENTO","2020-09-01","","16.05"
"CENTRO DE ALTO RENDIMIENTO","2020-08-31","","26.80434783"
"CENTRO DE ALTO RENDIMIENTO","2020-08-30","","17.52083333"
"CENTRO DE ALTO RENDIMIENTO","2020-08-29","","34.325"
"CENTRO DE ALTO RENDIMIENTO","2020-08-28","","11.6"
"CENTRO DE ALTO RENDIMIENTO","2020-08-27","","11.21818182"
