"Estacion","Fecha inicial","Fecha final","PM2.5"
"CENTRO DE ALTO RENDIMIENTO","2021-02-28","","9.39130435"
"CENTRO DE ALTO RENDIMIENTO","2021-02-27","","18.58333333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-26","","12.79166667"
"CENTRO DE ALTO RENDIMIENTO","2021-02-25","","7.30434783"
"CENTRO DE ALTO RENDIMIENTO","2021-02-24","","13.29166667"
"CENTRO DE ALTO RENDIMIENTO","2021-02-23","","14.0"
"CENTRO DE ALTO RENDIMIENTO","2021-02-22","","10.75"
"CENTRO DE ALTO RENDIMIENTO","2021-02-21","","16.95833333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-20","","17.75"
"CENTRO DE ALTO RENDIMIENTO","2021-02-19","","15.33333333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-18","","15.20833333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-17","","23.16666667"
"CENTRO DE ALTO RENDIMIENTO","2021-02-16","","18.45833333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-15","","17.34782609"
"CENTRO DE ALTO RENDIMIENTO","2021-02-14","","20.60434783"
"CENTRO DE ALTO RENDIMIENTO","2021-02-13","","15.375"
"CENTRO DE ALTO RENDIMIENTO","2021-02-12","","25.94117647"
"CENTRO DE ALTO RENDIMIENTO","2021-02-11","","17.11111111"
"CENTRO DE ALTO RENDIMIENTO","2021-02-10","","16.5625"
"CENTRO DE ALTO RENDIMIENTO","2021-02-09","","23.45833333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-08","","14.04347826"
"CENTRO DE ALTO RENDIMIENTO","2021-02-07","","11.66666667"
"CENTRO DE ALTO RENDIMIENTO","2021-02-06","","14.41666667"
"CENTRO DE ALTO RENDIMIENTO","2021-02-05","","8.22916667"
"CENTRO DE ALTO RENDIMIENTO","2021-02-04","","12.0"
"CENTRO DE ALTO RENDIMIENTO","2021-02-03","","10.95833333"
"CENTRO DE ALTO RENDIMIENTO","2021-02-02","","7.45454545"
"CENTRO DE ALTO RENDIMIENTO","2021-02-01","","5.7826087"
"CENTRO DE ALTO RENDIMIENTO","2021-01-31","","8.43478261"
"CENTRO DE ALTO RENDIMIENTO","2021-01-30","","13.33333333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-29","","24.875"
"CENTRO DE ALTO RENDIMIENTO","2021-01-28","","26.75"
"CENTRO DE ALTO RENDIMIENTO","2021-01-27","","11.91666667"
"CENTRO DE ALTO RENDIMIENTO","2021-01-26","","10.16666667"
"CENTRO DE ALTO RENDIMIENTO","2021-01-25","","8.22727273"
"CENTRO DE ALTO RENDIMIENTO","2021-01-24","","7.29166667"
"CENTRO DE ALTO RENDIMIENTO","2021-01-23","","8.45833333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-22","","14.0375"
"CENTRO DE ALTO RENDIMIENTO","2021-01-21","","21.45833333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-20","","18.79166667"
"CENTRO DE ALTO RENDIMIENTO","2021-01-19","","22.30869565"
"CENTRO DE ALTO RENDIMIENTO","2021-01-18","","21.875"
"CENTRO DE ALTO RENDIMIENTO","2021-01-17","","15.33333333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-16","","20.20833333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-15","","26.52173913"
"CENTRO DE ALTO RENDIMIENTO","2021-01-14","","21.54166667"
"CENTRO DE ALTO RENDIMIENTO","2021-01-13","","14.30434783"
"CENTRO DE ALTO RENDIMIENTO","2021-01-12","","4.5"
"CENTRO DE ALTO RENDIMIENTO","2021-01-11","","2.41666667"
"CENTRO DE ALTO RENDIMIENTO","2021-01-10","","3.78947368"
"CENTRO DE ALTO RENDIMIENTO","2021-01-09","","3.0"
"CENTRO DE ALTO RENDIMIENTO","2021-01-08","","12.4375"
"CENTRO DE ALTO RENDIMIENTO","2021-01-07","","8.58333333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-06","","15.20833333"
"CENTRO DE ALTO RENDIMIENTO","2021-01-05","","13.73913043"
"CENTRO DE ALTO RENDIMIENTO","2021-01-04","","8.54166667"
"CENTRO DE ALTO RENDIMIENTO","2021-01-03","","6.625"
"CENTRO DE ALTO RENDIMIENTO","2021-01-02","","6.5"
"CENTRO DE ALTO RENDIMIENTO","2021-01-01","","17.07142857"
"CENTRO DE ALTO RENDIMIENTO","2020-12-31","","21.04545455"
"CENTRO DE ALTO RENDIMIENTO","2020-12-30","","22.16666667"
"CENTRO DE ALTO RENDIMIENTO","2020-12-29","","14.61111111"
"CENTRO DE ALTO RENDIMIENTO","2020-12-28","","13.58333333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-27","","8.36666667"
"CENTRO DE ALTO RENDIMIENTO","2020-12-26","","8.7826087"
"CENTRO DE ALTO RENDIMIENTO","2020-12-25","","12.0"
"CENTRO DE ALTO RENDIMIENTO","2020-12-24","","14.125"
"CENTRO DE ALTO RENDIMIENTO","2020-12-23","","23.54166667"
"CENTRO DE ALTO RENDIMIENTO","2020-12-22","","15.9173913"
"CENTRO DE ALTO RENDIMIENTO","2020-12-21","","15.86956522"
"CENTRO DE ALTO RENDIMIENTO","2020-12-20","","7.70833333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-19","","12.25"
"CENTRO DE ALTO RENDIMIENTO","2020-12-18","","12.83333333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-17","","8.25"
"CENTRO DE ALTO RENDIMIENTO","2020-12-16","","9.29166667"
"CENTRO DE ALTO RENDIMIENTO","2020-12-15","","18.30434783"
"CENTRO DE ALTO RENDIMIENTO","2020-12-14","","11.83333333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-13","","10.875"
"CENTRO DE ALTO RENDIMIENTO","2020-12-12","","18.83333333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-11","","20.125"
"CENTRO DE ALTO RENDIMIENTO","2020-12-10","","31.45833333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-09","","17.5"
"CENTRO DE ALTO RENDIMIENTO","2020-12-08","","23.60869565"
"CENTRO DE ALTO RENDIMIENTO","2020-12-07","","16.5"
"CENTRO DE ALTO RENDIMIENTO","2020-12-06","","7.08333333"
"CENTRO DE ALTO RENDIMIENTO","2020-12-05","","7.5"
"CENTRO DE ALTO RENDIMIENTO","2020-12-04","","12.625"
"CENTRO DE ALTO RENDIMIENTO","2020-12-03","","10.25"
"CENTRO DE ALTO RENDIMIENTO","2020-12-02","","4.46086957"
"CENTRO DE ALTO RENDIMIENTO","2020-12-01","","15.33333333"
"CENTRO DE ALTO RENDIMIENTO","2020-11-30","","7.67826087"
"CENTRO DE ALTO RENDIMIENTO","2020-11-29","","6.5"
"CENTRO DE ALTO RENDIMIENTO","2020-11-28","","16.04166667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-27","","22.54166667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-26","","25.375"
"CENTRO DE ALTO RENDIMIENTO","2020-11-25","","16.91666667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-24","","25.87916667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-23","","21.34782609"
"CENTRO DE ALTO RENDIMIENTO","2020-11-22","","19.91666667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-21","","10.75"
"CENTRO DE ALTO RENDIMIENTO","2020-11-20","","12.9"
"CENTRO DE ALTO RENDIMIENTO","2020-11-19","","15.70833333"
"CENTRO DE ALTO RENDIMIENTO","2020-11-18","","14.91666667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-17","","13.0"
"CENTRO DE ALTO RENDIMIENTO","2020-11-16","","11.5"
"CENTRO DE ALTO RENDIMIENTO","2020-11-15","","18.52173913"
"CENTRO DE ALTO RENDIMIENTO","2020-11-14","","24.70833333"
"CENTRO DE ALTO RENDIMIENTO","2020-11-13","","15.7826087"
"CENTRO DE ALTO RENDIMIENTO","2020-11-12","","19.08333333"
"CENTRO DE ALTO RENDIMIENTO","2020-11-11","","9.8"
"CENTRO DE ALTO RENDIMIENTO","2020-11-10","","21.79166667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-09","","19.04166667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-08","","17.75"
"CENTRO DE ALTO RENDIMIENTO","2020-11-07","","20.75"
"CENTRO DE ALTO RENDIMIENTO","2020-11-06","","31.33333333"
"CENTRO DE ALTO RENDIMIENTO","2020-11-05","","15.91304348"
"CENTRO DE ALTO RENDIMIENTO","2020-11-04","","22.41666667"
"CENTRO DE ALTO RENDIMIENTO","2020-11-03","","23.39130435"
"CENTRO DE ALTO RENDIMIENTO","2020-11-02","","13.75"
"CENTRO DE ALTO RENDIMIENTO","2020-11-01","","9.92"
"CENTRO DE ALTO RENDIMIENTO","2020-10-31","","13.65217391"
"CENTRO DE ALTO RENDIMIENTO","2020-10-30","","14.625"
"CENTRO DE ALTO RENDIMIENTO","2020-10-29","","16.58333333"
"CENTRO DE ALTO RENDIMIENTO","2020-10-28","","9.39130435"
"CENTRO DE ALTO RENDIMIENTO","2020-10-27","","19.30434783"
"CENTRO DE ALTO RENDIMIENTO","2020-10-26","","26.70833333"
"CENTRO DE ALTO RENDIMIENTO","2020-10-25","","16.90909091"
"CENTRO DE ALTO RENDIMIENTO","2020-10-24","","10.375"
"CENTRO DE ALTO RENDIMIENTO","2020-10-23","","5.08181818"
"CENTRO DE ALTO RENDIMIENTO","2020-10-22","","5.04166667"
"CENTRO DE ALTO RENDIMIENTO","2020-10-21","","8.125"
"CENTRO DE ALTO RENDIMIENTO","2020-10-20","","16.91666667"
"CENTRO DE ALTO RENDIMIENTO","2020-10-19","","15.16666667"
