"Estacion","Fecha inicial","Fecha final","PM10"
"CIUDAD BOLÍVAR","2021-02-28","","23.15217391"
"CIUDAD BOLÍVAR","2021-02-27","","39.09166667"
"CIUDAD BOLÍVAR","2021-02-26","","37.04285714"
"CIUDAD BOLÍVAR","2021-02-25","","21.90833333"
"CIUDAD BOLÍVAR","2021-02-24","","41.475"
"CIUDAD BOLÍVAR","2021-02-23","","35.14166667"
"CIUDAD BOLÍVAR","2021-02-22","","24.16666667"
"CIUDAD BOLÍVAR","2021-02-21","","32.49583333"
"CIUDAD BOLÍVAR","2021-02-20","","37.14166667"
"CIUDAD BOLÍVAR","2021-02-19","","37.94583333"
"CIUDAD BOLÍVAR","2021-02-18","","49.74583333"
"CIUDAD BOLÍVAR","2021-02-17","","60.96666667"
"CIUDAD BOLÍVAR","2021-02-16","","59.01666667"
"CIUDAD BOLÍVAR","2021-02-15","","57.90869565"
"CIUDAD BOLÍVAR","2021-02-14","","55.27083333"
"CIUDAD BOLÍVAR","2021-02-13","","37.66666667"
"CIUDAD BOLÍVAR","2021-02-12","","57.29166667"
"CIUDAD BOLÍVAR","2021-02-11","","45.36923077"
"CIUDAD BOLÍVAR","2021-02-10","","39.14615385"
"CIUDAD BOLÍVAR","2021-02-09","","55.44761905"
"CIUDAD BOLÍVAR","2021-02-08","","47.42083333"
"CIUDAD BOLÍVAR","2021-02-07","","42.7625"
"CIUDAD BOLÍVAR","2021-02-06","","37.725"
"CIUDAD BOLÍVAR","2021-02-05","","34.35454545"
"CIUDAD BOLÍVAR","2021-02-04","","55.84782609"
"CIUDAD BOLÍVAR","2021-02-03","","40.5"
"CIUDAD BOLÍVAR","2021-02-02","","33.50416667"
"CIUDAD BOLÍVAR","2021-02-01","","31.38333333"
"CIUDAD BOLÍVAR","2021-01-31","","26.81111111"
"CIUDAD BOLÍVAR","2021-01-30","","44.825"
"CIUDAD BOLÍVAR","2021-01-29","","71.15"
"CIUDAD BOLÍVAR","2021-01-28","","75.61052632"
"CIUDAD BOLÍVAR","2021-01-27","","55.80833333"
"CIUDAD BOLÍVAR","2021-01-26","","42.94166667"
"CIUDAD BOLÍVAR","2021-01-25","","27.77083333"
"CIUDAD BOLÍVAR","2021-01-24","","21.1"
"CIUDAD BOLÍVAR","2021-01-23","","29.00416667"
"CIUDAD BOLÍVAR","2021-01-22","","79.15833333"
"CIUDAD BOLÍVAR","2021-01-21","","67.35333333"
"CIUDAD BOLÍVAR","2021-01-20","","59.93333333"
"CIUDAD BOLÍVAR","2021-01-19","","73.57916667"
"CIUDAD BOLÍVAR","2021-01-18","","60.0625"
"CIUDAD BOLÍVAR","2021-01-17","","41.675"
"CIUDAD BOLÍVAR","2021-01-16","","68.25416667"
"CIUDAD BOLÍVAR","2021-01-15","","87.55217391"
"CIUDAD BOLÍVAR","2021-01-14","","80.62083333"
"CIUDAD BOLÍVAR","2021-01-13","","60.54166667"
"CIUDAD BOLÍVAR","2021-01-12","","21.46666667"
"CIUDAD BOLÍVAR","2021-01-11","","12.24583333"
"CIUDAD BOLÍVAR","2021-01-10","","11.925"
"CIUDAD BOLÍVAR","2021-01-09","","15.48333333"
"CIUDAD BOLÍVAR","2021-01-08","","48.525"
"CIUDAD BOLÍVAR","2021-01-07","","26.70416667"
"CIUDAD BOLÍVAR","2021-01-06","","42.8625"
"CIUDAD BOLÍVAR","2021-01-05","","37.91818182"
"CIUDAD BOLÍVAR","2021-01-04","","35.5875"
"CIUDAD BOLÍVAR","2021-01-03","","17.34583333"
"CIUDAD BOLÍVAR","2021-01-02","","18.24583333"
"CIUDAD BOLÍVAR","2021-01-01","","49.33333333"
"CIUDAD BOLÍVAR","2020-12-31","","62.50434783"
"CIUDAD BOLÍVAR","2020-12-30","","52.17916667"
"CIUDAD BOLÍVAR","2020-12-29","","47.62916667"
"CIUDAD BOLÍVAR","2020-12-28","","47.04285714"
"CIUDAD BOLÍVAR","2020-12-27","","19.925"
"CIUDAD BOLÍVAR","2020-12-26","","25.0125"
"CIUDAD BOLÍVAR","2020-12-25","","37.675"
"CIUDAD BOLÍVAR","2020-12-24","","33.9375"
"CIUDAD BOLÍVAR","2020-12-23","","60.18636364"
"CIUDAD BOLÍVAR","2020-12-22","","34.925"
"CIUDAD BOLÍVAR","2020-12-21","","49.25"
"CIUDAD BOLÍVAR","2020-12-20","","15.01304348"
"CIUDAD BOLÍVAR","2020-12-19","","43.04583333"
