"Estacion","Fecha inicial","Fecha final","PM2.5"
"CIUDAD BOLÍVAR","2021-02-28","","11.93913043"
"CIUDAD BOLÍVAR","2021-02-27","","21.29166667"
"CIUDAD BOLÍVAR","2021-02-26","","18.77727273"
"CIUDAD BOLÍVAR","2021-02-25","","7.46666667"
"CIUDAD BOLÍVAR","2021-02-24","","18.3625"
"CIUDAD BOLÍVAR","2021-02-23","","16.825"
"CIUDAD BOLÍVAR","2021-02-22","","12.4"
"CIUDAD BOLÍVAR","2021-02-21","","19.15416667"
"CIUDAD BOLÍVAR","2021-02-20","","17.31666667"
"CIUDAD BOLÍVAR","2021-02-19","","22.86521739"
"CIUDAD BOLÍVAR","2021-02-18","","23.54166667"
"CIUDAD BOLÍVAR","2021-02-17","","29.6375"
"CIUDAD BOLÍVAR","2021-02-16","","27.80833333"
"CIUDAD BOLÍVAR","2021-02-15","","27.60434783"
"CIUDAD BOLÍVAR","2021-02-14","","27.875"
"CIUDAD BOLÍVAR","2021-02-13","","13.81666667"
"CIUDAD BOLÍVAR","2021-02-12","","29.175"
"CIUDAD BOLÍVAR","2021-02-11","","23.70454545"
"CIUDAD BOLÍVAR","2021-02-10","","22.7875"
"CIUDAD BOLÍVAR","2021-02-09","","30.57083333"
"CIUDAD BOLÍVAR","2021-02-08","","14.4"
"CIUDAD BOLÍVAR","2021-02-07","","19.97916667"
"CIUDAD BOLÍVAR","2021-02-06","","14.17083333"
"CIUDAD BOLÍVAR","2021-02-05","","11.35"
"CIUDAD BOLÍVAR","2021-02-04","","28.02608696"
"CIUDAD BOLÍVAR","2021-02-03","","14.575"
"CIUDAD BOLÍVAR","2021-02-02","","12.15833333"
"CIUDAD BOLÍVAR","2021-02-01","","13.93333333"
"CIUDAD BOLÍVAR","2021-01-31","","12.66666667"
"CIUDAD BOLÍVAR","2021-01-30","","16.025"
"CIUDAD BOLÍVAR","2021-01-29","","33.65833333"
"CIUDAD BOLÍVAR","2021-01-28","","39.72631579"
"CIUDAD BOLÍVAR","2021-01-27","","24.24583333"
"CIUDAD BOLÍVAR","2021-01-26","","17.15"
"CIUDAD BOLÍVAR","2021-01-25","","12.4125"
"CIUDAD BOLÍVAR","2021-01-24","","9.2"
"CIUDAD BOLÍVAR","2021-01-23","","10.0625"
"CIUDAD BOLÍVAR","2021-01-22","","32.92083333"
"CIUDAD BOLÍVAR","2021-01-21","","23.47333333"
"CIUDAD BOLÍVAR","2021-01-20","","26.1"
"CIUDAD BOLÍVAR","2021-01-19","","31.5375"
"CIUDAD BOLÍVAR","2021-01-18","","29.73333333"
"CIUDAD BOLÍVAR","2021-01-17","","23.0"
"CIUDAD BOLÍVAR","2021-01-16","","34.5875"
"CIUDAD BOLÍVAR","2021-01-15","","41.90869565"
"CIUDAD BOLÍVAR","2021-01-14","","39.4125"
"CIUDAD BOLÍVAR","2021-01-13","","27.17083333"
"CIUDAD BOLÍVAR","2021-01-12","","6.19583333"
"CIUDAD BOLÍVAR","2021-01-11","","5.1875"
"CIUDAD BOLÍVAR","2021-01-10","","5.84166667"
"CIUDAD BOLÍVAR","2021-01-09","","8.42916667"
"CIUDAD BOLÍVAR","2021-01-08","","22.65833333"
"CIUDAD BOLÍVAR","2021-01-07","","11.17083333"
"CIUDAD BOLÍVAR","2021-01-06","","19.95"
"CIUDAD BOLÍVAR","2021-01-05","","16.56818182"
"CIUDAD BOLÍVAR","2021-01-04","","16.25833333"
"CIUDAD BOLÍVAR","2021-01-03","","7.23333333"
"CIUDAD BOLÍVAR","2021-01-02","","9.72916667"
"CIUDAD BOLÍVAR","2021-01-01","","35.7375"
"CIUDAD BOLÍVAR","2020-12-31","","36.09565217"
"CIUDAD BOLÍVAR","2020-12-30","","26.47083333"
"CIUDAD BOLÍVAR","2020-12-29","","24.03333333"
"CIUDAD BOLÍVAR","2020-12-28","","20.2952381"
"CIUDAD BOLÍVAR","2020-12-27","","7.77083333"
"CIUDAD BOLÍVAR","2020-12-26","","13.15833333"
"CIUDAD BOLÍVAR","2020-12-25","","26.69166667"
"CIUDAD BOLÍVAR","2020-12-24","","18.75416667"
"CIUDAD BOLÍVAR","2020-12-23","","26.61363636"
"CIUDAD BOLÍVAR","2020-12-22","","15.0"
"CIUDAD BOLÍVAR","2020-12-21","","22.90909091"
"CIUDAD BOLÍVAR","2020-12-20","","7.73333333"
"CIUDAD BOLÍVAR","2020-12-19","","20.05833333"
"CIUDAD BOLÍVAR","2020-12-18","","16.15"
"CIUDAD BOLÍVAR","2020-12-17","","7.25833333"
"CIUDAD BOLÍVAR","2020-12-16","","11.32916667"
"CIUDAD BOLÍVAR","2020-12-15","","24.6826087"
"CIUDAD BOLÍVAR","2020-12-14","","16.65714286"
"CIUDAD BOLÍVAR","2020-12-13","","14.875"
"CIUDAD BOLÍVAR","2020-12-12","","29.325"
"CIUDAD BOLÍVAR","2020-12-11","","35.12272727"
"CIUDAD BOLÍVAR","2020-12-10","","48.30833333"
"CIUDAD BOLÍVAR","2020-12-09","","29.82916667"
"CIUDAD BOLÍVAR","2020-12-08","","37.04583333"
"CIUDAD BOLÍVAR","2020-12-07","","24.95833333"
"CIUDAD BOLÍVAR","2020-12-06","","10.72916667"
"CIUDAD BOLÍVAR","2020-12-05","","16.3125"
"CIUDAD BOLÍVAR","2020-12-04","","20.49583333"
"CIUDAD BOLÍVAR","2020-12-03","","22.33181818"
"CIUDAD BOLÍVAR","2020-12-02","","14.71666667"
"CIUDAD BOLÍVAR","2020-12-01","","24.14166667"
"CIUDAD BOLÍVAR","2020-11-30","","12.58695652"
"CIUDAD BOLÍVAR","2020-11-29","","11.75833333"
"CIUDAD BOLÍVAR","2020-11-28","","25.70434783"
"CIUDAD BOLÍVAR","2020-11-27","","30.15"
"CIUDAD BOLÍVAR","2020-11-26","","43.70416667"
"CIUDAD BOLÍVAR","2020-11-25","","24.23636364"
"CIUDAD BOLÍVAR","2020-11-24","","32.76666667"
"CIUDAD BOLÍVAR","2020-11-23","","27.0125"
"CIUDAD BOLÍVAR","2020-11-22","","28.6375"
"CIUDAD BOLÍVAR","2020-11-21","","13.99166667"
"CIUDAD BOLÍVAR","2020-11-20","","20.23478261"
"CIUDAD BOLÍVAR","2020-11-19","","21.24166667"
"CIUDAD BOLÍVAR","2020-11-18","","15.02083333"
"CIUDAD BOLÍVAR","2020-11-17","","17.532"
"CIUDAD BOLÍVAR","2020-11-16","","15.07916667"
"CIUDAD BOLÍVAR","2020-11-15","","33.21363636"
"CIUDAD BOLÍVAR","2020-11-14","","34.15416667"
"CIUDAD BOLÍVAR","2020-11-13","","19.26956522"
"CIUDAD BOLÍVAR","2020-11-12","","27.5"
"CIUDAD BOLÍVAR","2020-11-11","","18.95416667"
"CIUDAD BOLÍVAR","2020-11-10","","33.7"
"CIUDAD BOLÍVAR","2020-11-09","","21.35"
"CIUDAD BOLÍVAR","2020-11-08","","23.22083333"
"CIUDAD BOLÍVAR","2020-11-07","","30.79166667"
"CIUDAD BOLÍVAR","2020-11-06","","46.66666667"
"CIUDAD BOLÍVAR","2020-11-05","","24.22608696"
"CIUDAD BOLÍVAR","2020-11-04","","30.1625"
"CIUDAD BOLÍVAR","2020-11-03","","30.00416667"
"CIUDAD BOLÍVAR","2020-11-02","","21.9875"
"CIUDAD BOLÍVAR","2020-11-01","","20.58"
"CIUDAD BOLÍVAR","2020-10-31","","24.07826087"
"CIUDAD BOLÍVAR","2020-10-30","","23.84782609"
"CIUDAD BOLÍVAR","2020-10-29","","21.09166667"
"CIUDAD BOLÍVAR","2020-10-28","","23.4625"
"CIUDAD BOLÍVAR","2020-10-27","","26.925"
"CIUDAD BOLÍVAR","2020-10-26","","36.95833333"
"CIUDAD BOLÍVAR","2020-10-25","","36.95416667"
"CIUDAD BOLÍVAR","2020-10-24","","14.52083333"
"CIUDAD BOLÍVAR","2020-10-23","","8.61666667"
"CIUDAD BOLÍVAR","2020-10-22","","13.37"
"CIUDAD BOLÍVAR","2020-10-21","","14.0625"
"CIUDAD BOLÍVAR","2020-10-20","","24.35833333"
"CIUDAD BOLÍVAR","2020-10-19","","19.1875"
"CIUDAD BOLÍVAR","2020-10-18","","13.9625"
"CIUDAD BOLÍVAR","2020-10-17","","9.95416667"
"CIUDAD BOLÍVAR","2020-10-16","","6.50833333"
