"Estacion","Fecha inicial","Fecha final","PM10"
"COMPARTIR","2021-07-27","","40.43478261"
"COMPARTIR","2021-07-26","","38.125"
"COMPARTIR","2021-07-25","","25.375"
"COMPARTIR","2021-07-24","","72.95833333"
"COMPARTIR","2021-07-23","","70.16666667"
"COMPARTIR","2021-07-22","","73.41666667"
"COMPARTIR","2021-07-21","","80.79166667"
"COMPARTIR","2021-07-20","","48.625"
"COMPARTIR","2021-07-19","","65.625"
"COMPARTIR","2021-07-18","","54.08333333"
"COMPARTIR","2021-07-17","","61.33333333"
"COMPARTIR","2021-07-16","","63.69565217"
"COMPARTIR","2021-07-15","","58.0"
"COMPARTIR","2021-07-14","","60.58333333"
"COMPARTIR","2021-07-13","","67.875"
"COMPARTIR","2021-07-12","","53.20833333"
"COMPARTIR","2021-07-11","","47.95833333"
"COMPARTIR","2021-07-10","","44.75"
"COMPARTIR","2021-07-09","","53.33333333"
"COMPARTIR","2021-07-08","","70.54166667"
"COMPARTIR","2021-07-07","","71.54166667"
"COMPARTIR","2021-07-06","","73.33333333"
"COMPARTIR","2021-07-05","","58.75"
"COMPARTIR","2021-07-04","","57.83333333"
"COMPARTIR","2021-07-03","","60.41666667"
"COMPARTIR","2021-07-02","","49.70833333"
"COMPARTIR","2021-07-01","","54.70833333"
"COMPARTIR","2021-06-30","","56.08333333"
"COMPARTIR","2021-06-29","","59.79166667"
"COMPARTIR","2021-06-28","","72.29166667"
"COMPARTIR","2021-06-27","","45.45833333"
"COMPARTIR","2021-06-26","","42.45833333"
"COMPARTIR","2021-06-25","","52.625"
"COMPARTIR","2021-06-24","","45.58333333"
"COMPARTIR","2021-06-23","","61.45833333"
"COMPARTIR","2021-06-22","","64.58333333"
"COMPARTIR","2021-06-21","","47.33333333"
"COMPARTIR","2021-06-20","","40.70833333"
"COMPARTIR","2021-06-19","","43.83333333"
"COMPARTIR","2021-06-18","","46.86363636"
"COMPARTIR","2021-06-17","","54.54166667"
"COMPARTIR","2021-06-16","","49.45833333"
"COMPARTIR","2021-06-15","","33.70833333"
"COMPARTIR","2021-06-14","","34.83333333"
"COMPARTIR","2021-06-13","","33.25"
"COMPARTIR","2021-06-12","","45.20833333"
"COMPARTIR","2021-06-11","","62.79166667"
"COMPARTIR","2021-06-10","","53.04166667"
"COMPARTIR","2021-06-09","","35.33333333"
"COMPARTIR","2021-06-08","","24.45833333"
"COMPARTIR","2021-06-07","","24.45833333"
"COMPARTIR","2021-06-06","","40.375"
"COMPARTIR","2021-06-05","","40.0"
"COMPARTIR","2021-06-04","","26.04166667"
"COMPARTIR","2021-06-03","","32.5"
"COMPARTIR","2021-06-02","","39.25"
"COMPARTIR","2021-06-01","","40.0"
"COMPARTIR","2021-05-31","","27.70833333"
"COMPARTIR","2021-05-30","","22.58333333"
"COMPARTIR","2021-05-29","","28.875"
"COMPARTIR","2021-05-28","","24.875"
"COMPARTIR","2021-05-27","","23.95833333"
"COMPARTIR","2021-05-26","","29.375"
"COMPARTIR","2021-05-25","","32.29166667"
"COMPARTIR","2021-05-24","","29.63636364"
"COMPARTIR","2021-05-12","","28.45454545"
"COMPARTIR","2021-05-11","","23.83333333"
"COMPARTIR","2021-05-10","","30.5"
"COMPARTIR","2021-05-09","","20.20833333"
"COMPARTIR","2021-05-08","","27.58333333"
"COMPARTIR","2021-05-07","","23.95833333"
"COMPARTIR","2021-05-06","","29.75"
"COMPARTIR","2021-05-05","","38.5"
"COMPARTIR","2021-05-04","","23.875"
"COMPARTIR","2021-05-03","","22.83333333"
"COMPARTIR","2021-05-02","","26.54166667"
"COMPARTIR","2021-05-01","","32.54166667"
"COMPARTIR","2021-04-30","","30.86956522"
"COMPARTIR","2021-04-29","","42.54166667"
"COMPARTIR","2021-04-28","","36.58333333"
"COMPARTIR","2021-04-27","","39.70833333"
"COMPARTIR","2021-04-26","","44.79166667"
"COMPARTIR","2021-04-25","","47.33333333"
"COMPARTIR","2021-04-24","","32.66666667"
"COMPARTIR","2021-04-23","","32.04347826"
"COMPARTIR","2021-04-22","","62.16666667"
"COMPARTIR","2021-04-21","","34.45833333"
"COMPARTIR","2021-04-20","","46.91666667"
"COMPARTIR","2021-04-19","","31.73913043"
"COMPARTIR","2021-04-18","","31.125"
"COMPARTIR","2021-04-17","","59.66666667"
"COMPARTIR","2021-04-16","","46.75"
"COMPARTIR","2021-04-15","","77.375"
"COMPARTIR","2021-04-14","","54.70833333"
"COMPARTIR","2021-04-13","","69.5"
"COMPARTIR","2021-04-12","","69.83333333"
"COMPARTIR","2021-04-11","","42.70833333"
"COMPARTIR","2021-04-10","","50.875"
"COMPARTIR","2021-04-09","","53.125"
"COMPARTIR","2021-04-08","","63.20833333"
"COMPARTIR","2021-04-07","","83.25"
"COMPARTIR","2021-04-06","","45.79166667"
"COMPARTIR","2021-04-05","","56.125"
"COMPARTIR","2021-04-04","","25.5"
"COMPARTIR","2021-04-03","","40.95833333"
"COMPARTIR","2021-04-02","","43.54166667"
"COMPARTIR","2021-04-01","","45.08333333"
"COMPARTIR","2021-03-31","","55.20833333"
"COMPARTIR","2021-03-30","","70.45833333"
"COMPARTIR","2021-03-29","","60.70833333"
"COMPARTIR","2021-03-28","","47.95833333"
"COMPARTIR","2021-03-27","","59.54166667"
"COMPARTIR","2021-03-26","","40.95833333"
"COMPARTIR","2021-03-25","","60.16666667"
"COMPARTIR","2021-03-24","","45.45833333"
"COMPARTIR","2021-03-23","","41.95454545"
"COMPARTIR","2021-03-22","","21.04166667"
"COMPARTIR","2021-03-21","","50.91666667"
"COMPARTIR","2021-03-20","","47.125"
"COMPARTIR","2021-03-19","","46.29166667"
"COMPARTIR","2021-03-18","","31.66666667"
"COMPARTIR","2021-03-17","","50.75"
"COMPARTIR","2021-03-16","","74.66666667"
"COMPARTIR","2021-03-15","","49.45833333"
"COMPARTIR","2021-03-14","","48.41666667"
"COMPARTIR","2021-03-13","","49.875"
"COMPARTIR","2021-03-12","","46.33333333"
"COMPARTIR","2021-03-11","","29.5"
"COMPARTIR","2021-03-10","","35.125"
"COMPARTIR","2021-03-09","","48.875"
"COMPARTIR","2021-03-08","","36.33333333"
"COMPARTIR","2021-03-07","","60.41666667"
"COMPARTIR","2021-03-06","","56.91666667"
"COMPARTIR","2021-03-05","","53.875"
"COMPARTIR","2021-03-04","","44.41666667"
"COMPARTIR","2021-03-03","","31.5"
"COMPARTIR","2021-03-02","","40.08333333"
"COMPARTIR","2021-03-01","","28.7826087"
"COMPARTIR","2021-02-28","","26.875"
"COMPARTIR","2021-02-27","","34.66666667"
"COMPARTIR","2021-02-26","","46.95833333"
"COMPARTIR","2021-02-25","","55.875"
"COMPARTIR","2021-02-24","","63.66666667"
"COMPARTIR","2021-02-23","","40.66666667"
"COMPARTIR","2021-02-21","","66.0"
"COMPARTIR","2021-02-20","","52.125"
"COMPARTIR","2021-02-19","","47.125"
"COMPARTIR","2021-02-18","","31.70833333"
"COMPARTIR","2021-02-17","","56.41666667"
"COMPARTIR","2021-02-16","","57.2173913"
"COMPARTIR","2021-02-15","","34.47826087"
"COMPARTIR","2021-02-14","","31.16666667"
"COMPARTIR","2021-02-13","","30.70833333"
"COMPARTIR","2021-02-12","","32.95833333"
"COMPARTIR","2021-02-11","","50.58333333"
"COMPARTIR","2021-02-10","","34.29166667"
"COMPARTIR","2021-02-09","","38.54166667"
"COMPARTIR","2021-02-08","","60.33333333"
"COMPARTIR","2021-02-07","","55.04166667"
"COMPARTIR","2021-02-06","","44.75"
"COMPARTIR","2021-02-05","","50.95833333"
"COMPARTIR","2021-02-04","","54.08333333"
"COMPARTIR","2021-02-03","","52.83333333"
"COMPARTIR","2020-11-30","","38.22727273"
"COMPARTIR","2020-11-29","","59.375"
"COMPARTIR","2020-11-28","","60.5"
"COMPARTIR","2020-11-27","","38.58333333"
"COMPARTIR","2020-11-26","","62.16666667"
"COMPARTIR","2020-11-25","","68.27272727"
"COMPARTIR","2020-11-23","","53.75"
"COMPARTIR","2020-11-22","","37.54166667"
