"Estacion","Fecha inicial","Fecha final","PM2.5"
"COMPARTIR","2021-07-27","","13.91304348"
"COMPARTIR","2021-07-26","","12.95833333"
"COMPARTIR","2021-07-25","","9.08333333"
"COMPARTIR","2021-07-24","","26.5"
"COMPARTIR","2021-07-23","","23.54166667"
"COMPARTIR","2021-07-22","","24.91666667"
"COMPARTIR","2021-07-21","","23.66666667"
"COMPARTIR","2021-07-20","","16.125"
"COMPARTIR","2021-07-19","","23.29166667"
"COMPARTIR","2021-07-18","","19.83333333"
"COMPARTIR","2021-07-17","","18.91666667"
"COMPARTIR","2021-07-16","","22.60869565"
"COMPARTIR","2021-07-15","","21.0"
"COMPARTIR","2021-07-14","","19.54166667"
"COMPARTIR","2021-07-13","","19.79166667"
"COMPARTIR","2021-07-12","","18.875"
"COMPARTIR","2021-07-11","","11.83333333"
"COMPARTIR","2021-07-10","","18.83333333"
"COMPARTIR","2021-07-09","","22.625"
"COMPARTIR","2021-07-08","","25.375"
"COMPARTIR","2021-07-07","","24.875"
"COMPARTIR","2021-07-06","","27.0"
"COMPARTIR","2021-07-05","","20.82608696"
"COMPARTIR","2021-07-04","","19.75"
"COMPARTIR","2021-07-03","","25.91666667"
"COMPARTIR","2021-07-02","","17.91666667"
"COMPARTIR","2021-07-01","","17.54166667"
"COMPARTIR","2021-06-30","","18.54166667"
"COMPARTIR","2021-06-29","","21.08333333"
"COMPARTIR","2021-06-28","","26.33333333"
"COMPARTIR","2021-06-27","","14.58333333"
"COMPARTIR","2021-06-26","","17.54166667"
"COMPARTIR","2021-06-25","","20.79166667"
"COMPARTIR","2021-06-24","","18.125"
"COMPARTIR","2021-06-23","","22.66666667"
"COMPARTIR","2021-06-22","","23.5"
"COMPARTIR","2021-06-21","","13.83333333"
"COMPARTIR","2021-06-20","","9.625"
"COMPARTIR","2021-06-19","","12.16666667"
"COMPARTIR","2021-06-18","","14.72727273"
"COMPARTIR","2021-06-17","","22.5"
"COMPARTIR","2021-06-16","","19.70833333"
"COMPARTIR","2021-06-15","","10.54166667"
"COMPARTIR","2021-06-14","","15.83333333"
"COMPARTIR","2021-06-13","","14.66666667"
"COMPARTIR","2021-06-12","","14.875"
"COMPARTIR","2021-06-11","","27.54166667"
"COMPARTIR","2021-06-10","","22.83333333"
"COMPARTIR","2021-06-09","","11.79166667"
"COMPARTIR","2021-06-08","","6.54545455"
"COMPARTIR","2021-06-03","","10.33333333"
"COMPARTIR","2021-06-02","","12.75"
"COMPARTIR","2021-06-01","","12.41666667"
"COMPARTIR","2021-05-31","","7.5"
"COMPARTIR","2021-05-30","","5.83333333"
"COMPARTIR","2021-05-29","","8.83333333"
"COMPARTIR","2021-05-28","","8.70833333"
"COMPARTIR","2021-05-27","","7.25"
"COMPARTIR","2021-05-26","","7.79166667"
"COMPARTIR","2021-05-25","","9.04166667"
"COMPARTIR","2021-05-24","","9.81818182"
"COMPARTIR","2021-05-07","","5.53333333"
"COMPARTIR","2021-05-06","","9.20833333"
"COMPARTIR","2021-05-05","","9.125"
"COMPARTIR","2021-05-04","","5.0"
"COMPARTIR","2021-05-03","","4.29166667"
"COMPARTIR","2021-05-02","","3.375"
"COMPARTIR","2021-05-01","","12.95833333"
"COMPARTIR","2021-04-30","","14.26086957"
"COMPARTIR","2021-04-29","","8.95833333"
"COMPARTIR","2021-04-28","","25.45833333"
"COMPARTIR","2021-04-27","","16.41666667"
"COMPARTIR","2021-04-26","","15.79166667"
"COMPARTIR","2021-04-25","","15.41666667"
"COMPARTIR","2021-04-24","","10.75"
"COMPARTIR","2021-04-23","","5.95454545"
"COMPARTIR","2021-04-22","","2.33333333"
"COMPARTIR","2021-04-21","","1.20833333"
"COMPARTIR","2021-04-20","","1.08333333"
"COMPARTIR","2021-04-19","","7.95454545"
"COMPARTIR","2021-04-18","","13.79166667"
"COMPARTIR","2021-04-17","","22.29166667"
"COMPARTIR","2021-04-16","","18.54166667"
"COMPARTIR","2021-04-15","","24.875"
"COMPARTIR","2021-04-14","","17.5"
"COMPARTIR","2021-04-13","","21.75"
"COMPARTIR","2021-04-12","","23.5"
"COMPARTIR","2021-04-11","","14.66666667"
"COMPARTIR","2021-04-10","","17.29166667"
"COMPARTIR","2021-04-09","","17.91666667"
"COMPARTIR","2021-04-08","","22.41666667"
"COMPARTIR","2021-04-07","","31.70833333"
"COMPARTIR","2021-04-06","","17.20833333"
"COMPARTIR","2021-04-05","","15.125"
"COMPARTIR","2021-04-04","","8.79166667"
"COMPARTIR","2021-04-03","","13.16666667"
"COMPARTIR","2021-04-02","","14.58333333"
"COMPARTIR","2021-04-01","","13.29166667"
"COMPARTIR","2021-03-31","","16.08333333"
"COMPARTIR","2021-03-30","","18.54166667"
"COMPARTIR","2021-03-29","","21.125"
"COMPARTIR","2021-03-28","","21.04166667"
"COMPARTIR","2021-03-27","","21.54166667"
"COMPARTIR","2021-03-26","","13.0"
"COMPARTIR","2021-03-25","","18.75"
"COMPARTIR","2021-03-24","","15.0"
"COMPARTIR","2021-03-23","","19.44444444"
"COMPARTIR","2021-03-22","","12.875"
"COMPARTIR","2021-03-21","","25.75"
"COMPARTIR","2021-03-20","","25.70833333"
"COMPARTIR","2021-03-19","","19.04166667"
"COMPARTIR","2021-03-18","","15.70833333"
"COMPARTIR","2021-03-17","","26.54166667"
"COMPARTIR","2021-03-16","","34.79166667"
"COMPARTIR","2021-03-15","","23.91666667"
"COMPARTIR","2021-03-14","","20.41666667"
"COMPARTIR","2021-03-13","","33.08333333"
"COMPARTIR","2021-03-12","","22.95833333"
"COMPARTIR","2021-03-11","","16.83333333"
"COMPARTIR","2021-03-10","","20.375"
"COMPARTIR","2021-03-09","","22.41666667"
"COMPARTIR","2021-03-08","","20.58333333"
"COMPARTIR","2021-03-07","","26.70833333"
"COMPARTIR","2021-03-06","","22.79166667"
"COMPARTIR","2021-03-05","","24.2"
"COMPARTIR","2021-02-16","","12.5"
"COMPARTIR","2021-02-15","","12.40909091"
"COMPARTIR","2021-02-14","","11.5"
"COMPARTIR","2021-02-13","","12.20833333"
"COMPARTIR","2021-02-12","","12.58333333"
"COMPARTIR","2021-02-11","","15.91666667"
"COMPARTIR","2021-02-10","","10.70833333"
"COMPARTIR","2021-02-09","","16.625"
"COMPARTIR","2021-02-08","","19.08333333"
"COMPARTIR","2021-02-07","","18.20833333"
"COMPARTIR","2021-02-06","","14.83333333"
"COMPARTIR","2021-02-05","","19.45833333"
"COMPARTIR","2021-02-04","","18.25"
"COMPARTIR","2021-02-03","","16.25"
"COMPARTIR","2021-01-21","","17.16666667"
"COMPARTIR","2021-01-20","","21.375"
"COMPARTIR","2021-01-19","","20.79166667"
"COMPARTIR","2021-01-18","","17.0"
"COMPARTIR","2021-01-17","","12.91666667"
"COMPARTIR","2021-01-16","","12.125"
"COMPARTIR","2021-01-15","","13.625"
