"Estacion","Fecha inicial","Fecha final","PM10"
"P_2. ERA OBRERO","2021-07-27","","33.54583333"
"P_2. ERA OBRERO","2021-07-26","","43.53333333"
"P_2. ERA OBRERO","2021-07-25","","22.60416667"
"P_2. ERA OBRERO","2021-07-24","","61.78333333"
"P_2. ERA OBRERO","2021-07-23","","48.35833333"
"P_2. ERA OBRERO","2021-07-22","","66.12083333"
"P_2. ERA OBRERO","2021-07-21","","70.74166667"
"P_2. ERA OBRERO","2021-07-20","","43.57083333"
"P_2. ERA OBRERO","2021-07-19","","59.19166667"
"P_2. ERA OBRERO","2021-07-18","","39.44583333"
"P_2. ERA OBRERO","2021-07-17","","51.46666667"
"P_2. ERA OBRERO","2021-07-16","","52.7125"
"P_2. ERA OBRERO","2021-07-15","","57.4375"
"P_2. ERA OBRERO","2021-07-14","","58.8375"
"P_2. ERA OBRERO","2021-07-13","","57.05"
"P_2. ERA OBRERO","2021-07-12","","47.60416667"
"P_2. ERA OBRERO","2021-07-11","","34.85416667"
"P_2. ERA OBRERO","2021-07-10","","43.38333333"
"P_2. ERA OBRERO","2021-07-09","","59.02083333"
"P_2. ERA OBRERO","2021-07-08","","70.12916667"
"P_2. ERA OBRERO","2021-07-07","","73.625"
"P_2. ERA OBRERO","2021-07-06","","69.94583333"
"P_2. ERA OBRERO","2021-07-05","","53.82083333"
"P_2. ERA OBRERO","2021-07-04","","43.50833333"
"P_2. ERA OBRERO","2021-07-03","","55.25"
"P_2. ERA OBRERO","2021-07-02","","51.1375"
"P_2. ERA OBRERO","2021-07-01","","53.25"
"P_2. ERA OBRERO","2021-06-30","","62.19583333"
"P_2. ERA OBRERO","2021-06-29","","65.34166667"
"P_2. ERA OBRERO","2021-06-28","","61.71666667"
"P_2. ERA OBRERO","2021-06-27","","42.6375"
"P_2. ERA OBRERO","2021-06-26","","44.63333333"
"P_2. ERA OBRERO","2021-06-25","","59.5375"
"P_2. ERA OBRERO","2021-06-24","","49.78333333"
"P_2. ERA OBRERO","2021-06-23","","57.76666667"
"P_2. ERA OBRERO","2021-06-22","","58.57916667"
"P_2. ERA OBRERO","2021-06-21","","43.33333333"
"P_2. ERA OBRERO","2021-06-20","","33.73333333"
"P_2. ERA OBRERO","2021-06-19","","39.49583333"
"P_2. ERA OBRERO","2021-06-18","","49.20833333"
"P_2. ERA OBRERO","2021-06-17","","54.65416667"
"P_2. ERA OBRERO","2021-06-16","","50.325"
"P_2. ERA OBRERO","2021-06-15","","30.025"
"P_2. ERA OBRERO","2021-06-14","","34.57083333"
"P_2. ERA OBRERO","2021-06-13","","35.72916667"
"P_2. ERA OBRERO","2021-06-12","","52.04166667"
"P_2. ERA OBRERO","2021-06-11","","77.2625"
"P_2. ERA OBRERO","2021-06-10","","69.04166667"
"P_2. ERA OBRERO","2021-06-09","","47.5625"
"P_2. ERA OBRERO","2021-06-08","","37.30833333"
"P_2. ERA OBRERO","2021-06-07","","29.27083333"
"P_2. ERA OBRERO","2021-06-06","","43.97916667"
