"Estacion","Fecha inicial","Fecha final","PM2.5"
"P_2. ERA OBRERO","2021-07-27","","7.75583333"
"P_2. ERA OBRERO","2021-07-26","","6.88333333"
"P_2. ERA OBRERO","2021-07-25","","6.0125"
"P_2. ERA OBRERO","2021-07-24","","15.77041667"
"P_2. ERA OBRERO","2021-07-23","","11.425"
"P_2. ERA OBRERO","2021-07-22","","14.52"
"P_2. ERA OBRERO","2021-07-21","","13.31333333"
"P_2. ERA OBRERO","2021-07-20","","10.17208333"
"P_2. ERA OBRERO","2021-07-19","","13.78083333"
"P_2. ERA OBRERO","2021-07-18","","10.32875"
"P_2. ERA OBRERO","2021-07-17","","10.1025"
"P_2. ERA OBRERO","2021-07-16","","9.48375"
"P_2. ERA OBRERO","2021-07-15","","14.30333333"
"P_2. ERA OBRERO","2021-07-14","","11.37458333"
"P_2. ERA OBRERO","2021-07-13","","9.5825"
"P_2. ERA OBRERO","2021-07-12","","7.62125"
"P_2. ERA OBRERO","2021-07-11","","5.04833333"
"P_2. ERA OBRERO","2021-07-10","","11.0075"
"P_2. ERA OBRERO","2021-07-09","","15.64958333"
"P_2. ERA OBRERO","2021-07-08","","14.66"
"P_2. ERA OBRERO","2021-07-07","","17.31708333"
"P_2. ERA OBRERO","2021-07-06","","17.71916667"
"P_2. ERA OBRERO","2021-07-05","","11.77458333"
"P_2. ERA OBRERO","2021-07-04","","10.52958333"
"P_2. ERA OBRERO","2021-07-03","","13.32375"
"P_2. ERA OBRERO","2021-07-02","","8.07541667"
"P_2. ERA OBRERO","2021-07-01","","12.50041667"
"P_2. ERA OBRERO","2021-06-30","","12.52208333"
"P_2. ERA OBRERO","2021-06-29","","15.20666667"
"P_2. ERA OBRERO","2021-06-28","","14.3875"
"P_2. ERA OBRERO","2021-06-27","","8.78791667"
"P_2. ERA OBRERO","2021-06-26","","11.99375"
"P_2. ERA OBRERO","2021-06-25","","13.32416667"
"P_2. ERA OBRERO","2021-06-24","","13.10833333"
"P_2. ERA OBRERO","2021-06-23","","13.54083333"
"P_2. ERA OBRERO","2021-06-22","","13.43125"
"P_2. ERA OBRERO","2021-06-21","","9.3175"
"P_2. ERA OBRERO","2021-06-20","","7.30291667"
"P_2. ERA OBRERO","2021-06-19","","7.29833333"
"P_2. ERA OBRERO","2021-06-18","","5.13583333"
"P_2. ERA OBRERO","2021-06-17","","7.6875"
"P_2. ERA OBRERO","2021-06-16","","7.35125"
"P_2. ERA OBRERO","2021-06-15","","4.37458333"
"P_2. ERA OBRERO","2021-06-14","","11.4475"
"P_2. ERA OBRERO","2021-06-13","","11.91708333"
"P_2. ERA OBRERO","2021-06-12","","10.85166667"
"P_2. ERA OBRERO","2021-06-11","","18.94125"
"P_2. ERA OBRERO","2021-06-10","","16.64375"
"P_2. ERA OBRERO","2021-06-09","","8.54083333"
"P_2. ERA OBRERO","2021-06-08","","8.14958333"
"P_2. ERA OBRERO","2021-06-07","","8.26166667"
"P_2. ERA OBRERO","2021-06-06","","11.19916667"
"P_2. ERA OBRERO","2021-06-05","","12.3775"
"P_2. ERA OBRERO","2021-06-04","","10.44791667"
"P_2. ERA OBRERO","2021-06-03","","7.76708333"
"P_2. ERA OBRERO","2021-06-02","","8.22458333"
"P_2. ERA OBRERO","2021-06-01","","6.37125"
"P_2. ERA OBRERO","2021-05-31","","7.50208333"
"P_2. ERA OBRERO","2021-05-30","","6.15166667"
"P_2. ERA OBRERO","2021-05-29","","6.59833333"
"P_2. ERA OBRERO","2021-05-28","","7.07333333"
"P_2. ERA OBRERO","2021-05-27","","3.90652174"
"P_2. ERA OBRERO","2021-05-26","","7.23090909"
"P_2. ERA OBRERO","2021-05-25","","7.67708333"
"P_2. ERA OBRERO","2021-05-24","","7.00208333"
"P_2. ERA OBRERO","2021-05-23","","7.77708333"
"P_2. ERA OBRERO","2021-05-22","","8.05833333"
"P_2. ERA OBRERO","2021-05-21","","7.00208333"
"P_2. ERA OBRERO","2021-05-20","","6.1475"
"P_2. ERA OBRERO","2021-05-19","","7.19916667"
"P_2. ERA OBRERO","2021-05-18","","6.41208333"
"P_2. ERA OBRERO","2021-05-17","","3.48041667"
"P_2. ERA OBRERO","2021-05-16","","2.15"
"P_2. ERA OBRERO","2021-05-15","","3.7025"
"P_2. ERA OBRERO","2021-05-14","","0.71727273"
"P_2. ERA OBRERO","2021-04-29","","2.33"
"P_2. ERA OBRERO","2021-04-28","","6.33041667"
"P_2. ERA OBRERO","2021-04-27","","14.52545455"
"P_2. ERA OBRERO","2021-04-26","","12.24875"
"P_2. ERA OBRERO","2021-04-25","","11.98083333"
"P_2. ERA OBRERO","2021-04-24","","11.83541667"
"P_2. ERA OBRERO","2021-04-23","","9.19625"
"P_2. ERA OBRERO","2021-04-22","","13.63416667"
"P_2. ERA OBRERO","2021-04-21","","10.46083333"
"P_2. ERA OBRERO","2021-04-20","","9.52375"
"P_2. ERA OBRERO","2021-04-19","","3.72166667"
"P_2. ERA OBRERO","2021-04-18","","10.45666667"
"P_2. ERA OBRERO","2021-04-17","","11.20541667"
"P_2. ERA OBRERO","2021-04-16","","11.17333333"
"P_2. ERA OBRERO","2021-04-15","","16.9675"
"P_2. ERA OBRERO","2021-04-14","","12.14541667"
"P_2. ERA OBRERO","2021-04-13","","17.3425"
"P_2. ERA OBRERO","2021-04-12","","22.11625"
"P_2. ERA OBRERO","2021-04-11","","12.16916667"
"P_2. ERA OBRERO","2021-04-10","","14.23416667"
"P_2. ERA OBRERO","2021-04-09","","11.20625"
"P_2. ERA OBRERO","2021-04-08","","15.96625"
"P_2. ERA OBRERO","2021-04-07","","20.24625"
"P_2. ERA OBRERO","2021-04-06","","8.10375"
"P_2. ERA OBRERO","2021-04-05","","5.6825"
"P_2. ERA OBRERO","2021-04-04","","4.605"
"P_2. ERA OBRERO","2021-04-03","","9.86333333"
"P_2. ERA OBRERO","2021-04-02","","9.09458333"
"P_2. ERA OBRERO","2021-04-01","","10.13875"
"P_2. ERA OBRERO","2021-03-31","","11.62708333"
"P_2. ERA OBRERO","2021-03-30","","12.85625"
"P_2. ERA OBRERO","2021-03-29","","13.07458333"
"P_2. ERA OBRERO","2021-03-28","","14.57416667"
"P_2. ERA OBRERO","2021-03-27","","16.5175"
"P_2. ERA OBRERO","2021-03-26","","10.95208333"
"P_2. ERA OBRERO","2021-03-25","","10.95458333"
"P_2. ERA OBRERO","2021-03-24","","8.93708333"
"P_2. ERA OBRERO","2021-03-23","","7.30333333"
"P_2. ERA OBRERO","2021-03-22","","6.62875"
"P_2. ERA OBRERO","2021-03-21","","9.33"
"P_2. ERA OBRERO","2021-03-20","","11.9575"
"P_2. ERA OBRERO","2021-03-19","","9.73916667"
"P_2. ERA OBRERO","2021-03-18","","7.595"
"P_2. ERA OBRERO","2021-03-17","","16.72375"
"P_2. ERA OBRERO","2021-03-16","","12.60208333"
"P_2. ERA OBRERO","2021-03-15","","9.17166667"
"P_2. ERA OBRERO","2021-03-14","","11.23333333"
"P_2. ERA OBRERO","2021-03-13","","13.345"
"P_2. ERA OBRERO","2021-03-12","","11.37958333"
"P_2. ERA OBRERO","2021-03-11","","8.62043478"
"P_2. ERA OBRERO","2021-03-10","","8.18375"
"P_2. ERA OBRERO","2021-03-09","","7.1475"
"P_2. ERA OBRERO","2021-03-08","","6.09375"
