"Estacion","Fecha inicial","Fecha final","PM10"
"EL JAZMÍN","2021-02-28","","19.56521739"
"EL JAZMÍN","2021-02-27","","36.81666667"
"EL JAZMÍN","2021-02-26","","32.35416667"
"EL JAZMÍN","2021-02-25","","15.5125"
"EL JAZMÍN","2021-02-24","","35.94782609"
"EL JAZMÍN","2021-02-23","","33.94583333"
"EL JAZMÍN","2021-02-22","","18.11666667"
"EL JAZMÍN","2021-02-21","","28.025"
"EL JAZMÍN","2021-02-20","","34.61666667"
"EL JAZMÍN","2021-02-19","","35.75833333"
"EL JAZMÍN","2021-02-18","","34.08333333"
"EL JAZMÍN","2021-02-17","","42.52857143"
"EL JAZMÍN","2021-02-16","","47.91666667"
"EL JAZMÍN","2021-02-15","","40.52173913"
"EL JAZMÍN","2021-02-14","","44.6625"
"EL JAZMÍN","2021-02-13","","25.45833333"
"EL JAZMÍN","2021-02-12","","46.83333333"
"EL JAZMÍN","2021-02-11","","36.88333333"
"EL JAZMÍN","2021-02-10","","30.30869565"
"EL JAZMÍN","2021-02-09","","48.12083333"
"EL JAZMÍN","2021-02-08","","31.35714286"
"EL JAZMÍN","2021-02-07","","24.92083333"
"EL JAZMÍN","2021-02-06","","29.30833333"
"EL JAZMÍN","2021-02-05","","18.675"
"EL JAZMÍN","2021-02-04","","30.2125"
"EL JAZMÍN","2021-02-03","","27.7375"
"EL JAZMÍN","2021-02-02","","26.09166667"
"EL JAZMÍN","2021-02-01","","17.77272727"
"EL JAZMÍN","2021-01-31","","22.8"
"EL JAZMÍN","2021-01-30","","31.81666667"
"EL JAZMÍN","2021-01-29","","51.2125"
"EL JAZMÍN","2021-01-28","","53.77083333"
"EL JAZMÍN","2021-01-27","","39.13333333"
"EL JAZMÍN","2021-01-26","","29.205"
"EL JAZMÍN","2021-01-25","","21.62916667"
"EL JAZMÍN","2021-01-24","","14.43913043"
"EL JAZMÍN","2021-01-23","","14.6125"
"EL JAZMÍN","2021-01-22","","37.02916667"
"EL JAZMÍN","2021-01-21","","40.0875"
"EL JAZMÍN","2021-01-20","","39.03636364"
"EL JAZMÍN","2021-01-19","","50.87083333"
"EL JAZMÍN","2021-01-18","","39.77916667"
"EL JAZMÍN","2021-01-17","","30.08333333"
"EL JAZMÍN","2021-01-16","","43.96666667"
"EL JAZMÍN","2021-01-15","","58.41304348"
"EL JAZMÍN","2021-01-14","","53.07916667"
"EL JAZMÍN","2021-01-13","","33.15416667"
"EL JAZMÍN","2021-01-12","","5.69230769"
"EL JAZMÍN","2021-01-11","","7.61875"
"EL JAZMÍN","2021-01-10","","7.43125"
"EL JAZMÍN","2021-01-09","","8.79583333"
"EL JAZMÍN","2021-01-08","","36.54166667"
"EL JAZMÍN","2021-01-07","","22.92916667"
"EL JAZMÍN","2021-01-06","","30.37083333"
"EL JAZMÍN","2021-01-05","","36.9875"
"EL JAZMÍN","2021-01-04","","23.2"
"EL JAZMÍN","2021-01-03","","13.82083333"
"EL JAZMÍN","2021-01-02","","17.0875"
"EL JAZMÍN","2021-01-01","","38.19583333"
"EL JAZMÍN","2020-12-31","","46.75652174"
"EL JAZMÍN","2020-12-30","","41.9125"
"EL JAZMÍN","2020-12-29","","35.78636364"
"EL JAZMÍN","2020-12-28","","31.55"
"EL JAZMÍN","2020-12-27","","15.05833333"
"EL JAZMÍN","2020-12-26","","19.68333333"
"EL JAZMÍN","2020-12-25","","21.62083333"
"EL JAZMÍN","2020-12-24","","26.40416667"
"EL JAZMÍN","2020-12-23","","61.04166667"
