"Estacion","Fecha inicial","Fecha final","PM2.5"
"EL JAZMÍN","2021-02-28","","11.82173913"
"EL JAZMÍN","2021-02-27","","20.85"
"EL JAZMÍN","2021-02-26","","17.87083333"
"EL JAZMÍN","2021-02-25","","7.99166667"
"EL JAZMÍN","2021-02-24","","18.52083333"
"EL JAZMÍN","2021-02-23","","17.09166667"
"EL JAZMÍN","2021-02-22","","9.69166667"
"EL JAZMÍN","2021-02-21","","16.37916667"
"EL JAZMÍN","2021-02-20","","18.0625"
"EL JAZMÍN","2021-02-19","","21.6625"
"EL JAZMÍN","2021-02-18","","16.8875"
"EL JAZMÍN","2021-02-17","","20.09090909"
"EL JAZMÍN","2021-02-16","","23.40416667"
"EL JAZMÍN","2021-02-15","","23.1"
"EL JAZMÍN","2021-02-14","","24.53333333"
"EL JAZMÍN","2021-02-13","","13.30833333"
"EL JAZMÍN","2021-02-12","","23.20416667"
"EL JAZMÍN","2021-02-11","","19.45416667"
"EL JAZMÍN","2021-02-10","","21.33478261"
"EL JAZMÍN","2021-02-09","","29.65416667"
"EL JAZMÍN","2021-02-08","","17.35909091"
"EL JAZMÍN","2021-02-07","","12.375"
"EL JAZMÍN","2021-02-06","","13.22916667"
"EL JAZMÍN","2021-02-05","","10.72916667"
"EL JAZMÍN","2021-02-04","","16.50833333"
"EL JAZMÍN","2021-02-03","","12.7875"
"EL JAZMÍN","2021-02-02","","11.525"
"EL JAZMÍN","2021-02-01","","10.49090909"
"EL JAZMÍN","2021-01-31","","12.49565217"
"EL JAZMÍN","2021-01-30","","17.86666667"
"EL JAZMÍN","2021-01-29","","25.10416667"
"EL JAZMÍN","2021-01-28","","28.175"
"EL JAZMÍN","2021-01-27","","17.925"
"EL JAZMÍN","2021-01-26","","14.52857143"
"EL JAZMÍN","2021-01-25","","10.05416667"
"EL JAZMÍN","2021-01-24","","8.00434783"
"EL JAZMÍN","2021-01-23","","8.3875"
"EL JAZMÍN","2021-01-22","","19.45416667"
"EL JAZMÍN","2021-01-21","","20.5375"
"EL JAZMÍN","2021-01-20","","16.9"
"EL JAZMÍN","2021-01-19","","24.19583333"
"EL JAZMÍN","2021-01-18","","20.06666667"
"EL JAZMÍN","2021-01-17","","16.34166667"
"EL JAZMÍN","2021-01-16","","20.94583333"
"EL JAZMÍN","2021-01-15","","28.33478261"
"EL JAZMÍN","2021-01-14","","25.9625"
"EL JAZMÍN","2021-01-13","","12.82083333"
"EL JAZMÍN","2021-01-12","","3.49545455"
"EL JAZMÍN","2021-01-11","","4.45416667"
"EL JAZMÍN","2021-01-10","","4.5625"
"EL JAZMÍN","2021-01-09","","4.60416667"
"EL JAZMÍN","2021-01-08","","17.875"
"EL JAZMÍN","2021-01-07","","11.2"
"EL JAZMÍN","2021-01-06","","18.8"
"EL JAZMÍN","2021-01-05","","19.19166667"
"EL JAZMÍN","2021-01-04","","11.41666667"
"EL JAZMÍN","2021-01-03","","4.85416667"
"EL JAZMÍN","2021-01-02","","8.67916667"
"EL JAZMÍN","2021-01-01","","30.61666667"
"EL JAZMÍN","2020-12-31","","30.90434783"
"EL JAZMÍN","2020-12-30","","20.15416667"
"EL JAZMÍN","2020-12-29","","11.02272727"
"EL JAZMÍN","2020-12-28","","12.11666667"
"EL JAZMÍN","2020-12-27","","7.58695652"
"EL JAZMÍN","2020-12-26","","9.80833333"
"EL JAZMÍN","2020-12-25","","20.11875"
"EL JAZMÍN","2020-12-24","","17.81"
"EL JAZMÍN","2020-12-23","","36.59565217"
"EL JAZMÍN","2020-12-22","","16.825"
"EL JAZMÍN","2020-12-21","","12.94545455"
"EL JAZMÍN","2020-12-20","","6.59583333"
"EL JAZMÍN","2020-12-19","","15.49166667"
"EL JAZMÍN","2020-12-18","","15.00833333"
"EL JAZMÍN","2020-12-17","","11.2375"
"EL JAZMÍN","2020-12-16","","17.07083333"
"EL JAZMÍN","2020-12-15","","21.74347826"
"EL JAZMÍN","2020-12-14","","9.50454545"
"EL JAZMÍN","2020-12-13","","10.97083333"
"EL JAZMÍN","2020-12-12","","24.95416667"
"EL JAZMÍN","2020-12-11","","27.4"
"EL JAZMÍN","2020-12-10","","36.31666667"
"EL JAZMÍN","2020-12-09","","19.37083333"
"EL JAZMÍN","2020-12-08","","35.2"
"EL JAZMÍN","2020-12-07","","23.25217391"
"EL JAZMÍN","2020-12-06","","8.525"
"EL JAZMÍN","2020-12-05","","14.59166667"
"EL JAZMÍN","2020-12-04","","16.66666667"
"EL JAZMÍN","2020-12-03","","14.86086957"
"EL JAZMÍN","2020-12-02","","8.08181818"
"EL JAZMÍN","2020-12-01","","17.31666667"
"EL JAZMÍN","2020-11-30","","10.43478261"
"EL JAZMÍN","2020-11-29","","7.04583333"
"EL JAZMÍN","2020-11-28","","18.275"
"EL JAZMÍN","2020-11-27","","25.425"
"EL JAZMÍN","2020-11-26","","24.94583333"
"EL JAZMÍN","2020-11-25","","17.92916667"
"EL JAZMÍN","2020-11-24","","22.09166667"
"EL JAZMÍN","2020-11-23","","19.96818182"
"EL JAZMÍN","2020-11-22","","18.24583333"
"EL JAZMÍN","2020-11-21","","12.1375"
"EL JAZMÍN","2020-11-20","","4.61"
"EL JAZMÍN","2020-11-19","","12.98461538"
"EL JAZMÍN","2020-11-18","","16.39166667"
"EL JAZMÍN","2020-11-17","","14.5"
"EL JAZMÍN","2020-11-13","","14.77777778"
"EL JAZMÍN","2020-11-12","","20.95909091"
"EL JAZMÍN","2020-11-11","","13.86521739"
"EL JAZMÍN","2020-11-10","","25.57083333"
"EL JAZMÍN","2020-11-09","","21.0125"
"EL JAZMÍN","2020-11-08","","21.25"
"EL JAZMÍN","2020-11-07","","22.04166667"
"EL JAZMÍN","2020-11-06","","32.9875"
"EL JAZMÍN","2020-11-05","","15.25652174"
"EL JAZMÍN","2020-11-04","","22.81666667"
"EL JAZMÍN","2020-11-03","","19.4625"
"EL JAZMÍN","2020-11-02","","15.35"
"EL JAZMÍN","2020-11-01","","10.764"
"EL JAZMÍN","2020-10-31","","23.0"
"EL JAZMÍN","2020-10-30","","13.60833333"
"EL JAZMÍN","2020-10-29","","19.08333333"
"EL JAZMÍN","2020-10-28","","14.05416667"
"EL JAZMÍN","2020-10-27","","25.325"
"EL JAZMÍN","2020-10-26","","26.36666667"
"EL JAZMÍN","2020-10-25","","24.41904762"
"EL JAZMÍN","2020-10-24","","9.74583333"
"EL JAZMÍN","2020-10-23","","6.43181818"
"EL JAZMÍN","2020-10-22","","7.45833333"
"EL JAZMÍN","2020-10-21","","8.0"
"EL JAZMÍN","2020-10-20","","16.95833333"
"EL JAZMÍN","2020-10-19","","14.0"
"EL JAZMÍN","2020-10-18","","8.20416667"
"EL JAZMÍN","2020-10-17","","8.27391304"
"EL JAZMÍN","2020-10-16","","7.48333333"
"EL JAZMÍN","2020-10-15","","12.34782609"
"EL JAZMÍN","2020-10-14","","14.7125"
"EL JAZMÍN","2020-10-13","","4.89583333"
"EL JAZMÍN","2020-10-12","","8.22083333"
"EL JAZMÍN","2020-10-11","","6.96818182"
"EL JAZMÍN","2020-10-10","","9.73043478"
"EL JAZMÍN","2020-10-09","","4.60833333"
"EL JAZMÍN","2020-10-08","","6.42173913"
"EL JAZMÍN","2020-10-07","","12.80833333"
"EL JAZMÍN","2020-10-06","","16.89166667"
"EL JAZMÍN","2020-10-05","","5.2625"
"EL JAZMÍN","2020-10-04","","4.325"
"EL JAZMÍN","2020-10-03","","10.54166667"
"EL JAZMÍN","2020-10-02","","13.02916667"
"EL JAZMÍN","2020-10-01","","9.66666667"
