"Estacion","Fecha inicial","Fecha final","PM10"
"P_CAMI - FONTIBÓN","2021-02-28","","19.67826087"
"P_CAMI - FONTIBÓN","2021-02-27","","32.77916667"
"P_CAMI - FONTIBÓN","2021-02-26","","33.80833333"
"P_CAMI - FONTIBÓN","2021-02-25","","27.97916667"
"P_CAMI - FONTIBÓN","2021-02-24","","37.67083333"
"P_CAMI - FONTIBÓN","2021-02-23","","41.27916667"
"P_CAMI - FONTIBÓN","2021-02-22","","31.98333333"
"P_CAMI - FONTIBÓN","2021-02-21","","22.7875"
"P_CAMI - FONTIBÓN","2021-02-20","","33.58333333"
"P_CAMI - FONTIBÓN","2021-02-19","","32.8625"
"P_CAMI - FONTIBÓN","2021-02-18","","35.375"
"P_CAMI - FONTIBÓN","2021-02-17","","45.36666667"
"P_CAMI - FONTIBÓN","2021-02-16","","39.2625"
"P_CAMI - FONTIBÓN","2021-02-15","","43.12608696"
"P_CAMI - FONTIBÓN","2021-02-14","","39.125"
"P_CAMI - FONTIBÓN","2021-02-13","","32.32916667"
"P_CAMI - FONTIBÓN","2021-02-12","","49.6875"
"P_CAMI - FONTIBÓN","2021-02-11","","38.20833333"
"P_CAMI - FONTIBÓN","2021-02-10","","25.3"
"P_CAMI - FONTIBÓN","2021-02-09","","32.31428571"
"P_CAMI - FONTIBÓN","2021-02-08","","41.07083333"
"P_CAMI - FONTIBÓN","2021-02-07","","28.4875"
"P_CAMI - FONTIBÓN","2021-02-06","","29.49166667"
"P_CAMI - FONTIBÓN","2021-02-05","","25.97916667"
"P_CAMI - FONTIBÓN","2021-02-04","","41.92083333"
"P_CAMI - FONTIBÓN","2021-02-03","","34.69166667"
"P_CAMI - FONTIBÓN","2021-02-02","","28.11666667"
"P_CAMI - FONTIBÓN","2021-02-01","","23.59166667"
"P_CAMI - FONTIBÓN","2021-01-31","","22.39"
"P_CAMI - FONTIBÓN","2021-01-30","","37.35833333"
"P_CAMI - FONTIBÓN","2021-01-29","","57.37619048"
"P_CAMI - FONTIBÓN","2021-01-28","","58.0"
"P_CAMI - FONTIBÓN","2021-01-27","","42.54166667"
"P_CAMI - FONTIBÓN","2021-01-26","","32.7"
"P_CAMI - FONTIBÓN","2021-01-25","","26.82083333"
"P_CAMI - FONTIBÓN","2021-01-24","","17.17058824"
"P_CAMI - FONTIBÓN","2021-01-23","","25.60869565"
"P_CAMI - FONTIBÓN","2021-01-22","","47.28333333"
"P_CAMI - FONTIBÓN","2021-01-21","","50.6125"
"P_CAMI - FONTIBÓN","2021-01-20","","50.82916667"
"P_CAMI - FONTIBÓN","2021-01-19","","60.77916667"
"P_CAMI - FONTIBÓN","2021-01-18","","46.22083333"
"P_CAMI - FONTIBÓN","2021-01-17","","33.12916667"
"P_CAMI - FONTIBÓN","2021-01-16","","46.42916667"
"P_CAMI - FONTIBÓN","2021-01-15","","54.45652174"
"P_CAMI - FONTIBÓN","2021-01-14","","45.71666667"
"P_CAMI - FONTIBÓN","2021-01-13","","33.60416667"
"P_CAMI - FONTIBÓN","2021-01-12","","18.99583333"
"P_CAMI - FONTIBÓN","2021-01-11","","7.01052632"
"P_CAMI - FONTIBÓN","2021-01-10","","8.9"
"P_CAMI - FONTIBÓN","2021-01-09","","13.46666667"
"P_CAMI - FONTIBÓN","2021-01-08","","30.60833333"
"P_CAMI - FONTIBÓN","2021-01-07","","29.68333333"
"P_CAMI - FONTIBÓN","2021-01-06","","33.97083333"
"P_CAMI - FONTIBÓN","2021-01-05","","39.24090909"
"P_CAMI - FONTIBÓN","2021-01-04","","27.84583333"
"P_CAMI - FONTIBÓN","2021-01-03","","11.48333333"
"P_CAMI - FONTIBÓN","2021-01-02","","17.235"
"P_CAMI - FONTIBÓN","2021-01-01","","31.69047619"
"P_CAMI - FONTIBÓN","2020-12-31","","35.86521739"
"P_CAMI - FONTIBÓN","2020-12-30","","46.63333333"
"P_CAMI - FONTIBÓN","2020-12-29","","37.35833333"
"P_CAMI - FONTIBÓN","2020-12-28","","36.4625"
"P_CAMI - FONTIBÓN","2020-12-27","","18.9625"
"P_CAMI - FONTIBÓN","2020-12-26","","22.575"
"P_CAMI - FONTIBÓN","2020-12-25","","23.58888889"
"P_CAMI - FONTIBÓN","2020-12-24","","25.7"
"P_CAMI - FONTIBÓN","2020-12-23","","53.5125"
"P_CAMI - FONTIBÓN","2020-12-22","","48.95652174"
"P_CAMI - FONTIBÓN","2020-12-21","","37.49166667"
"P_CAMI - FONTIBÓN","2020-12-20","","21.47916667"
"P_CAMI - FONTIBÓN","2020-12-19","","35.20434783"
"P_CAMI - FONTIBÓN","2020-12-18","","40.55416667"
"P_CAMI - FONTIBÓN","2020-12-17","","36.49583333"
"P_CAMI - FONTIBÓN","2020-12-16","","36.04166667"
"P_CAMI - FONTIBÓN","2020-12-15","","49.23043478"
"P_CAMI - FONTIBÓN","2020-12-14","","45.81666667"
"P_CAMI - FONTIBÓN","2020-12-13","","30.03333333"
"P_CAMI - FONTIBÓN","2020-12-12","","53.64166667"
"P_CAMI - FONTIBÓN","2020-12-11","","57.59130435"
"P_CAMI - FONTIBÓN","2020-12-10","","68.13333333"
"P_CAMI - FONTIBÓN","2020-12-09","","53.56666667"
"P_CAMI - FONTIBÓN","2020-12-08","","48.82916667"
"P_CAMI - FONTIBÓN","2020-12-07","","62.6125"
"P_CAMI - FONTIBÓN","2020-12-06","","27.09583333"
"P_CAMI - FONTIBÓN","2020-12-05","","44.1625"
"P_CAMI - FONTIBÓN","2020-12-04","","43.75833333"
"P_CAMI - FONTIBÓN","2020-12-03","","29.70833333"
"P_CAMI - FONTIBÓN","2020-12-02","","30.49166667"
"P_CAMI - FONTIBÓN","2020-12-01","","31.4375"
"P_CAMI - FONTIBÓN","2020-11-30","","29.94347826"
"P_CAMI - FONTIBÓN","2020-11-29","","16.8875"
"P_CAMI - FONTIBÓN","2020-11-28","","23.39583333"
"P_CAMI - FONTIBÓN","2020-11-27","","41.85454545"
"P_CAMI - FONTIBÓN","2020-11-26","","62.18333333"
"P_CAMI - FONTIBÓN","2020-11-25","","42.07916667"
"P_CAMI - FONTIBÓN","2020-11-24","","57.95"
"P_CAMI - FONTIBÓN","2020-11-23","","46.32083333"
"P_CAMI - FONTIBÓN","2020-11-22","","46.64166667"
"P_CAMI - FONTIBÓN","2020-11-21","","45.60416667"
"P_CAMI - FONTIBÓN","2020-11-20","","42.95652174"
"P_CAMI - FONTIBÓN","2020-11-19","","30.89583333"
"P_CAMI - FONTIBÓN","2020-11-18","","29.02916667"
"P_CAMI - FONTIBÓN","2020-11-17","","22.632"
"P_CAMI - FONTIBÓN","2020-11-16","","14.81666667"
"P_CAMI - FONTIBÓN","2020-11-15","","26.90434783"
"P_CAMI - FONTIBÓN","2020-11-14","","36.31666667"
"P_CAMI - FONTIBÓN","2020-11-13","","23.94090909"
"P_CAMI - FONTIBÓN","2020-11-12","","31.05217391"
"P_CAMI - FONTIBÓN","2020-11-11","","19.25714286"
"P_CAMI - FONTIBÓN","2020-11-10","","36.85833333"
"P_CAMI - FONTIBÓN","2020-11-09","","32.89166667"
"P_CAMI - FONTIBÓN","2020-11-08","","30.40416667"
"P_CAMI - FONTIBÓN","2020-11-07","","43.6875"
"P_CAMI - FONTIBÓN","2020-11-06","","57.0375"
"P_CAMI - FONTIBÓN","2020-11-05","","30.55909091"
"P_CAMI - FONTIBÓN","2020-11-04","","41.36666667"
"P_CAMI - FONTIBÓN","2020-11-03","","51.72916667"
"P_CAMI - FONTIBÓN","2020-11-02","","24.4"
"P_CAMI - FONTIBÓN","2020-11-01","","16.39583333"
"P_CAMI - FONTIBÓN","2020-10-31","","25.82173913"
"P_CAMI - FONTIBÓN","2020-10-30","","38.9125"
"P_CAMI - FONTIBÓN","2020-10-29","","41.4"
"P_CAMI - FONTIBÓN","2020-10-28","","40.5875"
"P_CAMI - FONTIBÓN","2020-10-27","","39.65833333"
"P_CAMI - FONTIBÓN","2020-10-26","","58.6375"
"P_CAMI - FONTIBÓN","2020-10-25","","34.85416667"
"P_CAMI - FONTIBÓN","2020-10-24","","31.4952381"
"P_CAMI - FONTIBÓN","2020-10-23","","29.92916667"
"P_CAMI - FONTIBÓN","2020-10-22","","20.9"
"P_CAMI - FONTIBÓN","2020-10-21","","24.95"
"P_CAMI - FONTIBÓN","2020-10-20","","40.0125"
"P_CAMI - FONTIBÓN","2020-10-19","","40.5"
"P_CAMI - FONTIBÓN","2020-10-18","","20.99583333"
"P_CAMI - FONTIBÓN","2020-10-17","","27.74166667"
"P_CAMI - FONTIBÓN","2020-10-16","","21.8125"
"P_CAMI - FONTIBÓN","2020-10-15","","32.4826087"
"P_CAMI - FONTIBÓN","2020-10-14","","40.95"
"P_CAMI - FONTIBÓN","2020-10-13","","28.29166667"
"P_CAMI - FONTIBÓN","2020-10-12","","22.95"
"P_CAMI - FONTIBÓN","2020-10-11","","19.44583333"
"P_CAMI - FONTIBÓN","2020-10-10","","28.17916667"
"P_CAMI - FONTIBÓN","2020-10-09","","25.57619048"
"P_CAMI - FONTIBÓN","2020-10-08","","26.42083333"
"P_CAMI - FONTIBÓN","2020-10-07","","42.00833333"
