"Estacion","Fecha inicial","Fecha final","PM2.5"
"P_CAMI - FONTIBÓN","2021-02-28","","11.75652174"
"P_CAMI - FONTIBÓN","2021-02-27","","22.5375"
"P_CAMI - FONTIBÓN","2021-02-26","","20.6625"
"P_CAMI - FONTIBÓN","2021-02-25","","13.92083333"
"P_CAMI - FONTIBÓN","2021-02-24","","19.875"
"P_CAMI - FONTIBÓN","2021-02-23","","23.04166667"
"P_CAMI - FONTIBÓN","2021-02-22","","17.65416667"
"P_CAMI - FONTIBÓN","2021-02-21","","16.725"
"P_CAMI - FONTIBÓN","2021-02-20","","19.00416667"
"P_CAMI - FONTIBÓN","2021-02-19","","21.84782609"
"P_CAMI - FONTIBÓN","2021-02-18","","19.85217391"
"P_CAMI - FONTIBÓN","2021-02-17","","26.02083333"
"P_CAMI - FONTIBÓN","2021-02-16","","22.0"
"P_CAMI - FONTIBÓN","2021-02-15","","22.71304348"
"P_CAMI - FONTIBÓN","2021-02-14","","26.5125"
"P_CAMI - FONTIBÓN","2021-02-13","","19.1875"
"P_CAMI - FONTIBÓN","2021-02-12","","30.06666667"
"P_CAMI - FONTIBÓN","2021-02-11","","21.25416667"
"P_CAMI - FONTIBÓN","2021-02-10","","18.61052632"
"P_CAMI - FONTIBÓN","2021-02-09","","23.88181818"
"P_CAMI - FONTIBÓN","2021-02-08","","20.1125"
"P_CAMI - FONTIBÓN","2021-02-07","","18.175"
"P_CAMI - FONTIBÓN","2021-02-06","","17.7375"
"P_CAMI - FONTIBÓN","2021-02-05","","16.5625"
"P_CAMI - FONTIBÓN","2021-02-04","","21.64583333"
"P_CAMI - FONTIBÓN","2021-02-03","","19.1125"
"P_CAMI - FONTIBÓN","2021-02-02","","13.70833333"
"P_CAMI - FONTIBÓN","2021-02-01","","12.61666667"
"P_CAMI - FONTIBÓN","2021-01-31","","13.86086957"
"P_CAMI - FONTIBÓN","2021-01-30","","20.62916667"
"P_CAMI - FONTIBÓN","2021-01-29","","31.93636364"
"P_CAMI - FONTIBÓN","2021-01-28","","23.0"
"P_CAMI - FONTIBÓN","2021-01-27","","23.3375"
"P_CAMI - FONTIBÓN","2021-01-26","","17.4"
"P_CAMI - FONTIBÓN","2021-01-25","","16.9875"
"P_CAMI - FONTIBÓN","2021-01-24","","12.3125"
"P_CAMI - FONTIBÓN","2021-01-23","","17.02916667"
"P_CAMI - FONTIBÓN","2021-01-22","","26.79166667"
"P_CAMI - FONTIBÓN","2021-01-21","","25.84166667"
"P_CAMI - FONTIBÓN","2021-01-20","","24.50833333"
"P_CAMI - FONTIBÓN","2021-01-19","","30.95833333"
"P_CAMI - FONTIBÓN","2021-01-18","","25.40434783"
"P_CAMI - FONTIBÓN","2021-01-17","","23.45"
"P_CAMI - FONTIBÓN","2021-01-16","","24.775"
"P_CAMI - FONTIBÓN","2021-01-15","","30.17826087"
"P_CAMI - FONTIBÓN","2021-01-14","","24.02083333"
"P_CAMI - FONTIBÓN","2021-01-13","","16.9625"
"P_CAMI - FONTIBÓN","2021-01-12","","10.00833333"
"P_CAMI - FONTIBÓN","2021-01-11","","5.42916667"
"P_CAMI - FONTIBÓN","2021-01-10","","6.58333333"
"P_CAMI - FONTIBÓN","2021-01-09","","8.99583333"
"P_CAMI - FONTIBÓN","2021-01-08","","17.08"
"P_CAMI - FONTIBÓN","2021-01-07","","13.66666667"
"P_CAMI - FONTIBÓN","2021-01-06","","20.65"
"P_CAMI - FONTIBÓN","2021-01-05","","22.3125"
"P_CAMI - FONTIBÓN","2021-01-04","","15.5375"
"P_CAMI - FONTIBÓN","2021-01-03","","8.60434783"
"P_CAMI - FONTIBÓN","2021-01-02","","13.13636364"
"P_CAMI - FONTIBÓN","2021-01-01","","22.50416667"
"P_CAMI - FONTIBÓN","2020-12-31","","26.7"
"P_CAMI - FONTIBÓN","2020-12-30","","23.775"
"P_CAMI - FONTIBÓN","2020-12-29","","21.69583333"
"P_CAMI - FONTIBÓN","2020-12-28","","17.80833333"
"P_CAMI - FONTIBÓN","2020-12-27","","10.5875"
"P_CAMI - FONTIBÓN","2020-12-26","","12.54347826"
"P_CAMI - FONTIBÓN","2020-12-25","","19.25833333"
"P_CAMI - FONTIBÓN","2020-12-24","","18.35833333"
"P_CAMI - FONTIBÓN","2020-12-23","","28.30833333"
"P_CAMI - FONTIBÓN","2020-12-22","","25.89166667"
"P_CAMI - FONTIBÓN","2020-12-21","","20.425"
"P_CAMI - FONTIBÓN","2020-12-20","","12.62083333"
"P_CAMI - FONTIBÓN","2020-12-19","","19.00416667"
"P_CAMI - FONTIBÓN","2020-12-18","","19.7625"
"P_CAMI - FONTIBÓN","2020-12-17","","17.35"
"P_CAMI - FONTIBÓN","2020-12-16","","16.275"
"P_CAMI - FONTIBÓN","2020-12-15","","24.83913043"
"P_CAMI - FONTIBÓN","2020-12-14","","20.625"
"P_CAMI - FONTIBÓN","2020-12-13","","16.17083333"
"P_CAMI - FONTIBÓN","2020-12-12","","29.34166667"
"P_CAMI - FONTIBÓN","2020-12-11","","32.4625"
"P_CAMI - FONTIBÓN","2020-12-10","","37.075"
"P_CAMI - FONTIBÓN","2020-12-09","","27.0875"
"P_CAMI - FONTIBÓN","2020-12-08","","31.3125"
"P_CAMI - FONTIBÓN","2020-12-07","","33.74583333"
"P_CAMI - FONTIBÓN","2020-12-06","","14.80434783"
"P_CAMI - FONTIBÓN","2020-12-05","","18.49583333"
"P_CAMI - FONTIBÓN","2020-12-04","","23.31818182"
"P_CAMI - FONTIBÓN","2020-12-03","","14.32857143"
"P_CAMI - FONTIBÓN","2020-12-02","","17.91666667"
"P_CAMI - FONTIBÓN","2020-12-01","","17.40833333"
"P_CAMI - FONTIBÓN","2020-11-30","","15.2"
"P_CAMI - FONTIBÓN","2020-11-29","","8.85416667"
"P_CAMI - FONTIBÓN","2020-11-28","","18.91818182"
"P_CAMI - FONTIBÓN","2020-11-27","","23.025"
"P_CAMI - FONTIBÓN","2020-11-26","","29.27083333"
"P_CAMI - FONTIBÓN","2020-11-25","","21.17083333"
"P_CAMI - FONTIBÓN","2020-11-24","","36.07272727"
"P_CAMI - FONTIBÓN","2020-11-23","","24.9625"
"P_CAMI - FONTIBÓN","2020-11-22","","26.05"
"P_CAMI - FONTIBÓN","2020-11-21","","20.38333333"
"P_CAMI - FONTIBÓN","2020-11-20","","21.92173913"
"P_CAMI - FONTIBÓN","2020-11-19","","17.92916667"
"P_CAMI - FONTIBÓN","2020-11-18","","14.10833333"
"P_CAMI - FONTIBÓN","2020-11-17","","15.156"
"P_CAMI - FONTIBÓN","2020-11-16","","11.425"
"P_CAMI - FONTIBÓN","2020-11-15","","20.63846154"
"P_CAMI - FONTIBÓN","2020-11-14","","23.89583333"
"P_CAMI - FONTIBÓN","2020-11-13","","15.15"
"P_CAMI - FONTIBÓN","2020-11-12","","23.0047619"
"P_CAMI - FONTIBÓN","2020-11-11","","14.75909091"
"P_CAMI - FONTIBÓN","2020-11-10","","25.275"
"P_CAMI - FONTIBÓN","2020-11-09","","19.6125"
"P_CAMI - FONTIBÓN","2020-11-08","","20.20416667"
"P_CAMI - FONTIBÓN","2020-11-07","","22.44166667"
"P_CAMI - FONTIBÓN","2020-11-06","","29.27083333"
"P_CAMI - FONTIBÓN","2020-11-05","","18.56956522"
"P_CAMI - FONTIBÓN","2020-11-04","","24.0375"
"P_CAMI - FONTIBÓN","2020-11-03","","28.56666667"
"P_CAMI - FONTIBÓN","2020-11-02","","17.47916667"
"P_CAMI - FONTIBÓN","2020-11-01","","11.752"
"P_CAMI - FONTIBÓN","2020-10-31","","17.70434783"
"P_CAMI - FONTIBÓN","2020-10-30","","18.01666667"
"P_CAMI - FONTIBÓN","2020-10-29","","21.69583333"
"P_CAMI - FONTIBÓN","2020-10-28","","20.2"
"P_CAMI - FONTIBÓN","2020-10-27","","24.09047619"
"P_CAMI - FONTIBÓN","2020-10-26","","31.19166667"
"P_CAMI - FONTIBÓN","2020-10-25","","22.87826087"
"P_CAMI - FONTIBÓN","2020-10-24","","16.20833333"
"P_CAMI - FONTIBÓN","2020-10-23","","18.08333333"
"P_CAMI - FONTIBÓN","2020-10-22","","11.225"
"P_CAMI - FONTIBÓN","2020-10-21","","12.9375"
"P_CAMI - FONTIBÓN","2020-10-20","","21.7875"
"P_CAMI - FONTIBÓN","2020-10-19","","18.10833333"
"P_CAMI - FONTIBÓN","2020-10-18","","10.75"
"P_CAMI - FONTIBÓN","2020-10-17","","15.325"
"P_CAMI - FONTIBÓN","2020-10-16","","14.01666667"
"P_CAMI - FONTIBÓN","2020-10-15","","15.66521739"
"P_CAMI - FONTIBÓN","2020-10-14","","19.49583333"
"P_CAMI - FONTIBÓN","2020-10-13","","11.6125"
"P_CAMI - FONTIBÓN","2020-10-12","","11.2625"
"P_CAMI - FONTIBÓN","2020-10-11","","11.59583333"
"P_CAMI - FONTIBÓN","2020-10-10","","14.4375"
