"Estacion","Fecha inicial","Fecha final","PM10"
"GUAYMARAL","2021-02-15","","37.11111111"
"GUAYMARAL","2021-02-14","","29.56521739"
"GUAYMARAL","2021-02-13","","26.45833333"
"GUAYMARAL","2021-02-12","","39.29166667"
"GUAYMARAL","2021-02-11","","37.26086957"
"GUAYMARAL","2021-02-10","","26.54166667"
"GUAYMARAL","2021-02-09","","33.45833333"
"GUAYMARAL","2021-02-08","","33.5"
"GUAYMARAL","2021-02-07","","23.95833333"
"GUAYMARAL","2021-02-06","","29.41666667"
"GUAYMARAL","2021-02-05","","24.83333333"
"GUAYMARAL","2021-02-04","","36.0"
"GUAYMARAL","2021-02-03","","31.91666667"
"GUAYMARAL","2021-02-02","","24.625"
"GUAYMARAL","2021-02-01","","18.7826087"
"GUAYMARAL","2021-01-31","","22.91304348"
"GUAYMARAL","2021-01-30","","31.95833333"
"GUAYMARAL","2021-01-29","","43.625"
"GUAYMARAL","2021-01-28","","46.54166667"
"GUAYMARAL","2021-01-27","","30.54166667"
"GUAYMARAL","2021-01-26","","24.375"
"GUAYMARAL","2021-01-25","","23.375"
"GUAYMARAL","2021-01-24","","17.375"
"GUAYMARAL","2021-01-23","","17.54166667"
"GUAYMARAL","2021-01-22","","27.79166667"
"GUAYMARAL","2021-01-21","","43.41666667"
"GUAYMARAL","2021-01-20","","33.5"
"GUAYMARAL","2021-01-19","","46.95833333"
"GUAYMARAL","2021-01-18","","30.75"
"GUAYMARAL","2021-01-17","","26.54166667"
"GUAYMARAL","2021-01-16","","37.375"
"GUAYMARAL","2021-01-15","","41.60869565"
"GUAYMARAL","2021-01-14","","38.65217391"
"GUAYMARAL","2021-01-13","","29.5"
"GUAYMARAL","2021-01-12","","18.79166667"
"GUAYMARAL","2021-01-11","","12.0"
"GUAYMARAL","2021-01-10","","11.66666667"
"GUAYMARAL","2021-01-09","","12.29166667"
"GUAYMARAL","2021-01-08","","20.17391304"
"GUAYMARAL","2021-01-07","","21.41666667"
"GUAYMARAL","2021-01-06","","27.58333333"
"GUAYMARAL","2021-01-05","","27.70833333"
"GUAYMARAL","2021-01-04","","29.54166667"
"GUAYMARAL","2021-01-03","","14.79166667"
"GUAYMARAL","2021-01-02","","13.83333333"
"GUAYMARAL","2021-01-01","","15.75"
"GUAYMARAL","2020-12-31","","29.73913043"
"GUAYMARAL","2020-12-30","","37.86956522"
"GUAYMARAL","2020-12-29","","29.83333333"
"GUAYMARAL","2020-12-28","","30.875"
"GUAYMARAL","2020-12-27","","22.16666667"
"GUAYMARAL","2020-12-26","","26.45833333"
"GUAYMARAL","2020-12-25","","20.16666667"
"GUAYMARAL","2020-12-24","","26.7826087"
"GUAYMARAL","2020-12-23","","42.73333333"
"GUAYMARAL","2020-12-22","","23.92857143"
"GUAYMARAL","2020-12-21","","38.45833333"
"GUAYMARAL","2020-12-20","","17.83333333"
"GUAYMARAL","2020-12-19","","25.625"
"GUAYMARAL","2020-12-18","","30.125"
"GUAYMARAL","2020-12-17","","22.125"
"GUAYMARAL","2020-12-16","","29.56521739"
"GUAYMARAL","2020-12-15","","34.26086957"
"GUAYMARAL","2020-12-14","","30.08333333"
"GUAYMARAL","2020-12-13","","23.16666667"
"GUAYMARAL","2020-12-12","","36.625"
"GUAYMARAL","2020-12-11","","46.25"
"GUAYMARAL","2020-12-10","","36.82608696"
"GUAYMARAL","2020-12-09","","43.625"
"GUAYMARAL","2020-12-08","","31.75"
"GUAYMARAL","2020-12-07","","31.04166667"
"GUAYMARAL","2020-12-06","","23.29166667"
"GUAYMARAL","2020-12-05","","27.69565217"
"GUAYMARAL","2020-12-04","","27.625"
"GUAYMARAL","2020-12-03","","21.91666667"
"GUAYMARAL","2020-12-02","","20.75"
"GUAYMARAL","2020-12-01","","26.0"
"GUAYMARAL","2020-11-30","","23.0"
"GUAYMARAL","2020-11-29","","12.375"
"GUAYMARAL","2020-11-28","","18.5"
"GUAYMARAL","2020-11-27","","26.16666667"
"GUAYMARAL","2020-11-26","","38.25"
"GUAYMARAL","2020-11-25","","31.0"
"GUAYMARAL","2020-11-24","","38.04347826"
"GUAYMARAL","2020-11-23","","36.54166667"
"GUAYMARAL","2020-11-22","","35.375"
"GUAYMARAL","2020-11-21","","30.79166667"
"GUAYMARAL","2020-11-20","","29.0"
"GUAYMARAL","2020-11-19","","35.86956522"
"GUAYMARAL","2020-11-18","","37.75"
"GUAYMARAL","2020-11-17","","28.28"
"GUAYMARAL","2020-11-16","","25.20833333"
"GUAYMARAL","2020-11-15","","28.7826087"
"GUAYMARAL","2020-11-14","","32.16666667"
"GUAYMARAL","2020-11-13","","22.875"
"GUAYMARAL","2020-11-12","","27.66666667"
"GUAYMARAL","2020-11-11","","20.47826087"
"GUAYMARAL","2020-11-10","","41.625"
"GUAYMARAL","2020-11-09","","42.08333333"
"GUAYMARAL","2020-11-08","","31.66666667"
"GUAYMARAL","2020-11-07","","42.95833333"
"GUAYMARAL","2020-11-06","","54.45833333"
"GUAYMARAL","2020-11-05","","42.60869565"
"GUAYMARAL","2020-11-04","","44.45833333"
"GUAYMARAL","2020-11-03","","45.08333333"
"GUAYMARAL","2020-11-02","","35.0"
"GUAYMARAL","2020-11-01","","24.72"
"GUAYMARAL","2020-10-31","","31.13043478"
"GUAYMARAL","2020-10-30","","45.375"
"GUAYMARAL","2020-10-29","","30.58333333"
"GUAYMARAL","2020-10-28","","39.2"
