"Estacion","Fecha inicial","Fecha final","PM2.5"
"GUAYMARAL","2021-02-28","","7.43478261"
"GUAYMARAL","2021-02-27","","13.875"
"GUAYMARAL","2021-02-26","","17.08333333"
"GUAYMARAL","2021-02-25","","9.41666667"
"GUAYMARAL","2021-02-24","","16.375"
"GUAYMARAL","2021-02-23","","15.70833333"
"GUAYMARAL","2021-02-22","","10.95833333"
"GUAYMARAL","2021-02-21","","18.79166667"
"GUAYMARAL","2021-02-20","","17.95833333"
"GUAYMARAL","2021-02-19","","18.0"
"GUAYMARAL","2021-02-18","","18.25"
"GUAYMARAL","2021-02-17","","21.625"
"GUAYMARAL","2021-02-16","","15.91666667"
"GUAYMARAL","2021-02-15","","18.43478261"
"GUAYMARAL","2021-02-14","","17.08695652"
"GUAYMARAL","2021-02-13","","13.08333333"
"GUAYMARAL","2021-02-12","","23.95833333"
"GUAYMARAL","2021-02-11","","19.39130435"
"GUAYMARAL","2021-02-10","","14.45833333"
"GUAYMARAL","2021-02-09","","17.16666667"
"GUAYMARAL","2021-02-08","","13.91666667"
"GUAYMARAL","2021-02-07","","11.83333333"
"GUAYMARAL","2021-02-06","","12.70833333"
"GUAYMARAL","2021-02-05","","11.58333333"
"GUAYMARAL","2021-02-04","","17.25"
"GUAYMARAL","2021-02-03","","16.79166667"
"GUAYMARAL","2021-02-02","","12.04347826"
"GUAYMARAL","2021-02-01","","8.2173913"
"GUAYMARAL","2021-01-31","","11.73913043"
"GUAYMARAL","2021-01-30","","16.375"
"GUAYMARAL","2021-01-29","","24.58333333"
"GUAYMARAL","2021-01-28","","23.58333333"
"GUAYMARAL","2021-01-27","","15.08333333"
"GUAYMARAL","2021-01-26","","13.04166667"
"GUAYMARAL","2021-01-25","","11.875"
"GUAYMARAL","2021-01-24","","7.29166667"
"GUAYMARAL","2021-01-23","","7.16666667"
"GUAYMARAL","2021-01-22","","11.70833333"
"GUAYMARAL","2021-01-21","","21.33333333"
"GUAYMARAL","2021-01-20","","17.20833333"
"GUAYMARAL","2021-01-19","","23.45833333"
"GUAYMARAL","2021-01-18","","14.29166667"
"GUAYMARAL","2021-01-17","","13.45833333"
"GUAYMARAL","2021-01-16","","21.75"
"GUAYMARAL","2021-01-15","","21.47826087"
"GUAYMARAL","2021-01-14","","21.58333333"
"GUAYMARAL","2021-01-13","","14.41666667"
"GUAYMARAL","2021-01-12","","9.625"
"GUAYMARAL","2021-01-11","","4.91666667"
"GUAYMARAL","2021-01-10","","4.625"
"GUAYMARAL","2021-01-09","","6.45833333"
"GUAYMARAL","2021-01-08","","9.91304348"
"GUAYMARAL","2021-01-07","","8.04166667"
"GUAYMARAL","2021-01-06","","12.83333333"
"GUAYMARAL","2021-01-05","","16.08333333"
"GUAYMARAL","2021-01-04","","12.375"
"GUAYMARAL","2021-01-03","","5.83333333"
"GUAYMARAL","2021-01-02","","6.29166667"
"GUAYMARAL","2021-01-01","","8.375"
"GUAYMARAL","2020-12-31","","19.30434783"
"GUAYMARAL","2020-12-30","","22.56521739"
"GUAYMARAL","2020-12-29","","14.66666667"
"GUAYMARAL","2020-12-28","","14.41666667"
"GUAYMARAL","2020-12-27","","9.875"
"GUAYMARAL","2020-12-26","","12.66666667"
"GUAYMARAL","2020-12-25","","12.125"
"GUAYMARAL","2020-12-24","","14.04166667"
"GUAYMARAL","2020-12-23","","19.66666667"
"GUAYMARAL","2020-12-22","","13.53846154"
"GUAYMARAL","2020-12-21","","19.04166667"
"GUAYMARAL","2020-12-20","","6.45833333"
"GUAYMARAL","2020-12-19","","12.7826087"
"GUAYMARAL","2020-12-18","","11.54166667"
"GUAYMARAL","2020-12-17","","9.5"
"GUAYMARAL","2020-12-16","","14.82608696"
"GUAYMARAL","2020-12-15","","17.95652174"
"GUAYMARAL","2020-12-14","","13.0"
"GUAYMARAL","2020-12-13","","9.58333333"
"GUAYMARAL","2020-12-12","","19.125"
"GUAYMARAL","2020-12-11","","24.29166667"
"GUAYMARAL","2020-12-10","","19.81818182"
"GUAYMARAL","2020-12-09","","21.125"
"GUAYMARAL","2020-12-08","","16.75"
"GUAYMARAL","2020-12-07","","15.08333333"
"GUAYMARAL","2020-12-06","","9.45833333"
"GUAYMARAL","2020-12-05","","12.25"
"GUAYMARAL","2020-12-04","","11.95833333"
"GUAYMARAL","2020-12-03","","9.41666667"
"GUAYMARAL","2020-12-02","","9.58333333"
"GUAYMARAL","2020-12-01","","11.34782609"
"GUAYMARAL","2020-11-30","","8.0"
"GUAYMARAL","2020-11-29","","4.20833333"
"GUAYMARAL","2020-11-28","","8.9"
"GUAYMARAL","2020-11-27","","15.95833333"
"GUAYMARAL","2020-11-26","","19.66666667"
"GUAYMARAL","2020-11-25","","13.5"
"GUAYMARAL","2020-11-24","","17.91304348"
"GUAYMARAL","2020-11-23","","18.125"
"GUAYMARAL","2020-11-22","","16.0"
"GUAYMARAL","2020-11-21","","10.125"
"GUAYMARAL","2020-11-20","","13.08695652"
"GUAYMARAL","2020-11-19","","14.60869565"
"GUAYMARAL","2020-11-18","","17.70833333"
"GUAYMARAL","2020-11-17","","13.64"
"GUAYMARAL","2020-11-16","","13.16666667"
"GUAYMARAL","2020-11-15","","14.60869565"
"GUAYMARAL","2020-11-14","","19.34782609"
"GUAYMARAL","2020-11-13","","11.54166667"
"GUAYMARAL","2020-11-12","","16.41666667"
"GUAYMARAL","2020-11-11","","9.60869565"
"GUAYMARAL","2020-11-10","","21.375"
"GUAYMARAL","2020-11-09","","19.83333333"
"GUAYMARAL","2020-11-08","","15.41666667"
"GUAYMARAL","2020-11-07","","19.20833333"
"GUAYMARAL","2020-11-06","","25.58333333"
"GUAYMARAL","2020-11-05","","20.47826087"
"GUAYMARAL","2020-11-04","","23.17391304"
"GUAYMARAL","2020-11-03","","20.625"
"GUAYMARAL","2020-11-02","","13.83333333"
"GUAYMARAL","2020-11-01","","12.48"
"GUAYMARAL","2020-10-31","","13.13043478"
"GUAYMARAL","2020-10-30","","19.875"
"GUAYMARAL","2020-10-29","","14.875"
"GUAYMARAL","2020-10-28","","11.53333333"
"GUAYMARAL","2020-10-27","","22.07142857"
"GUAYMARAL","2020-10-26","","21.58333333"
"GUAYMARAL","2020-10-25","","16.29166667"
"GUAYMARAL","2020-10-24","","8.54166667"
"GUAYMARAL","2020-10-23","","6.5"
"GUAYMARAL","2020-10-22","","7.26086957"
"GUAYMARAL","2020-10-21","","5.66666667"
"GUAYMARAL","2020-10-20","","12.08333333"
"GUAYMARAL","2020-10-19","","11.45833333"
"GUAYMARAL","2020-10-18","","7.08333333"
"GUAYMARAL","2020-10-17","","9.83333333"
"GUAYMARAL","2020-10-16","","6.79166667"
"GUAYMARAL","2020-10-15","","9.86956522"
"GUAYMARAL","2020-10-14","","12.33333333"
"GUAYMARAL","2020-10-13","","5.86956522"
"GUAYMARAL","2020-10-12","","5.04166667"
"GUAYMARAL","2020-10-11","","7.45833333"
"GUAYMARAL","2020-10-10","","8.41666667"
"GUAYMARAL","2020-10-09","","6.5"
"GUAYMARAL","2020-10-08","","9.33333333"
"GUAYMARAL","2020-10-07","","14.73913043"
"GUAYMARAL","2020-10-06","","16.875"
"GUAYMARAL","2020-10-05","","8.625"
"GUAYMARAL","2020-10-04","","4.625"
"GUAYMARAL","2020-10-03","","8.83333333"
"GUAYMARAL","2020-10-02","","12.45833333"
"GUAYMARAL","2020-10-01","","8.54166667"
"GUAYMARAL","2020-09-30","","9.69565217"
"GUAYMARAL","2020-09-29","","9.04347826"
"GUAYMARAL","2020-09-28","","10.08695652"
"GUAYMARAL","2020-09-27","","14.14285714"
"GUAYMARAL","2020-09-26","","15.58333333"
"GUAYMARAL","2020-09-25","","9.16666667"
"GUAYMARAL","2020-09-24","","5.25"
"GUAYMARAL","2020-09-23","","9.34782609"
"GUAYMARAL","2020-09-22","","11.375"
"GUAYMARAL","2020-09-21","","8.54166667"
"GUAYMARAL","2020-09-20","","3.625"
"GUAYMARAL","2020-09-19","","17.70833333"
"GUAYMARAL","2020-09-18","","16.95833333"
"GUAYMARAL","2020-09-17","","22.04347826"
"GUAYMARAL","2020-09-16","","11.29166667"
"GUAYMARAL","2020-09-15","","10.30434783"
"GUAYMARAL","2020-09-14","","10.25"
"GUAYMARAL","2020-09-13","","7.25"
"GUAYMARAL","2020-09-12","","17.125"
"GUAYMARAL","2020-09-11","","21.5"
"GUAYMARAL","2020-09-10","","13.91666667"
"GUAYMARAL","2020-09-09","","14.04166667"
"GUAYMARAL","2020-09-08","","9.83333333"
"GUAYMARAL","2020-09-07","","10.43478261"
"GUAYMARAL","2020-09-06","","6.70833333"
"GUAYMARAL","2020-09-05","","6.41666667"
"GUAYMARAL","2020-09-04","","5.375"
"GUAYMARAL","2020-09-03","","8.08333333"
"GUAYMARAL","2020-09-02","","11.83333333"
"GUAYMARAL","2020-09-01","","9.95833333"
"GUAYMARAL","2020-08-31","","13.39130435"
"GUAYMARAL","2020-08-30","","10.54166667"
