"Estacion","Fecha inicial","Fecha final","PM2.5"
"KENNEDY","2021-02-28","","17.2173913"
"KENNEDY","2021-02-27","","27.0"
"KENNEDY","2021-02-26","","25.91666667"
"KENNEDY","2021-02-25","","14.66666667"
"KENNEDY","2021-02-24","","25.58333333"
"KENNEDY","2021-02-23","","23.79166667"
"KENNEDY","2021-02-22","","18.125"
"KENNEDY","2021-02-21","","18.91666667"
"KENNEDY","2021-02-20","","22.54166667"
"KENNEDY","2021-02-19","","26.45833333"
"KENNEDY","2021-02-18","","27.5"
"KENNEDY","2021-02-17","","29.70833333"
"KENNEDY","2021-02-16","","32.54166667"
"KENNEDY","2021-02-15","","28.95652174"
"KENNEDY","2021-02-14","","31.66666667"
"KENNEDY","2021-02-13","","23.58333333"
"KENNEDY","2021-02-12","","30.625"
"KENNEDY","2021-02-11","","27.45833333"
"KENNEDY","2021-02-10","","23.625"
"KENNEDY","2021-02-09","","30.00416667"
"KENNEDY","2021-02-08","","25.08333333"
"KENNEDY","2021-02-07","","21.41666667"
"KENNEDY","2021-02-06","","25.58333333"
"KENNEDY","2021-02-05","","20.75"
"KENNEDY","2021-02-04","","25.64705882"
"KENNEDY","2021-02-03","","22.57142857"
"KENNEDY","2021-02-02","","19.04166667"
"KENNEDY","2021-02-01","","16.4875"
"KENNEDY","2021-01-31","","13.82608696"
"KENNEDY","2021-01-30","","25.16666667"
"KENNEDY","2021-01-29","","34.58333333"
"KENNEDY","2021-01-28","","34.04166667"
"KENNEDY","2021-01-27","","21.52380952"
"KENNEDY","2021-01-26","","22.29166667"
"KENNEDY","2021-01-25","","20.125"
"KENNEDY","2021-01-24","","13.41666667"
"KENNEDY","2021-01-23","","15.20833333"
"KENNEDY","2021-01-22","","27.79166667"
"KENNEDY","2021-01-21","","29.58333333"
"KENNEDY","2021-01-20","","26.29166667"
"KENNEDY","2021-01-19","","32.79166667"
"KENNEDY","2021-01-18","","28.75"
"KENNEDY","2021-01-17","","23.66666667"
"KENNEDY","2021-01-16","","27.91666667"
"KENNEDY","2021-01-15","","32.86956522"
"KENNEDY","2021-01-14","","29.45833333"
"KENNEDY","2021-01-13","","23.375"
"KENNEDY","2021-01-12","","9.625"
"KENNEDY","2021-01-11","","6.04545455"
"KENNEDY","2021-01-10","","8.56521739"
"KENNEDY","2021-01-09","","10.41666667"
"KENNEDY","2021-01-08","","25.0"
"KENNEDY","2021-01-07","","20.625"
"KENNEDY","2021-01-06","","23.79166667"
"KENNEDY","2021-01-05","","27.65217391"
"KENNEDY","2021-01-04","","17.58333333"
"KENNEDY","2021-01-03","","7.39130435"
"KENNEDY","2021-01-02","","12.95652174"
"KENNEDY","2021-01-01","","23.81818182"
"KENNEDY","2020-12-31","","39.04347826"
"KENNEDY","2020-12-30","","27.5"
"KENNEDY","2020-12-29","","24.04166667"
"KENNEDY","2020-12-28","","24.25"
"KENNEDY","2020-12-27","","14.91666667"
"KENNEDY","2020-12-26","","14.16666667"
"KENNEDY","2020-12-25","","23.95833333"
