"Estacion","Fecha inicial","Fecha final","PM10"
"LA ERMITA","2021-07-27","","22.92173913"
"LA ERMITA","2021-07-26","","27.0375"
"LA ERMITA","2021-07-25","","13.84782609"
"LA ERMITA","2021-07-24","","35.30434783"
"LA ERMITA","2021-07-23","","29.55833333"
"LA ERMITA","2021-07-22","","37.075"
"LA ERMITA","2021-07-21","","36.30833333"
"LA ERMITA","2021-07-20","","22.7625"
"LA ERMITA","2021-07-19","","32.57916667"
"LA ERMITA","2021-07-18","","20.80833333"
"LA ERMITA","2021-07-17","","29.69166667"
"LA ERMITA","2021-07-16","","33.00416667"
"LA ERMITA","2021-07-15","","35.45"
"LA ERMITA","2021-07-14","","33.775"
"LA ERMITA","2021-07-13","","28.4625"
"LA ERMITA","2021-07-12","","27.5"
"LA ERMITA","2021-07-11","","23.45"
"LA ERMITA","2021-07-10","","25.22083333"
"LA ERMITA","2021-07-09","","31.49166667"
"LA ERMITA","2021-07-08","","37.65833333"
"LA ERMITA","2021-07-07","","36.675"
"LA ERMITA","2021-07-06","","37.20416667"
"LA ERMITA","2021-07-05","","25.17916667"
"LA ERMITA","2021-07-04","","23.675"
"LA ERMITA","2021-07-03","","28.90833333"
"LA ERMITA","2021-07-02","","26.8375"
"LA ERMITA","2021-07-01","","28.32083333"
"LA ERMITA","2021-06-30","","31.64285714"
"LA ERMITA","2021-06-17","","32.50833333"
"LA ERMITA","2021-06-16","","28.70416667"
"LA ERMITA","2021-06-15","","20.86818182"
"LA ERMITA","2021-06-14","","21.175"
"LA ERMITA","2021-06-13","","21.3375"
"LA ERMITA","2021-06-12","","25.65416667"
"LA ERMITA","2021-06-11","","32.79583333"
"LA ERMITA","2021-06-10","","32.8125"
"LA ERMITA","2021-06-09","","24.10416667"
"LA ERMITA","2021-06-08","","19.70416667"
"LA ERMITA","2021-06-07","","16.1625"
"LA ERMITA","2021-06-06","","23.0125"
"LA ERMITA","2021-06-05","","26.41666667"
"LA ERMITA","2021-06-04","","20.02083333"
"LA ERMITA","2021-06-03","","19.87083333"
"LA ERMITA","2021-06-02","","18.89090909"
"LA ERMITA","2021-06-01","","20.95833333"
"LA ERMITA","2021-05-31","","17.60416667"
"LA ERMITA","2021-05-30","","13.8375"
"LA ERMITA","2021-05-29","","15.55833333"
"LA ERMITA","2021-05-28","","17.85"
"LA ERMITA","2021-05-27","","21.06363636"
"LA ERMITA","2021-05-26","","13.41538462"
"LA ERMITA","2021-05-25","","17.54583333"
"LA ERMITA","2021-05-24","","16.27083333"
"LA ERMITA","2021-05-23","","13.70416667"
"LA ERMITA","2021-05-22","","17.21666667"
"LA ERMITA","2021-05-21","","15.52727273"
"LA ERMITA","2021-04-27","","49.36666667"
"LA ERMITA","2021-04-26","","38.29583333"
"LA ERMITA","2021-04-25","","29.5625"
"LA ERMITA","2021-04-24","","27.50833333"
"LA ERMITA","2021-04-23","","38.9125"
"LA ERMITA","2021-04-22","","48.5375"
"LA ERMITA","2021-04-21","","33.20526316"
"LA ERMITA","2021-04-20","","34.8125"
"LA ERMITA","2021-04-19","","25.41666667"
"LA ERMITA","2021-04-18","","28.9"
"LA ERMITA","2021-04-17","","34.44583333"
"LA ERMITA","2021-04-16","","36.3625"
"LA ERMITA","2021-04-15","","53.99583333"
"LA ERMITA","2021-04-14","","50.62916667"
"LA ERMITA","2021-04-13","","50.30833333"
"LA ERMITA","2021-04-12","","52.9"
"LA ERMITA","2021-04-11","","38.01666667"
"LA ERMITA","2021-04-10","","42.95"
"LA ERMITA","2021-04-09","","48.9875"
