"Estacion","Fecha inicial","Fecha final","PM2.5"
"LA ERMITA","2021-07-27","","11.85666667"
"LA ERMITA","2021-07-26","","14.23833333"
"LA ERMITA","2021-07-25","","8.99708333"
"LA ERMITA","2021-07-24","","18.61791667"
"LA ERMITA","2021-07-23","","13.52375"
"LA ERMITA","2021-07-22","","17.16958333"
"LA ERMITA","2021-07-21","","15.23041667"
"LA ERMITA","2021-07-20","","11.69166667"
"LA ERMITA","2021-07-19","","17.74166667"
"LA ERMITA","2021-07-18","","14.40166667"
"LA ERMITA","2021-07-17","","15.185"
"LA ERMITA","2021-07-16","","18.31083333"
"LA ERMITA","2021-07-15","","19.45833333"
"LA ERMITA","2021-07-14","","16.10458333"
"LA ERMITA","2021-07-13","","12.835"
"LA ERMITA","2021-07-12","","15.10125"
"LA ERMITA","2021-07-11","","10.43708333"
"LA ERMITA","2021-07-10","","14.71875"
"LA ERMITA","2021-07-09","","17.53666667"
"LA ERMITA","2021-07-08","","18.0"
"LA ERMITA","2021-07-07","","20.71166667"
"LA ERMITA","2021-07-06","","19.33291667"
"LA ERMITA","2021-07-05","","12.26291667"
"LA ERMITA","2021-07-04","","11.23083333"
"LA ERMITA","2021-07-03","","14.29416667"
"LA ERMITA","2021-07-02","","10.095"
"LA ERMITA","2021-07-01","","14.09666667"
"LA ERMITA","2021-06-30","","10.79285714"
"LA ERMITA","2021-06-17","","20.18333333"
"LA ERMITA","2021-06-16","","14.96833333"
"LA ERMITA","2021-06-15","","8.67041667"
"LA ERMITA","2021-06-14","","14.98291667"
"LA ERMITA","2021-06-13","","15.19083333"
"LA ERMITA","2021-06-12","","15.44583333"
"LA ERMITA","2021-06-11","","19.04791667"
"LA ERMITA","2021-06-10","","20.85458333"
"LA ERMITA","2021-06-09","","12.98083333"
"LA ERMITA","2021-06-08","","9.47625"
"LA ERMITA","2021-06-07","","10.22041667"
"LA ERMITA","2021-06-06","","12.83708333"
"LA ERMITA","2021-06-05","","13.56416667"
"LA ERMITA","2021-06-04","","11.32666667"
"LA ERMITA","2021-06-03","","10.98791667"
"LA ERMITA","2021-06-02","","11.19681818"
"LA ERMITA","2021-06-01","","12.42791667"
"LA ERMITA","2021-05-31","","8.64083333"
"LA ERMITA","2021-05-30","","7.71125"
"LA ERMITA","2021-05-29","","9.075"
"LA ERMITA","2021-05-28","","11.235"
"LA ERMITA","2021-05-27","","10.01818182"
"LA ERMITA","2021-05-26","","7.99230769"
"LA ERMITA","2021-05-25","","8.99625"
"LA ERMITA","2021-05-24","","7.15916667"
"LA ERMITA","2021-05-23","","7.62416667"
"LA ERMITA","2021-05-22","","8.68"
"LA ERMITA","2021-05-21","","9.37166667"
"LA ERMITA","2021-05-20","","7.77958333"
"LA ERMITA","2021-05-19","","11.44416667"
"LA ERMITA","2021-05-18","","11.17909091"
"LA ERMITA","2021-05-17","","6.81181818"
"LA ERMITA","2021-05-16","","5.72954545"
"LA ERMITA","2021-05-15","","8.72565217"
"LA ERMITA","2021-05-14","","7.88375"
"LA ERMITA","2021-05-13","","8.15583333"
"LA ERMITA","2021-05-12","","5.58541667"
"LA ERMITA","2021-05-11","","10.51583333"
"LA ERMITA","2021-05-10","","10.18083333"
"LA ERMITA","2021-05-09","","6.03375"
"LA ERMITA","2021-05-08","","8.54166667"
"LA ERMITA","2021-05-07","","7.10208333"
"LA ERMITA","2021-05-06","","10.51083333"
"LA ERMITA","2021-05-05","","10.79875"
"LA ERMITA","2021-05-04","","7.72833333"
"LA ERMITA","2021-05-03","","6.84208333"
"LA ERMITA","2021-05-02","","4.70708333"
"LA ERMITA","2021-05-01","","5.39208333"
"LA ERMITA","2021-04-30","","9.98291667"
"LA ERMITA","2021-04-29","","8.98125"
"LA ERMITA","2021-04-28","","13.12875"
"LA ERMITA","2021-04-27","","18.185"
"LA ERMITA","2021-04-26","","13.17208333"
"LA ERMITA","2021-04-25","","11.72416667"
"LA ERMITA","2021-04-24","","12.38416667"
"LA ERMITA","2021-04-23","","11.79458333"
"LA ERMITA","2021-04-22","","15.62375"
"LA ERMITA","2021-04-21","","13.74545455"
"LA ERMITA","2021-04-20","","13.44291667"
"LA ERMITA","2021-04-19","","9.15833333"
"LA ERMITA","2021-04-18","","12.29291667"
"LA ERMITA","2021-04-17","","11.6475"
"LA ERMITA","2021-04-16","","12.30083333"
"LA ERMITA","2021-04-15","","18.65875"
"LA ERMITA","2021-04-14","","14.3"
"LA ERMITA","2021-04-13","","15.70125"
