"Estacion","Fecha inicial","Fecha final","PM10"
"LA FLORA","2021-07-07","","52.48571429"
"LA FLORA","2021-07-06","","59.74347826"
"LA FLORA","2021-07-05","","56.05416667"
"LA FLORA","2021-07-04","","62.3173913"
"LA FLORA","2021-07-03","","47.29130435"
"LA FLORA","2021-07-02","","42.83913043"
"LA FLORA","2021-07-01","","46.27391304"
"LA FLORA","2021-06-30","","58.435"
"LA FLORA","2021-06-29","","53.02105263"
"LA FLORA","2021-06-28","","53.5"
"LA FLORA","2021-06-27","","42.2375"
"LA FLORA","2021-06-26","","47.55652174"
"LA FLORA","2021-06-25","","50.40454545"
"LA FLORA","2021-06-24","","53.21363636"
"LA FLORA","2021-06-23","","41.60952381"
"LA FLORA","2021-06-22","","48.43333333"
"LA FLORA","2021-06-21","","42.38333333"
"LA FLORA","2021-06-20","","41.6625"
"LA FLORA","2021-06-19","","33.70833333"
"LA FLORA","2021-06-18","","36.49130435"
"LA FLORA","2021-06-17","","50.23"
"LA FLORA","2021-06-16","","40.6"
"LA FLORA","2021-06-15","","52.175"
"LA FLORA","2021-06-14","","32.40833333"
"LA FLORA","2021-06-13","","31.95416667"
"LA FLORA","2021-06-12","","37.9"
"LA FLORA","2021-06-11","","42.26315789"
"LA FLORA","2021-06-10","","39.975"
"LA FLORA","2021-06-09","","49.3375"
"LA FLORA","2021-06-08","","27.575"
"LA FLORA","2021-06-07","","47.3375"
"LA FLORA","2021-06-06","","39.20833333"
"LA FLORA","2021-06-05","","36.975"
"LA FLORA","2021-06-04","","35.05416667"
"LA FLORA","2021-06-03","","26.56666667"
"LA FLORA","2021-06-02","","36.04583333"
"LA FLORA","2021-06-01","","29.35416667"
"LA FLORA","2021-05-31","","38.32083333"
"LA FLORA","2021-05-30","","22.475"
"LA FLORA","2021-05-29","","25.17916667"
"LA FLORA","2021-05-28","","27.67083333"
"LA FLORA","2021-05-27","","45.0875"
"LA FLORA","2021-05-26","","23.93333333"
"LA FLORA","2021-05-25","","37.40416667"
"LA FLORA","2021-05-24","","39.05416667"
"LA FLORA","2021-05-23","","30.29583333"
"LA FLORA","2021-05-22","","40.9625"
"LA FLORA","2021-05-21","","31.4125"
"LA FLORA","2021-05-20","","17.48333333"
"LA FLORA","2021-05-19","","19.5875"
"LA FLORA","2021-05-18","","22.675"
"LA FLORA","2021-05-17","","21.4875"
"LA FLORA","2021-05-16","","17.72727273"
"LA FLORA","2021-05-15","","25.65384615"
"LA FLORA","2021-05-14","","23.89444444"
"LA FLORA","2021-05-13","","24.34210526"
"LA FLORA","2021-05-12","","26.93684211"
"LA FLORA","2021-05-11","","17.6"
"LA FLORA","2021-05-10","","16.93076923"
"LA FLORA","2021-05-09","","14.89166667"
"LA FLORA","2021-05-08","","27.0"
"LA FLORA","2021-05-07","","21.23571429"
"LA FLORA","2021-05-06","","26.94545455"
"LA FLORA","2021-05-05","","36.87777778"
"LA FLORA","2021-05-04","","24.03636364"
"LA FLORA","2021-05-03","","40.77"
"LA FLORA","2021-05-02","","24.36666667"
"LA FLORA","2021-05-01","","30.14285714"
"LA FLORA","2021-04-29","","24.65714286"
"LA FLORA","2021-04-28","","29.98333333"
"LA FLORA","2021-04-27","","34.08"
"LA FLORA","2021-04-26","","28.67"
"LA FLORA","2021-04-25","","33.86666667"
"LA FLORA","2021-04-24","","28.975"
"LA FLORA","2021-04-23","","21.2"
"LA FLORA","2021-04-22","","41.15"
"LA FLORA","2021-04-21","","43.27"
"LA FLORA","2021-04-05","","48.1"
"LA FLORA","2021-04-04","","39.34347826"
"LA FLORA","2021-04-03","","21.7125"
"LA FLORA","2021-04-02","","23.825"
"LA FLORA","2021-04-01","","23.7125"
"LA FLORA","2021-03-31","","34.92916667"
"LA FLORA","2021-03-30","","38.14583333"
"LA FLORA","2021-03-29","","46.25416667"
"LA FLORA","2021-03-28","","39.8625"
"LA FLORA","2021-03-27","","40.3625"
"LA FLORA","2021-03-26","","38.54347826"
"LA FLORA","2021-03-25","","38.30416667"
"LA FLORA","2021-03-24","","31.64583333"
"LA FLORA","2021-03-23","","31.35833333"
"LA FLORA","2021-03-22","","12.77916667"
"LA FLORA","2021-03-21","","37.84166667"
"LA FLORA","2021-03-20","","27.97916667"
"LA FLORA","2021-03-19","","35.00833333"
"LA FLORA","2021-03-18","","26.35"
"LA FLORA","2021-03-17","","50.94583333"
"LA FLORA","2021-03-16","","46.60833333"
"LA FLORA","2021-03-15","","29.22916667"
"LA FLORA","2021-03-14","","34.61666667"
"LA FLORA","2021-03-13","","34.87916667"
