"Estacion","Fecha inicial","Fecha final","PM2.5"
"LA FLORA","2021-07-27","","13.79869565"
"LA FLORA","2021-07-26","","13.76333333"
"LA FLORA","2021-07-25","","9.07041667"
"LA FLORA","2021-07-24","","22.48416667"
"LA FLORA","2021-07-23","","20.60208333"
"LA FLORA","2021-07-22","","23.69958333"
"LA FLORA","2021-07-21","","17.32125"
"LA FLORA","2021-07-20","","15.31434783"
"LA FLORA","2021-07-19","","19.42958333"
"LA FLORA","2021-07-18","","19.55125"
"LA FLORA","2021-07-17","","19.51833333"
"LA FLORA","2021-07-16","","20.49166667"
"LA FLORA","2021-07-15","","22.07083333"
"LA FLORA","2021-07-14","","19.82958333"
"LA FLORA","2021-07-13","","19.66791667"
"LA FLORA","2021-07-12","","20.63416667"
"LA FLORA","2021-07-11","","12.04208333"
"LA FLORA","2021-07-10","","19.70333333"
"LA FLORA","2021-07-09","","22.36375"
"LA FLORA","2021-07-08","","21.57333333"
"LA FLORA","2021-07-07","","26.37"
"LA FLORA","2021-07-06","","25.39166667"
"LA FLORA","2021-07-05","","16.23875"
"LA FLORA","2021-07-04","","15.64541667"
"LA FLORA","2021-07-03","","22.12541667"
"LA FLORA","2021-07-02","","12.01521739"
"LA FLORA","2021-07-01","","17.13166667"
"LA FLORA","2021-06-30","","17.58958333"
"LA FLORA","2021-06-29","","22.57208333"
"LA FLORA","2021-06-28","","22.52166667"
"LA FLORA","2021-06-27","","14.27291667"
"LA FLORA","2021-06-26","","17.66208333"
"LA FLORA","2021-06-25","","21.43041667"
"LA FLORA","2021-06-24","","20.46541667"
"LA FLORA","2021-06-23","","20.05625"
"LA FLORA","2021-06-22","","19.97625"
"LA FLORA","2021-06-21","","13.74041667"
"LA FLORA","2021-06-20","","11.25333333"
"LA FLORA","2021-06-19","","13.68875"
"LA FLORA","2021-06-18","","13.96375"
"LA FLORA","2021-06-17","","21.23333333"
"LA FLORA","2021-06-16","","16.75083333"
"LA FLORA","2021-06-15","","9.31958333"
"LA FLORA","2021-06-14","","14.66458333"
"LA FLORA","2021-06-13","","13.86208333"
"LA FLORA","2021-06-12","","18.84875"
"LA FLORA","2021-06-11","","23.72291667"
"LA FLORA","2021-06-10","","19.49125"
"LA FLORA","2021-06-09","","13.88708333"
"LA FLORA","2021-06-08","","9.4225"
"LA FLORA","2021-06-07","","13.08"
"LA FLORA","2021-06-06","","14.69958333"
"LA FLORA","2021-06-05","","15.20958333"
"LA FLORA","2021-06-04","","11.64291667"
"LA FLORA","2021-06-03","","11.93583333"
"LA FLORA","2021-06-02","","16.18208333"
"LA FLORA","2021-06-01","","12.64041667"
"LA FLORA","2021-05-31","","10.50083333"
"LA FLORA","2021-05-30","","9.65791667"
"LA FLORA","2021-05-29","","9.89166667"
"LA FLORA","2021-05-28","","10.63708333"
"LA FLORA","2021-05-27","","10.7075"
"LA FLORA","2021-05-26","","9.90791667"
"LA FLORA","2021-05-25","","10.27833333"
"LA FLORA","2021-05-24","","10.685"
"LA FLORA","2021-05-23","","11.05416667"
"LA FLORA","2021-05-22","","12.84208333"
"LA FLORA","2021-05-21","","12.39583333"
"LA FLORA","2021-05-20","","11.03375"
"LA FLORA","2021-05-19","","15.60666667"
"LA FLORA","2021-05-18","","12.74333333"
"LA FLORA","2021-05-17","","10.27083333"
"LA FLORA","2021-05-16","","8.49375"
"LA FLORA","2021-05-15","","11.28166667"
"LA FLORA","2021-05-14","","9.86166667"
"LA FLORA","2021-05-13","","10.50791667"
"LA FLORA","2021-05-12","","8.97958333"
"LA FLORA","2021-05-11","","9.26583333"
"LA FLORA","2021-05-10","","8.65458333"
"LA FLORA","2021-05-09","","6.94416667"
"LA FLORA","2021-05-08","","7.15708333"
"LA FLORA","2021-05-07","","9.08291667"
"LA FLORA","2021-05-06","","12.80541667"
"LA FLORA","2021-05-05","","15.08625"
