"Estacion","Fecha inicial","Fecha final","PM10"
"LAS FERIAS","2021-02-28","","15.02222222"
"LAS FERIAS","2021-02-27","","27.73636364"
"LAS FERIAS","2021-02-26","","21.37826087"
"LAS FERIAS","2021-02-25","","14.50454545"
"LAS FERIAS","2021-02-24","","18.775"
"LAS FERIAS","2021-02-23","","19.83333333"
"LAS FERIAS","2021-02-22","","14.34090909"
"LAS FERIAS","2021-02-21","","23.8"
"LAS FERIAS","2021-02-20","","32.69130435"
"LAS FERIAS","2021-02-19","","25.05217391"
"LAS FERIAS","2021-02-18","","32.10434783"
"LAS FERIAS","2021-02-17","","40.03043478"
"LAS FERIAS","2021-02-16","","40.22916667"
"LAS FERIAS","2021-02-15","","25.47857143"
"LAS FERIAS","2021-02-14","","29.74545455"
"LAS FERIAS","2021-02-13","","19.82727273"
"LAS FERIAS","2021-02-12","","39.07391304"
"LAS FERIAS","2021-02-11","","30.60952381"
"LAS FERIAS","2021-02-10","","27.6"
"LAS FERIAS","2021-02-09","","36.415"
"LAS FERIAS","2021-02-08","","25.43"
"LAS FERIAS","2021-02-07","","21.36818182"
"LAS FERIAS","2021-02-06","","23.03809524"
"LAS FERIAS","2021-02-05","","15.63333333"
"LAS FERIAS","2021-02-04","","20.5875"
"LAS FERIAS","2021-02-03","","19.78"
"LAS FERIAS","2021-02-02","","15.62352941"
"LAS FERIAS","2021-02-01","","12.42857143"
"LAS FERIAS","2021-01-31","","12.92380952"
"LAS FERIAS","2021-01-30","","23.08823529"
"LAS FERIAS","2021-01-29","","42.65294118"
"LAS FERIAS","2021-01-28","","47.81"
"LAS FERIAS","2021-01-27","","20.77083333"
"LAS FERIAS","2021-01-26","","16.63333333"
"LAS FERIAS","2021-01-25","","9.45416667"
"LAS FERIAS","2021-01-24","","9.19583333"
"LAS FERIAS","2021-01-23","","11.1625"
"LAS FERIAS","2021-01-22","","26.0625"
"LAS FERIAS","2021-01-21","","39.99565217"
"LAS FERIAS","2021-01-20","","29.35"
"LAS FERIAS","2021-01-19","","41.3826087"
"LAS FERIAS","2021-01-18","","35.59130435"
"LAS FERIAS","2021-01-17","","24.11666667"
"LAS FERIAS","2021-01-16","","41.39166667"
"LAS FERIAS","2021-01-15","","46.93478261"
"LAS FERIAS","2021-01-14","","34.29583333"
"LAS FERIAS","2021-01-13","","21.95238095"
"LAS FERIAS","2021-01-09","","7.54666667"
"LAS FERIAS","2021-01-08","","19.76086957"
"LAS FERIAS","2021-01-07","","17.43"
"LAS FERIAS","2021-01-06","","21.75"
"LAS FERIAS","2021-01-05","","25.93"
"LAS FERIAS","2021-01-04","","16.3875"
"LAS FERIAS","2021-01-03","","7.79333333"
"LAS FERIAS","2021-01-02","","8.18181818"
"LAS FERIAS","2021-01-01","","14.79333333"
"LAS FERIAS","2020-12-31","","26.43333333"
"LAS FERIAS","2020-12-30","","39.06666667"
"LAS FERIAS","2020-12-29","","27.06666667"
"LAS FERIAS","2020-12-28","","24.47142857"
"LAS FERIAS","2020-12-27","","14.55652174"
"LAS FERIAS","2020-12-26","","16.86315789"
"LAS FERIAS","2020-12-25","","21.0125"
"LAS FERIAS","2020-12-24","","20.80666667"
"LAS FERIAS","2020-12-23","","35.83333333"
"LAS FERIAS","2020-12-22","","24.43333333"
"LAS FERIAS","2020-12-21","","25.9826087"
"LAS FERIAS","2020-12-20","","14.11818182"
"LAS FERIAS","2020-12-19","","21.83043478"
"LAS FERIAS","2020-12-18","","22.32916667"
"LAS FERIAS","2020-12-17","","12.70526316"
"LAS FERIAS","2020-12-16","","19.69583333"
"LAS FERIAS","2020-12-15","","32.36521739"
"LAS FERIAS","2020-12-14","","19.41666667"
"LAS FERIAS","2020-12-13","","17.74166667"
"LAS FERIAS","2020-12-12","","29.57083333"
"LAS FERIAS","2020-12-11","","40.68695652"
"LAS FERIAS","2020-12-10","","44.63333333"
"LAS FERIAS","2020-12-09","","30.53333333"
"LAS FERIAS","2020-12-08","","31.58333333"
"LAS FERIAS","2020-12-07","","29.0375"
"LAS FERIAS","2020-12-06","","12.575"
"LAS FERIAS","2020-12-05","","19.55416667"
"LAS FERIAS","2020-12-04","","29.47916667"
"LAS FERIAS","2020-12-03","","20.77916667"
"LAS FERIAS","2020-12-02","","10.62916667"
"LAS FERIAS","2020-12-01","","20.85833333"
"LAS FERIAS","2020-11-30","","18.88695652"
"LAS FERIAS","2020-11-29","","8.80833333"
"LAS FERIAS","2020-11-28","","18.6"
"LAS FERIAS","2020-11-27","","32.79583333"
"LAS FERIAS","2020-11-26","","52.29166667"
"LAS FERIAS","2020-11-25","","24.74583333"
"LAS FERIAS","2020-11-24","","42.80416667"
"LAS FERIAS","2020-11-23","","33.47083333"
"LAS FERIAS","2020-11-22","","33.15833333"
"LAS FERIAS","2020-11-21","","20.4625"
"LAS FERIAS","2020-11-20","","23.42608696"
"LAS FERIAS","2020-11-19","","24.65"
"LAS FERIAS","2020-11-18","","23.33043478"
"LAS FERIAS","2020-11-17","","20.1"
"LAS FERIAS","2020-11-16","","16.47391304"
"LAS FERIAS","2020-11-15","","25.86666667"
"LAS FERIAS","2020-11-14","","34.1826087"
"LAS FERIAS","2020-11-13","","19.405"
"LAS FERIAS","2020-11-12","","24.90909091"
"LAS FERIAS","2020-11-11","","14.33478261"
"LAS FERIAS","2020-11-10","","32.3125"
"LAS FERIAS","2020-11-09","","28.725"
"LAS FERIAS","2020-11-08","","24.125"
"LAS FERIAS","2020-11-07","","39.15"
"LAS FERIAS","2020-11-06","","50.45833333"
"LAS FERIAS","2020-11-05","","20.64545455"
"LAS FERIAS","2020-11-04","","36.4"
"LAS FERIAS","2020-11-03","","42.52608696"
"LAS FERIAS","2020-11-02","","19.98636364"
"LAS FERIAS","2020-11-01","","17.376"
"LAS FERIAS","2020-10-31","","26.04090909"
"LAS FERIAS","2020-10-30","","34.46666667"
"LAS FERIAS","2020-10-29","","31.14583333"
"LAS FERIAS","2020-10-28","","27.75416667"
"LAS FERIAS","2020-10-27","","33.65217391"
"LAS FERIAS","2020-10-26","","44.54782609"
"LAS FERIAS","2020-10-25","","27.07727273"
"LAS FERIAS","2020-10-24","","13.7625"
"LAS FERIAS","2020-10-23","","10.925"
"LAS FERIAS","2020-10-22","","9.40833333"
"LAS FERIAS","2020-10-21","","11.86956522"
"LAS FERIAS","2020-10-20","","31.49583333"
"LAS FERIAS","2020-10-19","","29.20434783"
"LAS FERIAS","2020-10-18","","11.24583333"
"LAS FERIAS","2020-10-17","","9.7625"
"LAS FERIAS","2020-10-16","","10.37083333"
"LAS FERIAS","2020-10-15","","16.12608696"
"LAS FERIAS","2020-10-14","","23.93043478"
"LAS FERIAS","2020-10-13","","14.74347826"
"LAS FERIAS","2020-10-12","","14.75217391"
"LAS FERIAS","2020-10-11","","9.6173913"
"LAS FERIAS","2020-10-10","","14.885"
"LAS FERIAS","2020-10-09","","8.91666667"
"LAS FERIAS","2020-10-08","","13.15416667"
"LAS FERIAS","2020-10-07","","20.99130435"
"LAS FERIAS","2020-10-06","","31.0625"
"LAS FERIAS","2020-10-05","","15.05"
"LAS FERIAS","2020-10-04","","9.94"
"LAS FERIAS","2020-10-03","","20.925"
"LAS FERIAS","2020-10-02","","28.84166667"
"LAS FERIAS","2020-10-01","","12.7"
"LAS FERIAS","2020-09-30","","11.825"
"LAS FERIAS","2020-09-29","","8.6875"
"LAS FERIAS","2020-09-28","","12.33913043"
"LAS FERIAS","2020-09-27","","14.94166667"
"LAS FERIAS","2020-09-26","","20.86315789"
"LAS FERIAS","2020-09-25","","7.8"
"LAS FERIAS","2020-09-24","","7.18095238"
"LAS FERIAS","2020-09-23","","13.39583333"
"LAS FERIAS","2020-09-22","","19.06956522"
