"Estacion","Fecha inicial","Fecha final","PM2.5"
"LAS FERIAS","2021-02-28","","9.24782609"
"LAS FERIAS","2021-02-27","","17.18695652"
"LAS FERIAS","2021-02-26","","13.34583333"
"LAS FERIAS","2021-02-25","","7.59166667"
"LAS FERIAS","2021-02-24","","10.825"
"LAS FERIAS","2021-02-23","","11.64583333"
"LAS FERIAS","2021-02-22","","9.26521739"
"LAS FERIAS","2021-02-21","","15.8875"
"LAS FERIAS","2021-02-20","","17.45833333"
"LAS FERIAS","2021-02-19","","16.36666667"
"LAS FERIAS","2021-02-18","","15.37916667"
"LAS FERIAS","2021-02-17","","21.59166667"
"LAS FERIAS","2021-02-16","","17.37826087"
"LAS FERIAS","2021-02-15","","18.55714286"
"LAS FERIAS","2021-02-14","","18.30833333"
"LAS FERIAS","2021-02-13","","14.41666667"
"LAS FERIAS","2021-02-12","","22.325"
"LAS FERIAS","2021-02-11","","19.15416667"
"LAS FERIAS","2021-02-10","","18.93333333"
"LAS FERIAS","2021-02-09","","25.20416667"
"LAS FERIAS","2021-02-08","","15.0375"
"LAS FERIAS","2021-02-07","","13.85909091"
"LAS FERIAS","2021-02-06","","14.29583333"
"LAS FERIAS","2021-02-05","","9.49583333"
"LAS FERIAS","2021-02-04","","13.02727273"
"LAS FERIAS","2021-02-03","","11.00434783"
"LAS FERIAS","2021-02-02","","9.44583333"
"LAS FERIAS","2021-02-01","","8.05"
"LAS FERIAS","2021-01-31","","8.86086957"
"LAS FERIAS","2021-01-30","","14.755"
"LAS FERIAS","2021-01-29","","20.67647059"
"LAS FERIAS","2021-01-28","","25.74761905"
"LAS FERIAS","2021-01-27","","13.25"
"LAS FERIAS","2021-01-26","","8.71428571"
"LAS FERIAS","2021-01-25","","5.65714286"
"LAS FERIAS","2021-01-22","","16.875"
"LAS FERIAS","2021-01-21","","20.7826087"
"LAS FERIAS","2021-01-20","","17.17391304"
"LAS FERIAS","2021-01-19","","23.41666667"
"LAS FERIAS","2021-01-18","","22.725"
"LAS FERIAS","2021-01-17","","16.29166667"
"LAS FERIAS","2021-01-16","","21.79166667"
"LAS FERIAS","2021-01-15","","27.30434783"
"LAS FERIAS","2021-01-14","","18.45833333"
"LAS FERIAS","2021-01-13","","13.30434783"
"LAS FERIAS","2021-01-12","","8.83333333"
"LAS FERIAS","2021-01-11","","6.125"
"LAS FERIAS","2021-01-10","","7.16666667"
"LAS FERIAS","2021-01-09","","7.72727273"
