"Estacion","Fecha inicial","Fecha final","PM10"
"MINAMBIENTE","2021-02-28","","16.27142857"
"MINAMBIENTE","2021-02-27","","23.13913043"
"MINAMBIENTE","2021-02-26","","20.56956522"
"MINAMBIENTE","2021-02-25","","10.99285714"
"MINAMBIENTE","2021-02-24","","21.51363636"
"MINAMBIENTE","2021-02-23","","16.66190476"
"MINAMBIENTE","2021-02-22","","17.21111111"
"MINAMBIENTE","2021-02-21","","25.28888889"
"MINAMBIENTE","2021-02-20","","31.43043478"
"MINAMBIENTE","2021-02-19","","28.27619048"
"MINAMBIENTE","2021-02-18","","29.28636364"
"MINAMBIENTE","2021-02-17","","33.80416667"
"MINAMBIENTE","2021-02-16","","31.73043478"
"MINAMBIENTE","2021-02-15","","17.22222222"
"MINAMBIENTE","2021-02-14","","26.69444444"
"MINAMBIENTE","2021-02-13","","17.26"
"MINAMBIENTE","2021-02-12","","39.43043478"
"MINAMBIENTE","2021-02-11","","28.17368421"
"MINAMBIENTE","2021-02-10","","29.06666667"
"MINAMBIENTE","2021-02-09","","29.33043478"
"MINAMBIENTE","2021-02-08","","27.05"
"MINAMBIENTE","2021-02-07","","15.32083333"
"MINAMBIENTE","2021-02-06","","19.015"
"MINAMBIENTE","2021-02-05","","14.03181818"
"MINAMBIENTE","2021-02-04","","18.51666667"
"MINAMBIENTE","2021-02-03","","12.25555556"
"MINAMBIENTE","2021-02-02","","12.67142857"
"MINAMBIENTE","2021-02-01","","12.14210526"
"MINAMBIENTE","2021-01-31","","12.34210526"
"MINAMBIENTE","2021-01-30","","20.52380952"
"MINAMBIENTE","2021-01-29","","38.90434783"
"MINAMBIENTE","2021-01-28","","37.01764706"
"MINAMBIENTE","2021-01-27","","11.79"
"MINAMBIENTE","2021-01-26","","16.47272727"
"MINAMBIENTE","2021-01-25","","9.44285714"
"MINAMBIENTE","2021-01-24","","4.975"
"MINAMBIENTE","2021-01-22","","23.11875"
"MINAMBIENTE","2021-01-21","","30.23529412"
"MINAMBIENTE","2021-01-20","","21.09090909"
"MINAMBIENTE","2021-01-19","","25.03181818"
"MINAMBIENTE","2021-01-18","","22.62380952"
"MINAMBIENTE","2021-01-17","","17.21538462"
"MINAMBIENTE","2021-01-16","","27.93478261"
"MINAMBIENTE","2021-01-15","","40.91363636"
"MINAMBIENTE","2021-01-14","","33.55909091"
"MINAMBIENTE","2021-01-13","","17.335"
"MINAMBIENTE","2021-01-12","","7.00833333"
"MINAMBIENTE","2021-01-11","","4.925"
"MINAMBIENTE","2021-01-10","","5.4"
"MINAMBIENTE","2021-01-09","","4.61818182"
"MINAMBIENTE","2021-01-08","","19.14"
"MINAMBIENTE","2021-01-07","","14.37142857"
"MINAMBIENTE","2021-01-06","","19.93333333"
"MINAMBIENTE","2021-01-05","","23.805"
"MINAMBIENTE","2021-01-04","","17.0"
"MINAMBIENTE","2021-01-03","","11.45238095"
"MINAMBIENTE","2021-01-02","","11.50909091"
"MINAMBIENTE","2021-01-01","","12.64761905"
"MINAMBIENTE","2020-12-31","","34.63043478"
"MINAMBIENTE","2020-12-30","","35.35"
"MINAMBIENTE","2020-12-29","","26.09090909"
"MINAMBIENTE","2020-12-28","","22.0125"
"MINAMBIENTE","2020-12-27","","16.20952381"
"MINAMBIENTE","2020-12-26","","17.37"
"MINAMBIENTE","2020-12-25","","16.83333333"
"MINAMBIENTE","2020-12-24","","15.57272727"
"MINAMBIENTE","2020-12-23","","31.94090909"
"MINAMBIENTE","2020-12-22","","21.72105263"
"MINAMBIENTE","2020-12-21","","26.17727273"
"MINAMBIENTE","2020-12-20","","8.94285714"
"MINAMBIENTE","2020-12-19","","20.04090909"
"MINAMBIENTE","2020-12-18","","22.36666667"
"MINAMBIENTE","2020-12-17","","11.87692308"
"MINAMBIENTE","2020-12-16","","11.59444444"
"MINAMBIENTE","2020-12-15","","21.20952381"
"MINAMBIENTE","2020-12-14","","18.57083333"
"MINAMBIENTE","2020-12-13","","16.53809524"
"MINAMBIENTE","2020-12-12","","20.2"
"MINAMBIENTE","2020-12-11","","27.70909091"
"MINAMBIENTE","2020-12-10","","48.8"
"MINAMBIENTE","2020-12-09","","27.4"
"MINAMBIENTE","2020-12-08","","25.02857143"
"MINAMBIENTE","2020-12-07","","26.25909091"
"MINAMBIENTE","2020-12-06","","14.0"
"MINAMBIENTE","2020-12-05","","13.80952381"
"MINAMBIENTE","2020-12-04","","17.62380952"
"MINAMBIENTE","2020-12-03","","19.20909091"
"MINAMBIENTE","2020-12-02","","7.85"
"MINAMBIENTE","2020-12-01","","27.38181818"
"MINAMBIENTE","2020-11-30","","8.45555556"
"MINAMBIENTE","2020-11-29","","9.84583333"
"MINAMBIENTE","2020-11-28","","20.365"
"MINAMBIENTE","2020-11-27","","30.75416667"
"MINAMBIENTE","2020-11-26","","32.42222222"
"MINAMBIENTE","2020-11-25","","13.65555556"
"MINAMBIENTE","2020-11-24","","28.5"
"MINAMBIENTE","2020-11-23","","27.2047619"
"MINAMBIENTE","2020-11-22","","23.9625"
"MINAMBIENTE","2020-11-21","","17.59090909"
"MINAMBIENTE","2020-11-20","","22.09411765"
"MINAMBIENTE","2020-11-19","","19.30869565"
"MINAMBIENTE","2020-11-18","","25.27619048"
"MINAMBIENTE","2020-11-17","","25.16818182"
"MINAMBIENTE","2020-11-16","","14.6375"
"MINAMBIENTE","2020-11-15","","16.2047619"
"MINAMBIENTE","2020-11-14","","33.31304348"
"MINAMBIENTE","2020-11-13","","20.53684211"
"MINAMBIENTE","2020-11-12","","25.25"
"MINAMBIENTE","2020-11-11","","15.01904762"
"MINAMBIENTE","2020-11-10","","35.26521739"
"MINAMBIENTE","2020-11-09","","30.08"
"MINAMBIENTE","2020-11-08","","26.37826087"
"MINAMBIENTE","2020-11-07","","34.36086957"
"MINAMBIENTE","2020-11-06","","44.48636364"
"MINAMBIENTE","2020-11-05","","23.93333333"
"MINAMBIENTE","2020-11-04","","33.8125"
"MINAMBIENTE","2020-11-03","","35.31818182"
"MINAMBIENTE","2020-11-02","","20.4047619"
"MINAMBIENTE","2020-11-01","","18.252"
"MINAMBIENTE","2020-10-31","","32.72608696"
"MINAMBIENTE","2020-10-30","","28.25416667"
"MINAMBIENTE","2020-10-29","","26.59166667"
"MINAMBIENTE","2020-10-28","","16.82916667"
"MINAMBIENTE","2020-10-27","","38.19"
"MINAMBIENTE","2020-10-26","","33.865"
"MINAMBIENTE","2020-10-25","","26.04583333"
"MINAMBIENTE","2020-10-24","","8.895"
"MINAMBIENTE","2020-10-23","","7.63333333"
"MINAMBIENTE","2020-10-22","","7.53571429"
"MINAMBIENTE","2020-10-21","","11.84545455"
"MINAMBIENTE","2020-10-20","","22.92857143"
"MINAMBIENTE","2020-10-19","","27.87916667"
"MINAMBIENTE","2020-10-18","","9.09230769"
"MINAMBIENTE","2020-10-17","","8.02727273"
"MINAMBIENTE","2020-10-16","","7.1"
"MINAMBIENTE","2020-10-15","","13.92380952"
"MINAMBIENTE","2020-10-14","","19.1375"
"MINAMBIENTE","2020-10-13","","9.53"
"MINAMBIENTE","2020-10-12","","9.16470588"
"MINAMBIENTE","2020-10-11","","7.62777778"
"MINAMBIENTE","2020-10-10","","9.86666667"
"MINAMBIENTE","2020-10-09","","6.01666667"
"MINAMBIENTE","2020-10-08","","5.42222222"
"MINAMBIENTE","2020-10-07","","13.46"
"MINAMBIENTE","2020-10-06","","28.0375"
"MINAMBIENTE","2020-10-05","","10.66470588"
"MINAMBIENTE","2020-10-04","","9.45416667"
"MINAMBIENTE","2020-10-03","","15.49166667"
"MINAMBIENTE","2020-10-02","","16.50833333"
"MINAMBIENTE","2020-10-01","","8.90909091"
"MINAMBIENTE","2020-09-30","","11.14545455"
"MINAMBIENTE","2020-09-29","","10.02380952"
"MINAMBIENTE","2020-09-28","","9.35"
"MINAMBIENTE","2020-09-27","","14.39166667"
"MINAMBIENTE","2020-09-26","","25.46190476"
"MINAMBIENTE","2020-09-25","","9.22631579"
"MINAMBIENTE","2020-09-24","","9.12380952"
"MINAMBIENTE","2020-09-23","","12.64583333"
"MINAMBIENTE","2020-09-22","","11.15"
"MINAMBIENTE","2020-09-21","","6.96666667"
"MINAMBIENTE","2020-09-20","","7.69090909"
"MINAMBIENTE","2020-09-19","","25.70416667"
"MINAMBIENTE","2020-09-18","","32.49583333"
"MINAMBIENTE","2020-09-17","","40.90833333"
"MINAMBIENTE","2020-09-16","","31.18333333"
"MINAMBIENTE","2020-09-15","","15.46363636"
"MINAMBIENTE","2020-09-14","","10.46666667"
"MINAMBIENTE","2020-09-13","","5.48823529"
"MINAMBIENTE","2020-09-12","","14.6"
"MINAMBIENTE","2020-09-11","","25.80869565"
"MINAMBIENTE","2020-09-10","","18.1625"
"MINAMBIENTE","2020-09-09","","19.82083333"
"MINAMBIENTE","2020-09-08","","16.21363636"
"MINAMBIENTE","2020-09-07","","20.69565217"
"MINAMBIENTE","2020-09-06","","8.16956522"
