"Estacion","Fecha inicial","Fecha final","PM2.5"
"MINAMBIENTE","2021-02-28","","11.69565217"
"MINAMBIENTE","2021-02-27","","18.04166667"
"MINAMBIENTE","2021-02-26","","15.83333333"
"MINAMBIENTE","2021-02-25","","8.75"
"MINAMBIENTE","2021-02-24","","14.60434783"
"MINAMBIENTE","2021-02-23","","13.125"
"MINAMBIENTE","2021-02-22","","10.91666667"
"MINAMBIENTE","2021-02-21","","20.16666667"
"MINAMBIENTE","2021-02-20","","21.66666667"
"MINAMBIENTE","2021-02-19","","21.41666667"
"MINAMBIENTE","2021-02-18","","19.66666667"
"MINAMBIENTE","2021-02-17","","22.29166667"
"MINAMBIENTE","2021-02-16","","21.66666667"
"MINAMBIENTE","2021-02-15","","16.36363636"
"MINAMBIENTE","2021-02-14","","18.95833333"
"MINAMBIENTE","2021-02-13","","13.20833333"
"MINAMBIENTE","2021-02-12","","27.08333333"
"MINAMBIENTE","2021-02-11","","19.91666667"
"MINAMBIENTE","2021-02-10","","19.0"
"MINAMBIENTE","2021-02-09","","21.75"
"MINAMBIENTE","2021-02-08","","14.86956522"
"MINAMBIENTE","2021-02-07","","11.04166667"
"MINAMBIENTE","2021-02-06","","13.04166667"
"MINAMBIENTE","2021-02-05","","9.65217391"
"MINAMBIENTE","2021-02-04","","9.09090909"
"MINAMBIENTE","2021-02-03","","7.81818182"
"MINAMBIENTE","2021-02-02","","8.82608696"
"MINAMBIENTE","2021-02-01","","7.42916667"
"MINAMBIENTE","2021-01-31","","7.13043478"
"MINAMBIENTE","2021-01-30","","10.83333333"
"MINAMBIENTE","2021-01-29","","25.75"
"MINAMBIENTE","2021-01-28","","25.34782609"
"MINAMBIENTE","2021-01-27","","9.66666667"
"MINAMBIENTE","2021-01-26","","12.41666667"
"MINAMBIENTE","2021-01-25","","8.83333333"
"MINAMBIENTE","2021-01-24","","6.91666667"
"MINAMBIENTE","2021-01-23","","7.125"
"MINAMBIENTE","2021-01-22","","13.66666667"
"MINAMBIENTE","2021-01-21","","18.25"
"MINAMBIENTE","2021-01-20","","12.09090909"
"MINAMBIENTE","2021-01-19","","14.375"
"MINAMBIENTE","2021-01-18","","14.5"
"MINAMBIENTE","2021-01-17","","12.66666667"
