"Estacion","Fecha inicial","Fecha final","PM10"
"MÓVIL 7MA","2021-02-28","","32.32173913"
"MÓVIL 7MA","2021-02-27","","47.37083333"
"MÓVIL 7MA","2021-02-26","","43.71666667"
"MÓVIL 7MA","2021-02-25","","32.87826087"
"MÓVIL 7MA","2021-02-24","","41.50416667"
"MÓVIL 7MA","2021-02-23","","37.95833333"
"MÓVIL 7MA","2021-02-22","","33.25833333"
"MÓVIL 7MA","2021-02-21","","41.8875"
"MÓVIL 7MA","2021-02-20","","51.33333333"
"MÓVIL 7MA","2021-02-19","","50.10833333"
"MÓVIL 7MA","2021-02-18","","54.0625"
"MÓVIL 7MA","2021-02-17","","64.94166667"
"MÓVIL 7MA","2021-02-16","","58.98333333"
"MÓVIL 7MA","2021-02-15","","53.44782609"
"MÓVIL 7MA","2021-02-14","","48.75416667"
"MÓVIL 7MA","2021-02-13","","41.9375"
"MÓVIL 7MA","2021-02-12","","69.025"
"MÓVIL 7MA","2021-02-11","","52.62916667"
"MÓVIL 7MA","2021-02-10","","50.27083333"
"MÓVIL 7MA","2021-02-09","","62.79583333"
"MÓVIL 7MA","2021-02-08","","48.13043478"
"MÓVIL 7MA","2021-02-07","","33.67916667"
"MÓVIL 7MA","2021-02-06","","39.35416667"
"MÓVIL 7MA","2021-02-05","","31.525"
"MÓVIL 7MA","2021-02-04","","41.44583333"
"MÓVIL 7MA","2021-02-03","","31.6625"
"MÓVIL 7MA","2021-02-02","","30.20434783"
"MÓVIL 7MA","2021-02-01","","23.83"
"MÓVIL 7MA","2021-01-31","","16.7"
"MÓVIL 7MA","2021-01-28","","71.65333333"
"MÓVIL 7MA","2021-01-27","","39.96956522"
"MÓVIL 7MA","2021-01-26","","34.4"
"MÓVIL 7MA","2021-01-25","","28.275"
"MÓVIL 7MA","2021-01-24","","19.62083333"
"MÓVIL 7MA","2021-01-23","","23.88333333"
"MÓVIL 7MA","2021-01-22","","47.12916667"
"MÓVIL 7MA","2021-01-21","","63.025"
"MÓVIL 7MA","2021-01-20","","47.4125"
"MÓVIL 7MA","2021-01-19","","59.66086957"
"MÓVIL 7MA","2021-01-18","","53.85"
"MÓVIL 7MA","2021-01-17","","35.48333333"
"MÓVIL 7MA","2021-01-16","","54.2875"
"MÓVIL 7MA","2021-01-15","","77.98888889"
"MÓVIL 7MA","2021-01-13","","40.31111111"
"MÓVIL 7MA","2021-01-12","","24.12916667"
"MÓVIL 7MA","2021-01-11","","14.47083333"
"MÓVIL 7MA","2021-01-10","","19.3625"
"MÓVIL 7MA","2021-01-09","","15.63478261"
"MÓVIL 7MA","2021-01-08","","30.775"
"MÓVIL 7MA","2021-01-07","","33.5625"
"MÓVIL 7MA","2021-01-06","","46.32916667"
"MÓVIL 7MA","2021-01-05","","43.425"
"MÓVIL 7MA","2021-01-04","","33.77391304"
"MÓVIL 7MA","2021-01-03","","21.21666667"
"MÓVIL 7MA","2021-01-02","","24.86521739"
"MÓVIL 7MA","2021-01-01","","27.49130435"
"MÓVIL 7MA","2020-12-31","","56.99565217"
"MÓVIL 7MA","2020-12-30","","63.27083333"
"MÓVIL 7MA","2020-12-29","","50.38695652"
"MÓVIL 7MA","2020-12-28","","39.97391304"
"MÓVIL 7MA","2020-12-27","","29.24782609"
"MÓVIL 7MA","2020-12-26","","35.40833333"
"MÓVIL 7MA","2020-12-25","","28.26521739"
"MÓVIL 7MA","2020-12-24","","38.7875"
"MÓVIL 7MA","2020-12-23","","57.9375"
"MÓVIL 7MA","2020-12-22","","46.20434783"
"MÓVIL 7MA","2020-12-21","","56.69230769"
"MÓVIL 7MA","2020-12-20","","23.0375"
"MÓVIL 7MA","2020-12-19","","36.64583333"
"MÓVIL 7MA","2020-12-18","","43.88333333"
"MÓVIL 7MA","2020-12-17","","34.75"
"MÓVIL 7MA","2020-12-16","","36.21304348"
"MÓVIL 7MA","2020-12-15","","51.37272727"
"MÓVIL 7MA","2020-12-14","","47.45833333"
"MÓVIL 7MA","2020-12-13","","31.44166667"
"MÓVIL 7MA","2020-12-12","","51.8826087"
"MÓVIL 7MA","2020-12-11","","57.85"
"MÓVIL 7MA","2020-12-10","","83.725"
"MÓVIL 7MA","2020-12-09","","51.82608696"
"MÓVIL 7MA","2020-12-08","","50.97083333"
"MÓVIL 7MA","2020-12-07","","49.94583333"
"MÓVIL 7MA","2020-12-06","","25.44583333"
"MÓVIL 7MA","2020-12-05","","37.47083333"
"MÓVIL 7MA","2020-12-04","","48.46666667"
"MÓVIL 7MA","2020-12-03","","46.84583333"
"MÓVIL 7MA","2020-12-02","","30.84583333"
"MÓVIL 7MA","2020-12-01","","46.725"
"MÓVIL 7MA","2020-11-30","","34.35652174"
"MÓVIL 7MA","2020-11-29","","20.00416667"
"MÓVIL 7MA","2020-11-28","","40.6173913"
"MÓVIL 7MA","2020-11-27","","62.03333333"
"MÓVIL 7MA","2020-11-26","","69.9875"
"MÓVIL 7MA","2020-11-25","","56.9625"
"MÓVIL 7MA","2020-11-24","","54.84782609"
"MÓVIL 7MA","2020-11-23","","67.09583333"
"MÓVIL 7MA","2020-11-22","","51.5375"
"MÓVIL 7MA","2020-11-21","","46.01666667"
"MÓVIL 7MA","2020-11-20","","39.92608696"
"MÓVIL 7MA","2020-11-19","","47.60833333"
"MÓVIL 7MA","2020-11-18","","47.65416667"
"MÓVIL 7MA","2020-11-17","","44.54"
"MÓVIL 7MA","2020-11-16","","27.8"
"MÓVIL 7MA","2020-11-15","","36.15652174"
"MÓVIL 7MA","2020-11-14","","60.59583333"
"MÓVIL 7MA","2020-11-13","","47.49583333"
"MÓVIL 7MA","2020-11-12","","54.93333333"
"MÓVIL 7MA","2020-11-11","","42.97916667"
"MÓVIL 7MA","2020-11-10","","53.96666667"
"MÓVIL 7MA","2020-11-09","","55.0"
"MÓVIL 7MA","2020-11-08","","48.00833333"
"MÓVIL 7MA","2020-11-07","","58.56666667"
"MÓVIL 7MA","2020-11-06","","75.31666667"
"MÓVIL 7MA","2020-11-05","","56.8826087"
"MÓVIL 7MA","2020-11-04","","57.89565217"
"MÓVIL 7MA","2020-11-03","","62.61666667"
"MÓVIL 7MA","2020-11-02","","36.5375"
"MÓVIL 7MA","2020-11-01","","30.712"
"MÓVIL 7MA","2020-10-31","","50.39565217"
"MÓVIL 7MA","2020-10-30","","62.675"
"MÓVIL 7MA","2020-10-29","","53.65833333"
"MÓVIL 7MA","2020-10-28","","45.74583333"
"MÓVIL 7MA","2020-10-27","","61.45"
"MÓVIL 7MA","2020-10-26","","70.2375"
"MÓVIL 7MA","2020-10-25","","52.175"
"MÓVIL 7MA","2020-10-24","","38.58333333"
