"Estacion","Fecha inicial","Fecha final","PM2.5"
"MÓVIL 7MA","2021-02-28","","16.13043478"
"MÓVIL 7MA","2021-02-27","","25.29166667"
"MÓVIL 7MA","2021-02-26","","23.16666667"
"MÓVIL 7MA","2021-02-25","","16.20833333"
"MÓVIL 7MA","2021-02-24","","19.79166667"
"MÓVIL 7MA","2021-02-23","","19.66666667"
"MÓVIL 7MA","2021-02-22","","16.5"
"MÓVIL 7MA","2021-02-21","","24.08333333"
"MÓVIL 7MA","2021-02-20","","25.54166667"
"MÓVIL 7MA","2021-02-19","","24.66666667"
"MÓVIL 7MA","2021-02-18","","23.75"
"MÓVIL 7MA","2021-02-17","","33.0"
"MÓVIL 7MA","2021-02-16","","30.20833333"
"MÓVIL 7MA","2021-02-15","","26.26086957"
"MÓVIL 7MA","2021-02-14","","25.70833333"
"MÓVIL 7MA","2021-02-13","","22.08333333"
"MÓVIL 7MA","2021-02-12","","36.33333333"
"MÓVIL 7MA","2021-02-11","","26.375"
"MÓVIL 7MA","2021-02-10","","25.79166667"
"MÓVIL 7MA","2021-02-09","","33.20833333"
"MÓVIL 7MA","2021-02-08","","23.04545455"
"MÓVIL 7MA","2021-02-07","","15.33333333"
"MÓVIL 7MA","2021-02-06","","20.16666667"
"MÓVIL 7MA","2021-02-05","","15.41666667"
"MÓVIL 7MA","2021-02-04","","18.83333333"
"MÓVIL 7MA","2021-02-03","","14.16666667"
"MÓVIL 7MA","2021-02-02","","13.52173913"
"MÓVIL 7MA","2021-02-01","","11.0"
"MÓVIL 7MA","2021-01-31","","7.0"
"MÓVIL 7MA","2021-01-28","","38.2"
"MÓVIL 7MA","2021-01-27","","18.125"
"MÓVIL 7MA","2021-01-26","","15.91304348"
"MÓVIL 7MA","2021-01-25","","14.25"
"MÓVIL 7MA","2021-01-24","","9.58333333"
"MÓVIL 7MA","2021-01-23","","10.5"
"MÓVIL 7MA","2021-01-22","","22.66666667"
"MÓVIL 7MA","2021-01-21","","29.29166667"
"MÓVIL 7MA","2021-01-20","","21.58333333"
"MÓVIL 7MA","2021-01-19","","25.26086957"
"MÓVIL 7MA","2021-01-18","","22.33333333"
"MÓVIL 7MA","2021-01-17","","18.16666667"
"MÓVIL 7MA","2021-01-16","","27.08333333"
"MÓVIL 7MA","2021-01-15","","34.95652174"
"MÓVIL 7MA","2021-01-14","","28.91666667"
"MÓVIL 7MA","2021-01-13","","17.43478261"
"MÓVIL 7MA","2021-01-12","","10.25"
"MÓVIL 7MA","2021-01-11","","6.20833333"
"MÓVIL 7MA","2021-01-10","","6.45833333"
"MÓVIL 7MA","2021-01-09","","8.66666667"
"MÓVIL 7MA","2021-01-08","","15.25"
"MÓVIL 7MA","2021-01-07","","15.5"
"MÓVIL 7MA","2021-01-06","","22.54166667"
"MÓVIL 7MA","2021-01-05","","22.58333333"
"MÓVIL 7MA","2021-01-04","","14.7826087"
"MÓVIL 7MA","2021-01-03","","9.95833333"
"MÓVIL 7MA","2021-01-02","","13.0"
"MÓVIL 7MA","2021-01-01","","17.70833333"
"MÓVIL 7MA","2020-12-31","","34.7826087"
"MÓVIL 7MA","2020-12-30","","34.41666667"
"MÓVIL 7MA","2020-12-29","","26.25"
"MÓVIL 7MA","2020-12-28","","22.65217391"
"MÓVIL 7MA","2020-12-27","","17.0952381"
"MÓVIL 7MA","2020-12-26","","19.49090909"
"MÓVIL 7MA","2020-12-25","","19.34782609"
"MÓVIL 7MA","2020-12-24","","22.75"
"MÓVIL 7MA","2020-12-23","","29.66666667"
"MÓVIL 7MA","2020-12-22","","21.73913043"
"MÓVIL 7MA","2020-12-21","","30.92307692"
"MÓVIL 7MA","2020-12-20","","13.625"
"MÓVIL 7MA","2020-12-19","","22.0"
"MÓVIL 7MA","2020-12-18","","25.25"
"MÓVIL 7MA","2020-12-17","","20.73913043"
"MÓVIL 7MA","2020-12-16","","19.29166667"
"MÓVIL 7MA","2020-12-15","","29.73913043"
"MÓVIL 7MA","2020-12-14","","25.375"
"MÓVIL 7MA","2020-12-13","","19.20833333"
"MÓVIL 7MA","2020-12-12","","32.375"
"MÓVIL 7MA","2020-12-11","","32.375"
"MÓVIL 7MA","2020-12-10","","47.0"
"MÓVIL 7MA","2020-12-09","","25.65217391"
"MÓVIL 7MA","2020-12-08","","31.125"
"MÓVIL 7MA","2020-12-07","","24.0"
"MÓVIL 7MA","2020-12-06","","11.45833333"
"MÓVIL 7MA","2020-12-05","","15.375"
"MÓVIL 7MA","2020-12-04","","21.58333333"
"MÓVIL 7MA","2020-12-03","","22.5"
"MÓVIL 7MA","2020-12-02","","12.16666667"
"MÓVIL 7MA","2020-12-01","","22.75"
"MÓVIL 7MA","2020-11-30","","16.08695652"
"MÓVIL 7MA","2020-11-29","","6.41666667"
"MÓVIL 7MA","2020-11-28","","24.75"
"MÓVIL 7MA","2020-11-27","","35.43478261"
"MÓVIL 7MA","2020-11-26","","31.375"
"MÓVIL 7MA","2020-11-25","","26.91666667"
"MÓVIL 7MA","2020-11-24","","29.47826087"
"MÓVIL 7MA","2020-11-23","","31.625"
"MÓVIL 7MA","2020-11-22","","23.70833333"
"MÓVIL 7MA","2020-11-21","","19.04166667"
"MÓVIL 7MA","2020-11-20","","19.39130435"
"MÓVIL 7MA","2020-11-19","","25.79166667"
"MÓVIL 7MA","2020-11-18","","24.83333333"
"MÓVIL 7MA","2020-11-17","","23.28"
"MÓVIL 7MA","2020-11-16","","16.04166667"
"MÓVIL 7MA","2020-11-15","","24.17391304"
"MÓVIL 7MA","2020-11-14","","34.25"
"MÓVIL 7MA","2020-11-13","","26.04166667"
"MÓVIL 7MA","2020-11-12","","34.125"
"MÓVIL 7MA","2020-11-11","","24.20833333"
"MÓVIL 7MA","2020-11-10","","31.41666667"
"MÓVIL 7MA","2020-11-09","","30.45833333"
"MÓVIL 7MA","2020-11-08","","22.95833333"
"MÓVIL 7MA","2020-11-07","","28.375"
"MÓVIL 7MA","2020-11-06","","39.83333333"
"MÓVIL 7MA","2020-11-05","","27.7826087"
"MÓVIL 7MA","2020-11-04","","29.7826087"
"MÓVIL 7MA","2020-11-03","","31.70833333"
"MÓVIL 7MA","2020-11-02","","19.47826087"
"MÓVIL 7MA","2020-11-01","","15.8"
"MÓVIL 7MA","2020-10-31","","26.17391304"
"MÓVIL 7MA","2020-10-30","","28.79166667"
"MÓVIL 7MA","2020-10-29","","25.58333333"
"MÓVIL 7MA","2020-10-28","","20.75"
"MÓVIL 7MA","2020-10-27","","32.25"
"MÓVIL 7MA","2020-10-26","","36.95833333"
"MÓVIL 7MA","2020-10-25","","27.20833333"
"MÓVIL 7MA","2020-10-24","","18.66666667"
"MÓVIL 7MA","2020-10-23","","12.25"
"MÓVIL 7MA","2020-10-22","","11.95833333"
"MÓVIL 7MA","2020-10-21","","17.0"
"MÓVIL 7MA","2020-10-20","","24.66666667"
"MÓVIL 7MA","2020-10-19","","22.41666667"
"MÓVIL 7MA","2020-10-18","","10.29166667"
"MÓVIL 7MA","2020-10-17","","13.0"
"MÓVIL 7MA","2020-10-16","","12.60869565"
"MÓVIL 7MA","2020-10-15","","17.39130435"
"MÓVIL 7MA","2020-10-14","","20.125"
"MÓVIL 7MA","2020-10-13","","10.20833333"
"MÓVIL 7MA","2020-10-12","","7.58333333"
"MÓVIL 7MA","2020-10-11","","10.79166667"
"MÓVIL 7MA","2020-10-10","","11.33333333"
"MÓVIL 7MA","2020-10-09","","10.5"
"MÓVIL 7MA","2020-10-08","","11.20833333"
"MÓVIL 7MA","2020-10-07","","14.54166667"
"MÓVIL 7MA","2020-10-06","","22.5"
"MÓVIL 7MA","2020-10-05","","15.0"
"MÓVIL 7MA","2020-10-04","","8.20833333"
