"Estacion","Fecha inicial","Fecha final","PM10"
"PANCE","2021-07-27","","20.26086957"
"PANCE","2021-07-26","","27.58333333"
"PANCE","2021-07-25","","17.54166667"
"PANCE","2021-07-24","","39.83333333"
"PANCE","2021-07-23","","39.04166667"
"PANCE","2021-07-22","","47.66666667"
"PANCE","2021-07-21","","49.08333333"
"PANCE","2021-07-20","","34.79166667"
"PANCE","2021-07-19","","41.21052632"
"PANCE","2021-07-18","","39.33333333"
"PANCE","2021-07-17","","34.58333333"
"PANCE","2021-07-16","","42.45833333"
"PANCE","2021-07-15","","38.91666667"
"PANCE","2021-07-14","","43.76190476"
"PANCE","2021-07-13","","29.125"
"PANCE","2021-07-12","","29.45833333"
"PANCE","2021-07-11","","31.41666667"
"PANCE","2021-07-10","","28.125"
"PANCE","2021-07-09","","42.41666667"
"PANCE","2021-07-08","","59.45833333"
"PANCE","2021-07-07","","48.79166667"
"PANCE","2021-07-06","","45.33333333"
"PANCE","2021-07-05","","50.70833333"
"PANCE","2021-07-04","","43.91666667"
"PANCE","2021-07-03","","41.45833333"
"PANCE","2021-07-02","","33.54166667"
"PANCE","2021-07-01","","24.25"
"PANCE","2021-06-30","","33.33333333"
"PANCE","2021-06-29","","30.95833333"
"PANCE","2021-06-28","","42.41666667"
"PANCE","2021-06-27","","25.70833333"
"PANCE","2021-06-26","","30.625"
"PANCE","2021-06-25","","25.91666667"
"PANCE","2021-06-24","","28.71428571"
"PANCE","2021-06-23","","33.08333333"
"PANCE","2021-06-22","","40.16666667"
"PANCE","2021-06-21","","37.16666667"
"PANCE","2021-06-20","","22.33333333"
"PANCE","2021-06-19","","37.66666667"
"PANCE","2021-06-18","","44.29166667"
"PANCE","2021-06-17","","33.91666667"
"PANCE","2021-06-16","","26.70833333"
"PANCE","2021-06-15","","13.58333333"
"PANCE","2021-06-14","","28.45833333"
"PANCE","2021-06-13","","18.625"
"PANCE","2021-06-12","","31.8"
"PANCE","2021-06-08","","18.0"
"PANCE","2021-06-07","","17.91666667"
"PANCE","2021-06-06","","31.16666667"
"PANCE","2021-06-05","","29.625"
"PANCE","2021-06-04","","15.75"
"PANCE","2021-06-03","","21.04166667"
"PANCE","2021-06-02","","31.125"
"PANCE","2021-06-01","","23.875"
"PANCE","2021-05-31","","20.33333333"
"PANCE","2021-05-30","","18.83333333"
"PANCE","2021-05-29","","17.75"
"PANCE","2021-05-28","","19.45833333"
"PANCE","2021-05-27","","21.20833333"
"PANCE","2021-05-26","","19.20833333"
"PANCE","2021-05-25","","26.33333333"
"PANCE","2021-05-24","","21.16666667"
"PANCE","2021-05-23","","17.125"
"PANCE","2021-05-22","","20.95833333"
"PANCE","2021-05-21","","24.75"
"PANCE","2021-05-20","","21.875"
"PANCE","2021-05-19","","21.125"
"PANCE","2021-05-18","","11.875"
"PANCE","2021-05-17","","11.16666667"
"PANCE","2021-05-16","","9.45833333"
"PANCE","2021-05-15","","19.625"
"PANCE","2021-05-14","","16.0"
"PANCE","2021-05-13","","20.83333333"
"PANCE","2021-05-12","","17.25"
"PANCE","2021-05-11","","18.54166667"
"PANCE","2021-05-10","","16.75"
"PANCE","2021-05-09","","14.25"
"PANCE","2021-05-08","","10.91666667"
"PANCE","2021-05-07","","18.95833333"
"PANCE","2021-05-06","","20.375"
"PANCE","2021-05-05","","19.375"
"PANCE","2021-05-04","","18.54166667"
"PANCE","2021-05-03","","10.75"
"PANCE","2021-05-02","","9.75"
"PANCE","2021-05-01","","13.95833333"
"PANCE","2021-04-30","","15.33333333"
"PANCE","2021-04-29","","14.125"
"PANCE","2021-04-28","","13.83333333"
"PANCE","2021-04-27","","24.125"
"PANCE","2021-04-26","","23.30434783"
"PANCE","2021-04-25","","26.375"
"PANCE","2021-04-24","","24.91666667"
"PANCE","2021-04-23","","23.91304348"
"PANCE","2021-04-22","","34.41666667"
"PANCE","2021-04-21","","21.375"
"PANCE","2021-04-20","","20.60869565"
"PANCE","2021-04-19","","13.41666667"
"PANCE","2021-04-18","","24.29411765"
"PANCE","2021-04-17","","30.25"
"PANCE","2021-04-16","","15.18181818"
"PANCE","2021-04-06","","13.0"
"PANCE","2021-04-05","","24.4"
"PANCE","2021-04-04","","16.125"
"PANCE","2021-04-03","","21.75"
"PANCE","2021-04-02","","29.33333333"
"PANCE","2021-04-01","","22.6"
"PANCE","2021-03-31","","38.33333333"
"PANCE","2021-03-30","","40.04166667"
"PANCE","2021-03-29","","28.95833333"
"PANCE","2021-03-28","","26.66666667"
"PANCE","2021-03-27","","31.23809524"
"PANCE","2021-03-26","","23.08695652"
"PANCE","2021-03-25","","32.91666667"
"PANCE","2021-03-24","","21.625"
"PANCE","2021-03-23","","20.91666667"
"PANCE","2021-03-22","","15.70833333"
"PANCE","2021-03-21","","26.33333333"
"PANCE","2021-03-20","","22.54166667"
"PANCE","2021-03-19","","22.625"
"PANCE","2021-03-18","","11.83333333"
"PANCE","2021-03-17","","28.04166667"
"PANCE","2021-03-16","","32.70833333"
"PANCE","2021-03-15","","21.25"
"PANCE","2021-03-14","","29.45833333"
"PANCE","2021-03-13","","24.83333333"
"PANCE","2021-03-12","","22.23076923"
"PANCE","2021-03-11","","15.35294118"
"PANCE","2021-03-10","","24.79166667"
"PANCE","2021-03-09","","27.08333333"
"PANCE","2021-03-08","","23.29166667"
