"Estacion","Fecha inicial","Fecha final","PM2.5"
"PANCE","2021-07-27","","7.55652174"
"PANCE","2021-07-26","","10.8575"
"PANCE","2021-07-25","","8.91916667"
"PANCE","2021-07-24","","13.71416667"
"PANCE","2021-07-23","","13.58125"
"PANCE","2021-07-22","","15.78583333"
"PANCE","2021-07-21","","15.7125"
"PANCE","2021-07-20","","11.59041667"
"PANCE","2021-07-19","","15.4952381"
"PANCE","2021-07-18","","15.17125"
"PANCE","2021-07-17","","12.88625"
"PANCE","2021-07-16","","17.36375"
"PANCE","2021-07-15","","15.17166667"
"PANCE","2021-07-14","","14.22608696"
"PANCE","2021-07-13","","10.51913043"
"PANCE","2021-07-12","","12.6275"
"PANCE","2021-07-11","","12.00625"
"PANCE","2021-07-10","","14.2725"
"PANCE","2021-07-09","","18.97625"
"PANCE","2021-07-08","","22.74041667"
"PANCE","2021-07-07","","18.74083333"
"PANCE","2021-07-06","","19.27083333"
"PANCE","2021-07-05","","16.90208333"
"PANCE","2021-07-04","","16.60208333"
"PANCE","2021-07-03","","18.0525"
"PANCE","2021-07-02","","11.43791667"
"PANCE","2021-07-01","","9.49416667"
"PANCE","2021-06-30","","10.94833333"
"PANCE","2021-06-29","","13.93541667"
"PANCE","2021-06-28","","13.80666667"
"PANCE","2021-06-27","","10.15708333"
"PANCE","2021-06-26","","13.52583333"
"PANCE","2021-06-25","","9.46625"
"PANCE","2021-06-24","","11.29909091"
"PANCE","2021-06-23","","13.22166667"
"PANCE","2021-06-22","","13.41416667"
"PANCE","2021-06-21","","10.94125"
"PANCE","2021-06-20","","7.04708333"
"PANCE","2021-06-19","","11.91333333"
"PANCE","2021-06-18","","13.88583333"
"PANCE","2021-06-17","","12.34708333"
"PANCE","2021-06-16","","10.30125"
"PANCE","2021-06-15","","4.35125"
"PANCE","2021-06-14","","12.61458333"
"PANCE","2021-06-13","","8.13625"
"PANCE","2021-06-12","","11.12791667"
"PANCE","2021-06-11","","13.73"
"PANCE","2021-06-10","","10.57583333"
"PANCE","2021-06-09","","6.22958333"
"PANCE","2021-06-08","","5.04125"
"PANCE","2021-06-07","","5.34708333"
"PANCE","2021-06-06","","11.31541667"
"PANCE","2021-06-05","","9.92"
"PANCE","2021-06-04","","5.10416667"
"PANCE","2021-06-03","","7.95583333"
"PANCE","2021-06-02","","12.22583333"
"PANCE","2021-06-01","","7.54875"
"PANCE","2021-05-31","","6.32291667"
"PANCE","2021-05-30","","5.915"
"PANCE","2021-05-29","","6.4775"
"PANCE","2021-05-28","","7.14083333"
"PANCE","2021-05-27","","6.72416667"
