"Estacion","Fecha inicial","Fecha final","PM10"
"PUENTE ARANDA","2021-02-28","","30.64444444"
"PUENTE ARANDA","2021-02-27","","47.2875"
"PUENTE ARANDA","2021-02-26","","45.20434783"
"PUENTE ARANDA","2021-02-25","","22.94736842"
"PUENTE ARANDA","2021-02-24","","56.86666667"
"PUENTE ARANDA","2021-02-23","","35.90869565"
"PUENTE ARANDA","2021-02-22","","30.33809524"
"PUENTE ARANDA","2021-02-21","","32.3"
"PUENTE ARANDA","2021-02-20","","56.25833333"
"PUENTE ARANDA","2021-02-19","","37.33636364"
"PUENTE ARANDA","2021-02-18","","56.09166667"
"PUENTE ARANDA","2021-02-17","","60.85416667"
"PUENTE ARANDA","2021-02-16","","56.23333333"
"PUENTE ARANDA","2021-02-15","","52.62608696"
"PUENTE ARANDA","2021-02-14","","57.38333333"
"PUENTE ARANDA","2021-02-13","","36.65833333"
"PUENTE ARANDA","2021-02-12","","54.39166667"
"PUENTE ARANDA","2021-02-11","","34.66"
"PUENTE ARANDA","2021-02-10","","28.32"
"PUENTE ARANDA","2021-02-09","","50.05833333"
"PUENTE ARANDA","2021-02-08","","38.97391304"
"PUENTE ARANDA","2021-02-07","","31.0125"
"PUENTE ARANDA","2021-02-06","","36.12916667"
"PUENTE ARANDA","2021-02-05","","22.89583333"
"PUENTE ARANDA","2021-02-04","","37.2375"
"PUENTE ARANDA","2021-02-03","","32.85833333"
"PUENTE ARANDA","2021-02-02","","30.88333333"
"PUENTE ARANDA","2021-02-01","","28.5047619"
"PUENTE ARANDA","2021-01-31","","24.36086957"
"PUENTE ARANDA","2021-01-30","","38.30416667"
"PUENTE ARANDA","2021-01-29","","52.92916667"
"PUENTE ARANDA","2021-01-28","","62.29583333"
"PUENTE ARANDA","2021-01-27","","41.37916667"
"PUENTE ARANDA","2021-01-26","","46.69166667"
"PUENTE ARANDA","2021-01-25","","30.29583333"
"PUENTE ARANDA","2021-01-24","","28.38333333"
"PUENTE ARANDA","2021-01-23","","31.10454545"
"PUENTE ARANDA","2021-01-22","","42.26086957"
"PUENTE ARANDA","2021-01-21","","52.77916667"
"PUENTE ARANDA","2021-01-20","","50.1875"
"PUENTE ARANDA","2021-01-19","","56.36818182"
"PUENTE ARANDA","2021-01-18","","42.42608696"
"PUENTE ARANDA","2021-01-17","","31.29090909"
"PUENTE ARANDA","2021-01-16","","43.83913043"
"PUENTE ARANDA","2021-01-15","","60.61304348"
"PUENTE ARANDA","2021-01-14","","55.59545455"
"PUENTE ARANDA","2021-01-13","","38.06086957"
"PUENTE ARANDA","2021-01-12","","17.175"
"PUENTE ARANDA","2021-01-11","","10.93684211"
"PUENTE ARANDA","2021-01-10","","13.27272727"
"PUENTE ARANDA","2021-01-09","","24.60909091"
"PUENTE ARANDA","2021-01-08","","43.15"
"PUENTE ARANDA","2021-01-07","","27.79130435"
"PUENTE ARANDA","2021-01-06","","34.98181818"
"PUENTE ARANDA","2021-01-05","","41.42631579"
"PUENTE ARANDA","2021-01-04","","26.73809524"
"PUENTE ARANDA","2021-01-03","","15.055"
"PUENTE ARANDA","2021-01-02","","19.705"
"PUENTE ARANDA","2021-01-01","","21.32272727"
"PUENTE ARANDA","2020-12-31","","45.13913043"
"PUENTE ARANDA","2020-12-30","","42.6173913"
"PUENTE ARANDA","2020-12-29","","35.875"
"PUENTE ARANDA","2020-12-28","","36.05"
"PUENTE ARANDA","2020-12-27","","20.975"
"PUENTE ARANDA","2020-12-26","","25.83157895"
"PUENTE ARANDA","2020-12-25","","18.82941176"
"PUENTE ARANDA","2020-12-24","","30.49565217"
"PUENTE ARANDA","2020-12-23","","79.00416667"
"PUENTE ARANDA","2020-12-22","","51.17391304"
"PUENTE ARANDA","2020-12-21","","50.79583333"
"PUENTE ARANDA","2020-12-20","","15.94375"
"PUENTE ARANDA","2020-12-19","","38.16956522"
"PUENTE ARANDA","2020-12-18","","40.59166667"
"PUENTE ARANDA","2020-12-17","","39.2125"
"PUENTE ARANDA","2020-12-16","","40.1"
"PUENTE ARANDA","2020-12-15","","62.93043478"
"PUENTE ARANDA","2020-12-14","","49.84782609"
"PUENTE ARANDA","2020-12-13","","25.63913043"
"PUENTE ARANDA","2020-12-12","","58.24583333"
"PUENTE ARANDA","2020-12-11","","56.35833333"
"PUENTE ARANDA","2020-12-10","","72.40416667"
"PUENTE ARANDA","2020-12-09","","43.05"
"PUENTE ARANDA","2020-12-08","","53.61363636"
"PUENTE ARANDA","2020-12-07","","53.48333333"
"PUENTE ARANDA","2020-12-06","","25.64166667"
"PUENTE ARANDA","2020-12-05","","46.2625"
"PUENTE ARANDA","2020-12-04","","49.14347826"
"PUENTE ARANDA","2020-12-03","","38.05416667"
"PUENTE ARANDA","2020-12-02","","49.0826087"
"PUENTE ARANDA","2020-12-01","","41.8"
