"Estacion","Fecha inicial","Fecha final","PM2.5"
"PUENTE ARANDA","2021-02-28","","20.395"
"PUENTE ARANDA","2021-02-27","","29.75"
"PUENTE ARANDA","2021-02-26","","28.04166667"
"PUENTE ARANDA","2021-02-25","","16.70833333"
"PUENTE ARANDA","2021-02-24","","29.625"
"PUENTE ARANDA","2021-02-23","","23.56521739"
"PUENTE ARANDA","2021-02-22","","9.16666667"
"PUENTE ARANDA","2021-02-19","","21.14285714"
"PUENTE ARANDA","2021-02-18","","28.5"
"PUENTE ARANDA","2021-02-17","","36.25"
"PUENTE ARANDA","2021-02-16","","31.875"
"PUENTE ARANDA","2021-02-15","","27.0"
"PUENTE ARANDA","2021-02-14","","32.375"
"PUENTE ARANDA","2021-02-13","","22.17826087"
"PUENTE ARANDA","2021-02-12","","33.41666667"
"PUENTE ARANDA","2021-02-11","","23.29166667"
"PUENTE ARANDA","2021-02-10","","23.75"
"PUENTE ARANDA","2021-02-09","","32.29166667"
"PUENTE ARANDA","2021-02-08","","20.875"
"PUENTE ARANDA","2021-02-07","","17.13181818"
"PUENTE ARANDA","2021-02-06","","21.47826087"
"PUENTE ARANDA","2021-02-05","","15.36363636"
"PUENTE ARANDA","2021-02-04","","21.90416667"
"PUENTE ARANDA","2021-02-03","","18.05"
"PUENTE ARANDA","2021-02-02","","18.22727273"
"PUENTE ARANDA","2021-02-01","","16.91666667"
"PUENTE ARANDA","2021-01-31","","14.32173913"
"PUENTE ARANDA","2021-01-30","","23.375"
"PUENTE ARANDA","2021-01-29","","32.375"
"PUENTE ARANDA","2021-01-28","","28.52631579"
"PUENTE ARANDA","2021-01-27","","27.25"
"PUENTE ARANDA","2021-01-26","","26.17391304"
"PUENTE ARANDA","2021-01-25","","21.375"
"PUENTE ARANDA","2021-01-24","","14.41666667"
"PUENTE ARANDA","2021-01-23","","19.25"
"PUENTE ARANDA","2021-01-22","","22.95652174"
"PUENTE ARANDA","2021-01-21","","29.91666667"
"PUENTE ARANDA","2021-01-20","","29.41666667"
"PUENTE ARANDA","2021-01-19","","31.83333333"
"PUENTE ARANDA","2021-01-18","","28.41666667"
"PUENTE ARANDA","2021-01-17","","21.95833333"
"PUENTE ARANDA","2021-01-16","","24.95833333"
"PUENTE ARANDA","2021-01-15","","32.30434783"
"PUENTE ARANDA","2021-01-14","","30.58333333"
"PUENTE ARANDA","2021-01-13","","21.45"
"PUENTE ARANDA","2021-01-12","","10.54166667"
"PUENTE ARANDA","2021-01-11","","6.40416667"
"PUENTE ARANDA","2021-01-10","","9.39583333"
"PUENTE ARANDA","2021-01-09","","12.93333333"
"PUENTE ARANDA","2021-01-08","","24.91666667"
"PUENTE ARANDA","2021-01-07","","19.19047619"
"PUENTE ARANDA","2021-01-06","","23.96086957"
"PUENTE ARANDA","2021-01-05","","24.95833333"
"PUENTE ARANDA","2021-01-04","","16.29166667"
"PUENTE ARANDA","2021-01-03","","12.04347826"
"PUENTE ARANDA","2021-01-02","","13.96818182"
"PUENTE ARANDA","2021-01-01","","22.8"
"PUENTE ARANDA","2020-12-31","","29.27272727"
"PUENTE ARANDA","2020-12-30","","26.26086957"
"PUENTE ARANDA","2020-12-29","","23.0173913"
"PUENTE ARANDA","2020-12-28","","19.875"
"PUENTE ARANDA","2020-12-27","","14.95833333"
"PUENTE ARANDA","2020-12-26","","17.34583333"
"PUENTE ARANDA","2020-12-25","","20.08695652"
"PUENTE ARANDA","2020-12-24","","18.69565217"
"PUENTE ARANDA","2020-12-23","","39.70833333"
"PUENTE ARANDA","2020-12-22","","32.08695652"
"PUENTE ARANDA","2020-12-21","","28.5"
"PUENTE ARANDA","2020-12-20","","13.33333333"
"PUENTE ARANDA","2020-12-19","","26.44583333"
"PUENTE ARANDA","2020-12-18","","23.04166667"
"PUENTE ARANDA","2020-12-17","","21.33333333"
"PUENTE ARANDA","2020-12-16","","23.91666667"
"PUENTE ARANDA","2020-12-15","","37.39130435"
"PUENTE ARANDA","2020-12-14","","28.79166667"
"PUENTE ARANDA","2020-12-13","","19.41666667"
"PUENTE ARANDA","2020-12-12","","35.83333333"
"PUENTE ARANDA","2020-12-11","","33.08333333"
"PUENTE ARANDA","2020-12-10","","40.60869565"
"PUENTE ARANDA","2020-12-09","","31.0"
"PUENTE ARANDA","2020-12-08","","35.625"
"PUENTE ARANDA","2020-12-07","","33.875"
"PUENTE ARANDA","2020-12-06","","16.125"
"PUENTE ARANDA","2020-12-05","","23.20833333"
"PUENTE ARANDA","2020-12-04","","30.91666667"
