"Estacion","Fecha inicial","Fecha final","PM10"
"SAN CRISTOBAL","2021-02-28","","20.47826087"
"SAN CRISTOBAL","2021-02-27","","26.25"
"SAN CRISTOBAL","2021-02-26","","25.66666667"
"SAN CRISTOBAL","2021-02-25","","13.0"
"SAN CRISTOBAL","2021-02-24","","27.58333333"
"SAN CRISTOBAL","2021-02-23","","21.58333333"
"SAN CRISTOBAL","2021-02-22","","19.20833333"
"SAN CRISTOBAL","2021-02-21","","28.45833333"
"SAN CRISTOBAL","2021-02-20","","35.5"
"SAN CRISTOBAL","2021-02-19","","35.75"
"SAN CRISTOBAL","2021-02-18","","37.95833333"
"SAN CRISTOBAL","2021-02-17","","34.70833333"
"SAN CRISTOBAL","2021-02-16","","35.375"
"SAN CRISTOBAL","2021-02-15","","29.47826087"
"SAN CRISTOBAL","2021-02-14","","26.95833333"
"SAN CRISTOBAL","2021-02-13","","22.625"
"SAN CRISTOBAL","2021-02-12","","43.66666667"
"SAN CRISTOBAL","2021-02-11","","36.25"
"SAN CRISTOBAL","2021-02-10","","24.5"
"SAN CRISTOBAL","2021-02-09","","35.18181818"
"SAN CRISTOBAL","2021-02-08","","22.18181818"
"SAN CRISTOBAL","2021-02-07","","18.0"
"SAN CRISTOBAL","2021-02-06","","21.77272727"
"SAN CRISTOBAL","2021-02-05","","12.04166667"
"SAN CRISTOBAL","2021-02-04","","20.30434783"
"SAN CRISTOBAL","2021-02-03","","15.95833333"
"SAN CRISTOBAL","2021-02-02","","19.41666667"
"SAN CRISTOBAL","2021-02-01","","17.10526316"
"SAN CRISTOBAL","2021-01-31","","11.30434783"
"SAN CRISTOBAL","2021-01-30","","18.875"
"SAN CRISTOBAL","2021-01-29","","38.20833333"
"SAN CRISTOBAL","2021-01-28","","44.33333333"
"SAN CRISTOBAL","2021-01-27","","17.41666667"
"SAN CRISTOBAL","2021-01-26","","24.0"
"SAN CRISTOBAL","2021-01-25","","12.14285714"
"SAN CRISTOBAL","2021-01-24","","11.58333333"
"SAN CRISTOBAL","2021-01-23","","10.16666667"
"SAN CRISTOBAL","2021-01-22","","19.625"
"SAN CRISTOBAL","2021-01-21","","27.66666667"
"SAN CRISTOBAL","2021-01-20","","25.41666667"
"SAN CRISTOBAL","2021-01-19","","27.5"
"SAN CRISTOBAL","2021-01-18","","20.04545455"
"SAN CRISTOBAL","2021-01-17","","17.58333333"
"SAN CRISTOBAL","2021-01-16","","34.45833333"
"SAN CRISTOBAL","2021-01-15","","46.17391304"
"SAN CRISTOBAL","2021-01-14","","30.20833333"
"SAN CRISTOBAL","2021-01-13","","16.70833333"
"SAN CRISTOBAL","2021-01-12","","9.30434783"
"SAN CRISTOBAL","2021-01-11","","4.71428571"
"SAN CRISTOBAL","2021-01-10","","7.40909091"
"SAN CRISTOBAL","2021-01-09","","8.95652174"
"SAN CRISTOBAL","2021-01-08","","14.31818182"
"SAN CRISTOBAL","2021-01-07","","13.375"
"SAN CRISTOBAL","2021-01-06","","18.76190476"
"SAN CRISTOBAL","2021-01-05","","25.08333333"
"SAN CRISTOBAL","2021-01-04","","20.25"
"SAN CRISTOBAL","2021-01-03","","14.77272727"
"SAN CRISTOBAL","2021-01-02","","13.25"
"SAN CRISTOBAL","2021-01-01","","19.66666667"
"SAN CRISTOBAL","2020-12-31","","35.39130435"
"SAN CRISTOBAL","2020-12-30","","32.33333333"
"SAN CRISTOBAL","2020-12-29","","33.40909091"
"SAN CRISTOBAL","2020-12-28","","26.5"
"SAN CRISTOBAL","2020-12-27","","19.45833333"
"SAN CRISTOBAL","2020-12-26","","18.79166667"
"SAN CRISTOBAL","2020-12-25","","21.33333333"
"SAN CRISTOBAL","2020-12-24","","18.45833333"
"SAN CRISTOBAL","2020-12-23","","24.70833333"
"SAN CRISTOBAL","2020-12-22","","19.33333333"
"SAN CRISTOBAL","2020-12-21","","23.77272727"
"SAN CRISTOBAL","2020-12-20","","11.83333333"
"SAN CRISTOBAL","2020-12-19","","18.2"
"SAN CRISTOBAL","2020-12-18","","21.91666667"
"SAN CRISTOBAL","2020-12-17","","15.70833333"
"SAN CRISTOBAL","2020-12-16","","14.29166667"
"SAN CRISTOBAL","2020-12-15","","26.13043478"
"SAN CRISTOBAL","2020-12-14","","17.7826087"
"SAN CRISTOBAL","2020-12-13","","13.91666667"
"SAN CRISTOBAL","2020-12-12","","26.79166667"
"SAN CRISTOBAL","2020-12-11","","32.79166667"
"SAN CRISTOBAL","2020-12-10","","54.66666667"
"SAN CRISTOBAL","2020-12-09","","22.29166667"
"SAN CRISTOBAL","2020-12-08","","26.33333333"
"SAN CRISTOBAL","2020-12-07","","32.91666667"
"SAN CRISTOBAL","2020-12-06","","12.82608696"
"SAN CRISTOBAL","2020-12-05","","15.08333333"
"SAN CRISTOBAL","2020-12-04","","18.16666667"
"SAN CRISTOBAL","2020-12-03","","30.08333333"
"SAN CRISTOBAL","2020-12-02","","15.0"
"SAN CRISTOBAL","2020-12-01","","26.04166667"
"SAN CRISTOBAL","2020-11-30","","20.0"
"SAN CRISTOBAL","2020-11-29","","12.83333333"
"SAN CRISTOBAL","2020-11-28","","25.83333333"
"SAN CRISTOBAL","2020-11-27","","34.91304348"
"SAN CRISTOBAL","2020-11-26","","35.125"
"SAN CRISTOBAL","2020-11-25","","28.66666667"
"SAN CRISTOBAL","2020-11-24","","37.16666667"
"SAN CRISTOBAL","2020-11-23","","35.8125"
"SAN CRISTOBAL","2020-11-22","","25.18181818"
"SAN CRISTOBAL","2020-11-21","","17.95833333"
"SAN CRISTOBAL","2020-11-20","","22.34782609"
"SAN CRISTOBAL","2020-11-19","","24.0"
"SAN CRISTOBAL","2020-11-18","","31.70833333"
"SAN CRISTOBAL","2020-11-17","","27.48"
"SAN CRISTOBAL","2020-11-16","","15.16666667"
"SAN CRISTOBAL","2020-11-15","","22.0"
"SAN CRISTOBAL","2020-11-14","","36.45833333"
"SAN CRISTOBAL","2020-11-13","","24.91666667"
"SAN CRISTOBAL","2020-11-12","","25.625"
"SAN CRISTOBAL","2020-11-11","","18.79166667"
"SAN CRISTOBAL","2020-11-10","","34.375"
"SAN CRISTOBAL","2020-11-09","","32.65217391"
"SAN CRISTOBAL","2020-11-08","","30.04347826"
"SAN CRISTOBAL","2020-11-07","","38.45833333"
"SAN CRISTOBAL","2020-11-06","","50.82608696"
"SAN CRISTOBAL","2020-11-05","","29.3"
"SAN CRISTOBAL","2020-11-04","","36.22727273"
"SAN CRISTOBAL","2020-11-03","","37.41666667"
"SAN CRISTOBAL","2020-11-02","","30.56521739"
"SAN CRISTOBAL","2020-11-01","","25.5"
"SAN CRISTOBAL","2020-10-31","","34.86363636"
"SAN CRISTOBAL","2020-10-30","","34.875"
"SAN CRISTOBAL","2020-10-29","","34.875"
"SAN CRISTOBAL","2020-10-28","","24.95833333"
"SAN CRISTOBAL","2020-10-27","","40.73913043"
"SAN CRISTOBAL","2020-10-26","","39.90909091"
"SAN CRISTOBAL","2020-10-25","","30.04166667"
"SAN CRISTOBAL","2020-10-24","","16.40909091"
"SAN CRISTOBAL","2020-10-23","","14.13043478"
"SAN CRISTOBAL","2020-10-22","","11.54166667"
"SAN CRISTOBAL","2020-10-21","","13.66666667"
"SAN CRISTOBAL","2020-10-20","","23.75"
"SAN CRISTOBAL","2020-10-19","","33.90909091"
"SAN CRISTOBAL","2020-10-15","","15.95238095"
"SAN CRISTOBAL","2020-10-14","","20.26086957"
"SAN CRISTOBAL","2020-10-13","","11.77777778"
"SAN CRISTOBAL","2020-10-12","","14.0"
"SAN CRISTOBAL","2020-10-11","","11.47619048"
"SAN CRISTOBAL","2020-10-10","","13.47058824"
"SAN CRISTOBAL","2020-10-09","","9.83333333"
"SAN CRISTOBAL","2020-10-08","","8.75"
"SAN CRISTOBAL","2020-10-07","","21.63684211"
"SAN CRISTOBAL","2020-10-06","","20.30434783"
"SAN CRISTOBAL","2020-10-05","","13.875"
"SAN CRISTOBAL","2020-10-04","","7.14583333"
"SAN CRISTOBAL","2020-10-03","","12.0625"
"SAN CRISTOBAL","2020-10-02","","14.33333333"
"SAN CRISTOBAL","2020-10-01","","14.82916667"
"SAN CRISTOBAL","2020-09-30","","10.52380952"
"SAN CRISTOBAL","2020-09-29","","9.92916667"
"SAN CRISTOBAL","2020-09-28","","9.38333333"
"SAN CRISTOBAL","2020-09-27","","13.425"
"SAN CRISTOBAL","2020-09-26","","23.83333333"
"SAN CRISTOBAL","2020-09-25","","10.6"
"SAN CRISTOBAL","2020-09-24","","7.9125"
"SAN CRISTOBAL","2020-09-23","","9.625"
"SAN CRISTOBAL","2020-09-22","","17.75"
"SAN CRISTOBAL","2020-09-21","","9.97916667"
"SAN CRISTOBAL","2020-09-20","","9.60434783"
"SAN CRISTOBAL","2020-09-19","","22.80454545"
"SAN CRISTOBAL","2020-09-18","","29.55652174"
"SAN CRISTOBAL","2020-09-17","","30.89545455"
"SAN CRISTOBAL","2020-09-16","","31.25"
"SAN CRISTOBAL","2020-09-15","","18.39130435"
"SAN CRISTOBAL","2020-09-14","","17.80833333"
"SAN CRISTOBAL","2020-09-13","","8.82608696"
"SAN CRISTOBAL","2020-09-12","","18.4"
"SAN CRISTOBAL","2020-09-11","","24.2375"
"SAN CRISTOBAL","2020-09-10","","18.65833333"
"SAN CRISTOBAL","2020-09-09","","15.0"
"SAN CRISTOBAL","2020-09-08","","18.9125"
"SAN CRISTOBAL","2020-09-07","","15.91666667"
"SAN CRISTOBAL","2020-09-06","","8.47368421"
"SAN CRISTOBAL","2020-09-05","","10.10833333"
"SAN CRISTOBAL","2020-09-04","","8.87916667"
"SAN CRISTOBAL","2020-09-03","","16.03333333"
"SAN CRISTOBAL","2020-09-02","","22.70869565"
"SAN CRISTOBAL","2020-09-01","","17.75833333"
"SAN CRISTOBAL","2020-08-31","","24.86521739"
"SAN CRISTOBAL","2020-08-30","","19.17916667"
"SAN CRISTOBAL","2020-08-29","","37.63181818"
"SAN CRISTOBAL","2020-08-28","","21.95833333"
"SAN CRISTOBAL","2020-08-27","","13.03043478"
"SAN CRISTOBAL","2020-08-26","","21.32083333"
"SAN CRISTOBAL","2020-08-25","","28.4"
"SAN CRISTOBAL","2020-08-24","","15.53846154"
"SAN CRISTOBAL","2020-08-21","","15.0"
"SAN CRISTOBAL","2020-08-20","","16.625"
"SAN CRISTOBAL","2020-08-19","","26.16666667"
"SAN CRISTOBAL","2020-08-18","","39.75"
"SAN CRISTOBAL","2020-08-17","","26.92727273"
"SAN CRISTOBAL","2020-08-16","","12.125"
"SAN CRISTOBAL","2020-08-15","","9.73913043"
"SAN CRISTOBAL","2020-08-14","","11.95833333"
"SAN CRISTOBAL","2020-08-13","","9.4125"
"SAN CRISTOBAL","2020-08-12","","17.63333333"
"SAN CRISTOBAL","2020-08-11","","14.64583333"
"SAN CRISTOBAL","2020-08-10","","12.70833333"
"SAN CRISTOBAL","2020-08-09","","7.04166667"
"SAN CRISTOBAL","2020-08-08","","6.94583333"
"SAN CRISTOBAL","2020-08-07","","7.57916667"
"SAN CRISTOBAL","2020-08-06","","11.65833333"
"SAN CRISTOBAL","2020-08-05","","8.875"
"SAN CRISTOBAL","2020-08-04","","10.29166667"
"SAN CRISTOBAL","2020-08-03","","16.83333333"
"SAN CRISTOBAL","2020-08-02","","10.41666667"
"SAN CRISTOBAL","2020-08-01","","12.70833333"
"SAN CRISTOBAL","2020-07-31","","13.73913043"
"SAN CRISTOBAL","2020-07-30","","11.20833333"
"SAN CRISTOBAL","2020-07-29","","12.58333333"
"SAN CRISTOBAL","2020-07-28","","14.95833333"
"SAN CRISTOBAL","2020-07-27","","12.85"
"SAN CRISTOBAL","2020-07-26","","8.83333333"
"SAN CRISTOBAL","2020-07-25","","10.16315789"
"SAN CRISTOBAL","2020-07-24","","14.14166667"
"SAN CRISTOBAL","2020-07-23","","21.80833333"
"SAN CRISTOBAL","2020-07-22","","18.66666667"
"SAN CRISTOBAL","2020-07-21","","12.02083333"
"SAN CRISTOBAL","2020-07-20","","5.955"
"SAN CRISTOBAL","2020-07-19","","7.625"
"SAN CRISTOBAL","2020-07-18","","9.25"
"SAN CRISTOBAL","2020-07-17","","7.55"
"SAN CRISTOBAL","2020-07-16","","11.625"
"SAN CRISTOBAL","2020-07-15","","10.27272727"
"SAN CRISTOBAL","2020-07-14","","7.50833333"
"SAN CRISTOBAL","2020-07-13","","8.0"
"SAN CRISTOBAL","2020-07-12","","14.75"
"SAN CRISTOBAL","2020-07-11","","14.20833333"
"SAN CRISTOBAL","2020-07-10","","15.0"
"SAN CRISTOBAL","2020-07-09","","10.08333333"
"SAN CRISTOBAL","2020-07-08","","16.44782609"
"SAN CRISTOBAL","2020-07-07","","13.54166667"
"SAN CRISTOBAL","2020-07-06","","17.13636364"
"SAN CRISTOBAL","2020-07-05","","26.0"
"SAN CRISTOBAL","2020-07-04","","8.70833333"
"SAN CRISTOBAL","2020-07-03","","13.125"
"SAN CRISTOBAL","2020-07-02","","13.0"
"SAN CRISTOBAL","2020-07-01","","20.20833333"
"SAN CRISTOBAL","2020-06-30","","29.30434783"
"SAN CRISTOBAL","2020-06-29","","6.87083333"
"SAN CRISTOBAL","2020-06-28","","10.30434783"
"SAN CRISTOBAL","2020-06-27","","20.91666667"
"SAN CRISTOBAL","2020-06-26","","9.29583333"
"SAN CRISTOBAL","2020-06-25","","61.90909091"
"SAN CRISTOBAL","2020-06-24","","108.375"
"SAN CRISTOBAL","2020-06-23","","25.70833333"
"SAN CRISTOBAL","2020-06-22","","6.625"
"SAN CRISTOBAL","2020-06-21","","6.76842105"
"SAN CRISTOBAL","2020-06-20","","4.55625"
"SAN CRISTOBAL","2020-06-19","","17.66666667"
"SAN CRISTOBAL","2020-06-18","","27.08695652"
"SAN CRISTOBAL","2020-06-17","","17.45833333"
"SAN CRISTOBAL","2020-06-16","","18.25"
"SAN CRISTOBAL","2020-06-15","","5.13913043"
"SAN CRISTOBAL","2020-06-14","","6.19130435"
"SAN CRISTOBAL","2020-06-13","","12.20833333"
"SAN CRISTOBAL","2020-06-12","","23.68181818"
"SAN CRISTOBAL","2020-06-11","","23.375"
"SAN CRISTOBAL","2020-06-10","","20.875"
"SAN CRISTOBAL","2020-06-09","","16.95833333"
"SAN CRISTOBAL","2020-06-08","","15.45833333"
"SAN CRISTOBAL","2020-06-07","","8.04166667"
"SAN CRISTOBAL","2020-06-06","","10.875"
"SAN CRISTOBAL","2020-06-05","","11.0"
"SAN CRISTOBAL","2020-06-04","","9.47619048"
"SAN CRISTOBAL","2020-06-03","","27.16666667"
"SAN CRISTOBAL","2020-06-02","","19.5"
"SAN CRISTOBAL","2020-06-01","","12.25"
"SAN CRISTOBAL","2020-05-31","","16.60869565"
"SAN CRISTOBAL","2020-05-30","","19.54166667"
"SAN CRISTOBAL","2020-05-29","","16.5"
"SAN CRISTOBAL","2020-05-28","","18.79166667"
"SAN CRISTOBAL","2020-05-27","","7.70833333"
"SAN CRISTOBAL","2020-05-26","","6.82608696"
"SAN CRISTOBAL","2020-05-25","","4.45833333"
"SAN CRISTOBAL","2020-05-24","","7.45833333"
"SAN CRISTOBAL","2020-05-23","","10.91666667"
"SAN CRISTOBAL","2020-05-22","","11.25"
"SAN CRISTOBAL","2020-05-21","","10.69565217"
