"Estacion","Fecha inicial","Fecha final","PM2.5"
"SAN CRISTOBAL","2021-02-28","","9.34782609"
"SAN CRISTOBAL","2021-02-27","","16.58333333"
"SAN CRISTOBAL","2021-02-26","","14.79166667"
"SAN CRISTOBAL","2021-02-25","","8.95"
"SAN CRISTOBAL","2021-02-24","","15.375"
"SAN CRISTOBAL","2021-02-23","","12.70833333"
"SAN CRISTOBAL","2021-02-22","","10.75"
"SAN CRISTOBAL","2021-02-21","","20.0"
"SAN CRISTOBAL","2021-02-20","","21.58333333"
"SAN CRISTOBAL","2021-02-19","","23.5"
"SAN CRISTOBAL","2021-02-18","","22.70833333"
"SAN CRISTOBAL","2021-02-17","","18.79166667"
"SAN CRISTOBAL","2021-02-16","","19.16666667"
"SAN CRISTOBAL","2021-02-15","","15.69565217"
"SAN CRISTOBAL","2021-02-14","","16.95833333"
"SAN CRISTOBAL","2021-02-13","","10.04166667"
"SAN CRISTOBAL","2021-02-12","","19.95833333"
"SAN CRISTOBAL","2021-02-11","","19.70833333"
"SAN CRISTOBAL","2021-02-10","","15.77272727"
"SAN CRISTOBAL","2021-02-09","","22.65217391"
"SAN CRISTOBAL","2021-02-08","","9.45833333"
"SAN CRISTOBAL","2021-02-07","","9.41666667"
"SAN CRISTOBAL","2021-02-06","","12.79166667"
"SAN CRISTOBAL","2021-02-05","","7.91666667"
"SAN CRISTOBAL","2021-02-04","","10.41666667"
"SAN CRISTOBAL","2021-02-03","","8.625"
"SAN CRISTOBAL","2021-02-02","","10.08333333"
"SAN CRISTOBAL","2021-02-01","","7.75"
"SAN CRISTOBAL","2021-01-31","","6.2173913"
"SAN CRISTOBAL","2021-01-30","","9.25"
"SAN CRISTOBAL","2021-01-29","","23.33333333"
"SAN CRISTOBAL","2021-01-28","","25.04166667"
"SAN CRISTOBAL","2021-01-27","","9.16666667"
"SAN CRISTOBAL","2021-01-26","","11.875"
"SAN CRISTOBAL","2021-01-25","","7.68181818"
"SAN CRISTOBAL","2021-01-24","","7.08333333"
"SAN CRISTOBAL","2021-01-23","","4.75"
"SAN CRISTOBAL","2021-01-22","","12.2"
"SAN CRISTOBAL","2021-01-21","","14.20833333"
"SAN CRISTOBAL","2021-01-20","","9.79166667"
"SAN CRISTOBAL","2021-01-19","","13.75"
"SAN CRISTOBAL","2021-01-18","","7.90909091"
"SAN CRISTOBAL","2021-01-17","","10.33333333"
"SAN CRISTOBAL","2021-01-16","","20.125"
"SAN CRISTOBAL","2021-01-15","","25.04347826"
"SAN CRISTOBAL","2021-01-14","","16.375"
"SAN CRISTOBAL","2021-01-13","","7.66666667"
"SAN CRISTOBAL","2021-01-12","","3.375"
"SAN CRISTOBAL","2021-01-11","","4.20833333"
"SAN CRISTOBAL","2021-01-10","","3.79166667"
"SAN CRISTOBAL","2021-01-09","","3.91666667"
"SAN CRISTOBAL","2021-01-08","","7.5"
"SAN CRISTOBAL","2021-01-07","","7.25"
"SAN CRISTOBAL","2021-01-06","","8.68181818"
"SAN CRISTOBAL","2021-01-05","","12.79166667"
"SAN CRISTOBAL","2021-01-04","","10.75"
"SAN CRISTOBAL","2021-01-03","","7.16666667"
"SAN CRISTOBAL","2021-01-02","","4.875"
"SAN CRISTOBAL","2021-01-01","","14.625"
"SAN CRISTOBAL","2020-12-31","","25.72727273"
"SAN CRISTOBAL","2020-12-30","","19.95833333"
"SAN CRISTOBAL","2020-12-29","","18.56521739"
"SAN CRISTOBAL","2020-12-28","","14.66666667"
"SAN CRISTOBAL","2020-12-27","","10.75"
"SAN CRISTOBAL","2020-12-26","","9.95833333"
"SAN CRISTOBAL","2020-12-25","","16.2173913"
"SAN CRISTOBAL","2020-12-24","","11.41666667"
"SAN CRISTOBAL","2020-12-23","","13.54166667"
"SAN CRISTOBAL","2020-12-22","","10.16666667"
"SAN CRISTOBAL","2020-12-21","","10.77272727"
"SAN CRISTOBAL","2020-12-20","","4.625"
