"Estacion","Fecha inicial","Fecha final","PM10"
"SUBA","2021-02-28","","20.47826087"
"SUBA","2021-02-27","","26.25"
"SUBA","2021-02-26","","25.66666667"
"SUBA","2021-02-25","","13.0"
"SUBA","2021-02-24","","27.58333333"
"SUBA","2021-02-23","","21.58333333"
"SUBA","2021-02-22","","19.20833333"
"SUBA","2021-02-21","","28.45833333"
"SUBA","2021-02-20","","35.5"
"SUBA","2021-02-19","","35.75"
"SUBA","2021-02-18","","37.95833333"
"SUBA","2021-02-17","","34.70833333"
"SUBA","2021-02-16","","35.375"
"SUBA","2021-02-15","","37.96086957"
"SUBA","2021-02-14","","39.96521739"
"SUBA","2021-02-13","","29.00416667"
"SUBA","2021-02-12","","46.61666667"
"SUBA","2021-02-11","","36.95"
"SUBA","2021-02-10","","17.69090909"
"SUBA","2021-02-09","","32.22083333"
"SUBA","2021-02-08","","29.925"
"SUBA","2021-02-07","","27.33888889"
"SUBA","2021-02-06","","36.0125"
"SUBA","2021-02-05","","28.8"
"SUBA","2021-02-04","","45.27916667"
"SUBA","2021-02-03","","39.90833333"
"SUBA","2021-02-02","","37.9625"
"SUBA","2021-02-01","","21.195"
"SUBA","2021-01-31","","35.05217391"
"SUBA","2021-01-30","","39.96666667"
"SUBA","2021-01-29","","54.87083333"
"SUBA","2021-01-28","","50.125"
"SUBA","2021-01-27","","32.6875"
"SUBA","2021-01-26","","36.5875"
"SUBA","2021-01-25","","38.47391304"
"SUBA","2021-01-24","","18.50416667"
"SUBA","2021-01-23","","21.07083333"
"SUBA","2021-01-22","","36.64166667"
"SUBA","2021-01-21","","51.54782609"
"SUBA","2021-01-20","","48.87916667"
"SUBA","2021-01-19","","62.8047619"
"SUBA","2021-01-18","","46.19583333"
"SUBA","2021-01-17","","37.9375"
"SUBA","2021-01-16","","37.875"
"SUBA","2021-01-15","","41.27692308"
"SUBA","2021-01-13","","54.96428571"
"SUBA","2021-01-12","","30.63333333"
"SUBA","2021-01-11","","11.79166667"
"SUBA","2021-01-10","","9.0"
"SUBA","2021-01-09","","14.1"
"SUBA","2021-01-08","","30.3"
"SUBA","2021-01-07","","19.15652174"
"SUBA","2021-01-06","","24.03333333"
"SUBA","2021-01-05","","37.05"
"SUBA","2021-01-04","","24.0"
"SUBA","2021-01-03","","12.59230769"
"SUBA","2021-01-02","","13.0"
"SUBA","2021-01-01","","13.26666667"
"SUBA","2020-12-31","","32.665"
"SUBA","2020-12-30","","35.76315789"
"SUBA","2020-12-29","","23.8"
"SUBA","2020-12-28","","29.94166667"
"SUBA","2020-12-27","","21.04583333"
"SUBA","2020-12-26","","18.80833333"
"SUBA","2020-12-25","","17.1173913"
"SUBA","2020-12-24","","25.7875"
"SUBA","2020-12-23","","42.965"
"SUBA","2020-12-22","","43.37916667"
"SUBA","2020-12-21","","40.93333333"
"SUBA","2020-12-17","","26.02"
"SUBA","2020-12-16","","24.68333333"
"SUBA","2020-12-15","","46.29130435"
"SUBA","2020-12-14","","41.24583333"
"SUBA","2020-12-13","","31.105"
"SUBA","2020-12-12","","41.74166667"
"SUBA","2020-12-11","","49.56363636"
"SUBA","2020-12-10","","40.47916667"
"SUBA","2020-12-09","","46.1125"
"SUBA","2020-12-08","","38.39583333"
"SUBA","2020-12-07","","39.39583333"
"SUBA","2020-12-06","","25.65833333"
"SUBA","2020-12-05","","39.22916667"
"SUBA","2020-12-04","","33.725"
"SUBA","2020-12-03","","27.20416667"
"SUBA","2020-12-02","","21.17826087"
"SUBA","2020-12-01","","28.05"
"SUBA","2020-11-30","","31.25652174"
"SUBA","2020-11-29","","16.35416667"
"SUBA","2020-11-28","","14.88571429"
"SUBA","2020-11-27","","30.92083333"
"SUBA","2020-11-26","","50.175"
"SUBA","2020-11-25","","36.63043478"
"SUBA","2020-11-24","","33.8875"
"SUBA","2020-11-23","","38.52083333"
"SUBA","2020-11-22","","34.82083333"
"SUBA","2020-11-21","","36.52916667"
"SUBA","2020-11-20","","33.60869565"
"SUBA","2020-11-19","","36.76666667"
"SUBA","2020-11-18","","27.05416667"
"SUBA","2020-11-17","","16.732"
"SUBA","2020-11-16","","21.00833333"
"SUBA","2020-11-15","","26.91304348"
"SUBA","2020-11-14","","29.13333333"
"SUBA","2020-11-13","","13.54782609"
"SUBA","2020-11-12","","28.29130435"
"SUBA","2020-11-11","","13.65"
"SUBA","2020-11-10","","42.05"
"SUBA","2020-11-09","","31.81666667"
"SUBA","2020-11-08","","29.44583333"
"SUBA","2020-11-07","","39.25"
"SUBA","2020-11-06","","56.50416667"
"SUBA","2020-11-05","","34.54285714"
"SUBA","2020-11-04","","45.15"
"SUBA","2020-11-03","","44.83333333"
"SUBA","2020-11-02","","25.6625"
"SUBA","2020-11-01","","17.704"
"SUBA","2020-10-31","","28.64782609"
"SUBA","2020-10-30","","36.95833333"
"SUBA","2020-10-29","","26.10416667"
"SUBA","2020-10-28","","39.35416667"
"SUBA","2020-10-27","","34.1"
"SUBA","2020-10-26","","35.7125"
"SUBA","2020-10-25","","28.84583333"
"SUBA","2020-10-24","","22.0375"
"SUBA","2020-10-23","","21.00416667"
"SUBA","2020-10-22","","22.01666667"
"SUBA","2020-10-21","","21.82916667"
"SUBA","2020-10-20","","36.97083333"
"SUBA","2020-10-19","","40.87083333"
"SUBA","2020-10-18","","22.85"
"SUBA","2020-10-17","","29.33333333"
"SUBA","2020-10-16","","22.24583333"
"SUBA","2020-10-15","","25.73043478"
"SUBA","2020-10-14","","36.61666667"
"SUBA","2020-10-13","","23.95"
"SUBA","2020-10-12","","18.375"
"SUBA","2020-10-11","","19.275"
"SUBA","2020-10-10","","26.02083333"
"SUBA","2020-10-09","","17.92083333"
"SUBA","2020-10-08","","18.39166667"
"SUBA","2020-10-07","","30.21666667"
"SUBA","2020-10-06","","40.45"
"SUBA","2020-10-05","","32.43333333"
"SUBA","2020-10-04","","15.3125"
"SUBA","2020-10-03","","28.6125"
"SUBA","2020-10-02","","41.7625"
"SUBA","2020-10-01","","27.57916667"
"SUBA","2020-09-30","","29.47826087"
"SUBA","2020-09-29","","26.72173913"
"SUBA","2020-09-28","","30.02083333"
"SUBA","2020-09-27","","22.14583333"
"SUBA","2020-09-26","","26.58333333"
"SUBA","2020-09-25","","23.07916667"
"SUBA","2020-09-24","","18.95"
"SUBA","2020-09-23","","26.88181818"
"SUBA","2020-09-22","","27.47083333"
"SUBA","2020-09-21","","17.0"
"SUBA","2020-09-20","","9.52631579"
"SUBA","2020-09-19","","27.79166667"
"SUBA","2020-09-18","","30.99166667"
"SUBA","2020-09-17","","30.19583333"
"SUBA","2020-09-16","","21.3625"
"SUBA","2020-09-15","","31.10434783"
"SUBA","2020-09-14","","26.05833333"
"SUBA","2020-09-13","","18.925"
"SUBA","2020-09-12","","37.04583333"
"SUBA","2020-09-11","","39.50833333"
"SUBA","2020-09-10","","23.81818182"
"SUBA","2020-09-07","","14.26363636"
"SUBA","2020-09-06","","11.38"
"SUBA","2020-09-05","","15.21578947"
"SUBA","2020-09-04","","19.4875"
"SUBA","2020-09-03","","20.89565217"
"SUBA","2020-09-02","","13.9625"
"SUBA","2020-09-01","","19.96666667"
"SUBA","2020-08-31","","30.17272727"
"SUBA","2020-08-30","","18.93913043"
"SUBA","2020-08-29","","37.84545455"
"SUBA","2020-08-28","","26.12272727"
"SUBA","2020-08-27","","16.7"
"SUBA","2020-08-26","","27.65"
"SUBA","2020-08-25","","25.40454545"
"SUBA","2020-08-24","","15.335"
"SUBA","2020-08-23","","12.1952381"
"SUBA","2020-08-22","","17.46956522"
"SUBA","2020-08-21","","16.42916667"
"SUBA","2020-08-20","","18.75"
"SUBA","2020-08-19","","22.00416667"
"SUBA","2020-08-18","","23.11904762"
"SUBA","2020-08-17","","26.5375"
"SUBA","2020-08-16","","18.025"
"SUBA","2020-08-15","","21.35652174"
"SUBA","2020-08-14","","19.64166667"
"SUBA","2020-08-13","","18.80416667"
"SUBA","2020-08-12","","28.64347826"
"SUBA","2020-08-11","","24.2"
"SUBA","2020-08-10","","18.125"
"SUBA","2020-08-09","","15.03333333"
"SUBA","2020-08-08","","14.80833333"
"SUBA","2020-08-07","","13.83333333"
"SUBA","2020-08-06","","20.69583333"
"SUBA","2020-08-05","","22.66666667"
"SUBA","2020-08-04","","20.1375"
"SUBA","2020-08-03","","29.4375"
"SUBA","2020-08-02","","20.90833333"
"SUBA","2020-08-01","","25.62916667"
"SUBA","2020-07-31","","17.54347826"
"SUBA","2020-07-30","","20.6125"
"SUBA","2020-07-29","","26.59166667"
"SUBA","2020-07-28","","25.34166667"
"SUBA","2020-07-27","","11.1875"
"SUBA","2020-07-26","","15.2"
"SUBA","2020-07-25","","15.27083333"
"SUBA","2020-07-24","","19.875"
"SUBA","2020-07-23","","26.0875"
"SUBA","2020-07-22","","25.86666667"
"SUBA","2020-07-21","","18.94583333"
"SUBA","2020-07-20","","11.8375"
"SUBA","2020-07-19","","22.62857143"
"SUBA","2020-07-18","","28.89583333"
"SUBA","2020-07-17","","19.56666667"
"SUBA","2020-07-16","","14.64583333"
"SUBA","2020-07-15","","23.83043478"
"SUBA","2020-07-14","","18.025"
"SUBA","2020-07-13","","18.8125"
"SUBA","2020-07-12","","16.62916667"
"SUBA","2020-07-11","","20.0"
"SUBA","2020-07-10","","29.80434783"
"SUBA","2020-07-09","","19.6375"
"SUBA","2020-07-08","","24.175"
"SUBA","2020-07-07","","21.34166667"
"SUBA","2020-07-06","","22.72083333"
"SUBA","2020-07-05","","20.76666667"
