"Estacion","Fecha inicial","Fecha final","PM2.5"
"SUBA","2021-02-28","","9.34782609"
"SUBA","2021-02-27","","16.58333333"
"SUBA","2021-02-26","","14.79166667"
"SUBA","2021-02-25","","8.95"
"SUBA","2021-02-24","","15.375"
"SUBA","2021-02-23","","12.70833333"
"SUBA","2021-02-22","","10.75"
"SUBA","2021-02-21","","20.0"
"SUBA","2021-02-20","","21.58333333"
"SUBA","2021-02-19","","23.5"
"SUBA","2021-02-18","","22.70833333"
"SUBA","2021-02-17","","18.79166667"
"SUBA","2021-02-16","","19.16666667"
"SUBA","2021-02-15","","22.39130435"
"SUBA","2021-02-14","","21.20833333"
"SUBA","2021-02-13","","16.5"
"SUBA","2021-02-12","","23.625"
"SUBA","2021-02-11","","20.13043478"
"SUBA","2021-02-10","","12.33333333"
"SUBA","2021-02-09","","20.375"
"SUBA","2021-02-08","","16.125"
"SUBA","2021-02-07","","13.47826087"
"SUBA","2021-02-06","","16.79166667"
"SUBA","2021-02-05","","12.30434783"
"SUBA","2021-02-04","","16.45833333"
"SUBA","2021-02-03","","14.41666667"
"SUBA","2021-02-02","","11.70833333"
"SUBA","2021-02-01","","7.28571429"
"SUBA","2021-01-31","","14.17391304"
"SUBA","2021-01-30","","17.95833333"
"SUBA","2021-01-29","","25.70833333"
"SUBA","2021-01-28","","21.375"
"SUBA","2021-01-27","","15.04166667"
"SUBA","2021-01-26","","15.0"
"SUBA","2021-01-25","","14.77272727"
"SUBA","2021-01-24","","8.08333333"
"SUBA","2021-01-23","","8.5"
"SUBA","2021-01-22","","14.66666667"
"SUBA","2021-01-21","","22.70833333"
"SUBA","2021-01-20","","17.95833333"
"SUBA","2021-01-19","","24.82608696"
"SUBA","2021-01-18","","18.45833333"
"SUBA","2021-01-17","","17.83333333"
"SUBA","2021-01-16","","15.5"
"SUBA","2021-01-15","","17.61904762"
"SUBA","2021-01-13","","15.33333333"
"SUBA","2021-01-12","","9.25"
"SUBA","2021-01-11","","4.79166667"
"SUBA","2021-01-10","","4.9375"
"SUBA","2021-01-09","","5.75"
"SUBA","2021-01-08","","13.75"
"SUBA","2021-01-07","","11.2173913"
"SUBA","2021-01-06","","13.33333333"
"SUBA","2021-01-05","","15.95833333"
"SUBA","2021-01-04","","9.61538462"
"SUBA","2021-01-03","","4.25"
"SUBA","2021-01-02","","3.85714286"
"SUBA","2021-01-01","","2.58333333"
"SUBA","2020-12-31","","21.10526316"
"SUBA","2020-12-30","","21.15789474"
"SUBA","2020-12-29","","14.30434783"
"SUBA","2020-12-28","","12.33333333"
"SUBA","2020-12-27","","9.625"
"SUBA","2020-12-26","","10.9"
"SUBA","2020-12-25","","9.34782609"
"SUBA","2020-12-24","","14.65217391"
"SUBA","2020-12-23","","18.75"
"SUBA","2020-12-22","","18.08333333"
"SUBA","2020-12-21","","26.76923077"
"SUBA","2020-12-17","","12.6"
"SUBA","2020-12-16","","12.83333333"
