"Estacion","Fecha inicial","Fecha final","PM10"
"TRANSITORIA-NAVARRO","2018-05-29","","0.1"
"TRANSITORIA-NAVARRO","2018-05-24","","31.22222222"
"TRANSITORIA-NAVARRO","2018-05-23","","17.05833333"
"TRANSITORIA-NAVARRO","2018-05-22","","25.00666667"
"TRANSITORIA-NAVARRO","2018-05-21","","21.35454545"
"TRANSITORIA-NAVARRO","2018-05-20","","12.88333333"
"TRANSITORIA-NAVARRO","2018-05-19","","18.11666667"
"TRANSITORIA-NAVARRO","2018-05-18","","14.14583333"
"TRANSITORIA-NAVARRO","2018-05-17","","23.22083333"
"TRANSITORIA-NAVARRO","2018-05-16","","23.72916667"
"TRANSITORIA-NAVARRO","2018-05-15","","20.68333333"
"TRANSITORIA-NAVARRO","2018-05-14","","15.6"
"TRANSITORIA-NAVARRO","2018-05-13","","18.29583333"
"TRANSITORIA-NAVARRO","2018-05-12","","22.88333333"
"TRANSITORIA-NAVARRO","2018-05-11","","21.42083333"
"TRANSITORIA-NAVARRO","2018-05-10","","20.19583333"
"TRANSITORIA-NAVARRO","2018-05-09","","14.36666667"
"TRANSITORIA-NAVARRO","2018-05-08","","18.85"
"TRANSITORIA-NAVARRO","2018-05-07","","12.18181818"
"TRANSITORIA-NAVARRO","2018-05-06","","17.325"
"TRANSITORIA-NAVARRO","2018-05-05","","17.60416667"
"TRANSITORIA-NAVARRO","2018-05-04","","20.16666667"
"TRANSITORIA-NAVARRO","2018-05-03","","23.2"
"TRANSITORIA-NAVARRO","2018-05-02","","14.32307692"
"TRANSITORIA-NAVARRO","2018-05-01","","10.16666667"
"TRANSITORIA-NAVARRO","2018-04-30","","22.64"
"TRANSITORIA-NAVARRO","2018-04-27","","21.9"
"TRANSITORIA-NAVARRO","2018-04-26","","22.35833333"
"TRANSITORIA-NAVARRO","2018-04-25","","24.96315789"
"TRANSITORIA-NAVARRO","2018-04-24","","22.19166667"
"TRANSITORIA-NAVARRO","2018-04-23","","19.5625"
"TRANSITORIA-NAVARRO","2018-04-22","","22.0625"
"TRANSITORIA-NAVARRO","2018-04-21","","28.75833333"
"TRANSITORIA-NAVARRO","2018-04-20","","23.28666667"
"TRANSITORIA-NAVARRO","2018-04-18","","18.08666667"
"TRANSITORIA-NAVARRO","2018-04-17","","14.30434783"
"TRANSITORIA-NAVARRO","2018-04-16","","11.42916667"
"TRANSITORIA-NAVARRO","2018-04-15","","13.275"
"TRANSITORIA-NAVARRO","2018-04-14","","9.075"
"TRANSITORIA-NAVARRO","2018-04-13","","13.76956522"
"TRANSITORIA-NAVARRO","2018-04-12","","12.1"
"TRANSITORIA-NAVARRO","2018-04-11","","10.2875"
