"Estacion","Fecha inicial","Fecha final","PM2.5"
"TRANSITORIA-NAVARRO","2020-11-03","","35.3"
"TRANSITORIA-NAVARRO","2020-11-02","","11.79166667"
"TRANSITORIA-NAVARRO","2020-11-01","","8.0"
"TRANSITORIA-NAVARRO","2020-10-31","","11.69565217"
"TRANSITORIA-NAVARRO","2020-10-30","","7.75"
"TRANSITORIA-NAVARRO","2020-10-29","","13.29166667"
"TRANSITORIA-NAVARRO","2020-10-28","","15.83333333"
"TRANSITORIA-NAVARRO","2020-10-27","","12.41666667"
"TRANSITORIA-NAVARRO","2020-10-26","","11.75"
"TRANSITORIA-NAVARRO","2020-10-25","","9.33333333"
"TRANSITORIA-NAVARRO","2020-10-24","","11.70833333"
"TRANSITORIA-NAVARRO","2020-10-23","","11.0"
"TRANSITORIA-NAVARRO","2020-10-22","","10.04166667"
"TRANSITORIA-NAVARRO","2020-10-21","","8.20833333"
"TRANSITORIA-NAVARRO","2020-10-20","","9.625"
"TRANSITORIA-NAVARRO","2020-10-19","","5.58333333"
"TRANSITORIA-NAVARRO","2020-10-18","","13.45833333"
"TRANSITORIA-NAVARRO","2020-10-17","","12.58333333"
"TRANSITORIA-NAVARRO","2020-10-16","","17.16666667"
"TRANSITORIA-NAVARRO","2020-10-15","","12.70833333"
"TRANSITORIA-NAVARRO","2020-10-14","","14.33333333"
"TRANSITORIA-NAVARRO","2020-10-13","","10.0"
"TRANSITORIA-NAVARRO","2020-10-12","","10.66666667"
"TRANSITORIA-NAVARRO","2020-10-11","","17.54166667"
"TRANSITORIA-NAVARRO","2020-10-10","","17.91666667"
"TRANSITORIA-NAVARRO","2020-10-09","","20.41666667"
"TRANSITORIA-NAVARRO","2020-10-08","","16.08333333"
"TRANSITORIA-NAVARRO","2020-10-07","","15.33333333"
"TRANSITORIA-NAVARRO","2020-10-06","","12.125"
"TRANSITORIA-NAVARRO","2020-10-05","","11.375"
"TRANSITORIA-NAVARRO","2020-10-04","","8.625"
"TRANSITORIA-NAVARRO","2020-10-03","","11.16666667"
"TRANSITORIA-NAVARRO","2020-10-02","","16.04166667"
"TRANSITORIA-NAVARRO","2020-10-01","","18.95833333"
"TRANSITORIA-NAVARRO","2020-09-30","","13.625"
"TRANSITORIA-NAVARRO","2020-09-29","","14.91304348"
"TRANSITORIA-NAVARRO","2020-09-28","","13.375"
"TRANSITORIA-NAVARRO","2020-09-27","","21.83333333"
"TRANSITORIA-NAVARRO","2020-09-26","","12.41666667"
"TRANSITORIA-NAVARRO","2020-09-25","","13.125"
"TRANSITORIA-NAVARRO","2020-09-24","","15.33333333"
"TRANSITORIA-NAVARRO","2020-09-23","","14.95833333"
"TRANSITORIA-NAVARRO","2020-09-22","","12.41666667"
"TRANSITORIA-NAVARRO","2020-09-21","","14.75"
"TRANSITORIA-NAVARRO","2020-09-20","","17.54166667"
"TRANSITORIA-NAVARRO","2020-09-19","","19.70833333"
"TRANSITORIA-NAVARRO","2020-09-18","","11.58333333"
"TRANSITORIA-NAVARRO","2020-09-17","","13.16666667"
"TRANSITORIA-NAVARRO","2020-09-16","","10.83333333"
"TRANSITORIA-NAVARRO","2020-09-15","","14.75"
"TRANSITORIA-NAVARRO","2020-09-14","","16.41666667"
"TRANSITORIA-NAVARRO","2020-09-13","","19.79166667"
