"Estacion","Fecha inicial","Fecha final","PM10"
"TUNAL","2021-02-28","","23.86956522"
"TUNAL","2021-02-27","","44.0"
"TUNAL","2021-02-26","","38.75"
"TUNAL","2021-02-25","","23.04166667"
"TUNAL","2021-02-24","","38.25"
"TUNAL","2021-02-23","","36.91666667"
"TUNAL","2021-02-22","","34.82608696"
"TUNAL","2021-02-21","","32.91304348"
"TUNAL","2021-02-20","","44.83333333"
"TUNAL","2021-02-19","","43.75"
"TUNAL","2021-02-18","","54.09090909"
"TUNAL","2021-02-17","","48.58333333"
"TUNAL","2021-02-16","","58.33333333"
"TUNAL","2021-02-15","","49.86956522"
"TUNAL","2021-02-14","","48.5"
"TUNAL","2021-02-13","","32.60869565"
"TUNAL","2021-02-12","","53.45454545"
"TUNAL","2021-02-11","","47.45454545"
"TUNAL","2021-02-10","","38.9"
"TUNAL","2021-02-09","","48.39130435"
"TUNAL","2021-02-08","","42.13636364"
"TUNAL","2021-02-07","","26.25"
"TUNAL","2021-02-06","","39.58333333"
"TUNAL","2021-02-05","","30.04166667"
"TUNAL","2021-02-04","","42.95833333"
"TUNAL","2021-02-03","","33.33333333"
"TUNAL","2021-02-02","","30.20833333"
"TUNAL","2021-02-01","","27.0"
"TUNAL","2021-01-31","","27.52173913"
"TUNAL","2021-01-30","","45.83333333"
"TUNAL","2021-01-29","","61.125"
"TUNAL","2021-01-28","","56.25"
"TUNAL","2021-01-27","","36.91666667"
"TUNAL","2021-01-26","","42.45833333"
"TUNAL","2021-01-25","","21.34782609"
"TUNAL","2021-01-24","","17.625"
"TUNAL","2021-01-23","","20.08333333"
"TUNAL","2021-01-22","","34.5"
"TUNAL","2021-01-21","","48.5"
"TUNAL","2021-01-20","","59.68181818"
"TUNAL","2021-01-19","","65.83333333"
"TUNAL","2021-01-18","","57.875"
"TUNAL","2021-01-17","","42.7826087"
"TUNAL","2021-01-16","","47.5"
"TUNAL","2021-01-15","","69.0"
"TUNAL","2021-01-14","","63.125"
"TUNAL","2021-01-13","","44.625"
"TUNAL","2021-01-12","","20.33333333"
"TUNAL","2021-01-11","","11.375"
"TUNAL","2021-01-10","","11.04166667"
"TUNAL","2021-01-09","","15.95652174"
"TUNAL","2021-01-08","","43.81818182"
"TUNAL","2021-01-07","","29.125"
"TUNAL","2021-01-06","","40.26086957"
"TUNAL","2021-01-05","","47.16666667"
"TUNAL","2021-01-04","","36.875"
"TUNAL","2021-01-03","","17.5"
"TUNAL","2021-01-02","","23.47826087"
"TUNAL","2021-01-01","","44.34782609"
"TUNAL","2020-12-31","","51.52380952"
"TUNAL","2020-12-30","","52.47619048"
"TUNAL","2020-12-29","","63.58333333"
"TUNAL","2020-12-28","","48.375"
"TUNAL","2020-12-27","","32.125"
"TUNAL","2020-12-26","","35.20833333"
"TUNAL","2020-12-25","","37.625"
"TUNAL","2020-12-24","","38.58333333"
"TUNAL","2020-12-23","","73.54166667"
"TUNAL","2020-12-22","","39.60869565"
"TUNAL","2020-12-21","","56.0"
"TUNAL","2020-12-20","","20.75"
"TUNAL","2020-12-19","","42.125"
"TUNAL","2020-12-18","","42.54166667"
"TUNAL","2020-12-17","","33.125"
"TUNAL","2020-12-16","","36.08333333"
"TUNAL","2020-12-15","","52.56521739"
"TUNAL","2020-12-14","","45.95833333"
"TUNAL","2020-12-13","","28.70833333"
"TUNAL","2020-12-12","","48.20833333"
"TUNAL","2020-12-11","","65.125"
"TUNAL","2020-12-10","","70.95833333"
"TUNAL","2020-12-09","","57.25"
"TUNAL","2020-12-08","","52.0"
"TUNAL","2020-12-07","","56.68181818"
"TUNAL","2020-12-06","","22.625"
"TUNAL","2020-12-05","","42.25"
"TUNAL","2020-12-04","","56.23809524"
"TUNAL","2020-12-03","","60.83333333"
"TUNAL","2020-12-02","","36.04166667"
"TUNAL","2020-12-01","","44.0"
"TUNAL","2020-11-30","","33.95652174"
"TUNAL","2020-11-29","","25.7826087"
"TUNAL","2020-11-28","","42.29166667"
"TUNAL","2020-11-27","","63.33333333"
"TUNAL","2020-11-26","","70.7826087"
"TUNAL","2020-11-25","","45.0"
"TUNAL","2020-11-24","","55.52173913"
"TUNAL","2020-11-23","","54.875"
"TUNAL","2020-11-22","","39.625"
"TUNAL","2020-11-21","","43.45833333"
"TUNAL","2020-11-20","","41.2173913"
"TUNAL","2020-11-19","","46.45833333"
"TUNAL","2020-11-18","","44.91666667"
"TUNAL","2020-11-17","","42.84"
"TUNAL","2020-11-16","","24.5"
"TUNAL","2020-11-15","","45.82608696"
"TUNAL","2020-11-14","","68.54166667"
"TUNAL","2020-11-13","","39.82608696"
"TUNAL","2020-11-12","","49.31818182"
"TUNAL","2020-11-11","","33.33333333"
"TUNAL","2020-11-10","","50.16666667"
"TUNAL","2020-11-09","","51.625"
"TUNAL","2020-11-08","","55.75"
"TUNAL","2020-11-07","","57.75"
"TUNAL","2020-11-06","","75.625"
"TUNAL","2020-11-05","","44.86956522"
"TUNAL","2020-11-04","","50.58333333"
"TUNAL","2020-11-03","","56.875"
"TUNAL","2020-11-02","","43.625"
"TUNAL","2020-11-01","","33.56"
"TUNAL","2020-10-31","","48.17391304"
"TUNAL","2020-10-30","","52.25"
"TUNAL","2020-10-29","","67.45833333"
"TUNAL","2020-10-28","","52.04166667"
"TUNAL","2020-10-27","","51.91666667"
"TUNAL","2020-10-26","","60.66666667"
"TUNAL","2020-10-25","","45.29166667"
"TUNAL","2020-10-24","","29.375"
"TUNAL","2020-10-23","","24.58333333"
"TUNAL","2020-10-22","","26.30434783"
"TUNAL","2020-10-21","","28.04166667"
"TUNAL","2020-10-20","","38.70833333"
"TUNAL","2020-10-19","","45.75"
"TUNAL","2020-10-18","","22.95833333"
"TUNAL","2020-10-17","","23.72727273"
"TUNAL","2020-10-16","","26.41666667"
"TUNAL","2020-10-15","","39.71428571"
"TUNAL","2020-10-14","","36.41666667"
"TUNAL","2020-10-13","","20.54166667"
"TUNAL","2020-10-12","","14.83333333"
"TUNAL","2020-10-11","","16.41666667"
"TUNAL","2020-10-10","","24.70833333"
"TUNAL","2020-10-09","","18.79166667"
"TUNAL","2020-10-08","","20.95833333"
"TUNAL","2020-10-07","","42.5"
"TUNAL","2020-10-06","","46.875"
"TUNAL","2020-10-05","","28.86956522"
"TUNAL","2020-10-04","","13.91666667"
"TUNAL","2020-10-03","","25.58333333"
"TUNAL","2020-10-02","","38.91666667"
"TUNAL","2020-10-01","","22.45833333"
"TUNAL","2020-09-30","","19.34782609"
"TUNAL","2020-09-29","","24.08333333"
"TUNAL","2020-09-28","","34.54166667"
"TUNAL","2020-09-27","","24.95833333"
"TUNAL","2020-09-26","","53.52173913"
"TUNAL","2020-09-25","","22.91666667"
"TUNAL","2020-09-24","","16.41666667"
"TUNAL","2020-09-23","","20.33333333"
"TUNAL","2020-09-22","","44.16666667"
"TUNAL","2020-09-21","","27.16666667"
"TUNAL","2020-09-20","","22.58333333"
"TUNAL","2020-09-19","","35.73913043"
"TUNAL","2020-09-18","","59.83333333"
"TUNAL","2020-09-17","","58.5"
"TUNAL","2020-09-16","","43.70833333"
"TUNAL","2020-09-15","","46.73913043"
"TUNAL","2020-09-14","","36.33333333"
"TUNAL","2020-09-13","","17.875"
"TUNAL","2020-09-12","","35.70833333"
"TUNAL","2020-09-11","","43.29166667"
"TUNAL","2020-09-10","","41.91304348"
"TUNAL","2020-09-09","","37.91666667"
"TUNAL","2020-09-08","","40.25"
"TUNAL","2020-09-07","","37.0"
"TUNAL","2020-09-06","","18.66666667"
"TUNAL","2020-09-05","","16.70833333"
"TUNAL","2020-09-04","","18.0"
"TUNAL","2020-09-03","","27.33333333"
"TUNAL","2020-09-02","","46.70833333"
"TUNAL","2020-09-01","","29.91666667"
"TUNAL","2020-08-31","","35.13043478"
"TUNAL","2020-08-30","","31.33333333"
"TUNAL","2020-08-29","","57.70833333"
"TUNAL","2020-08-28","","30.95833333"
"TUNAL","2020-08-27","","34.25"
"TUNAL","2020-08-26","","36.95833333"
"TUNAL","2020-08-25","","53.125"
"TUNAL","2020-08-24","","30.08333333"
"TUNAL","2020-08-23","","26.875"
"TUNAL","2020-08-22","","23.26086957"
"TUNAL","2020-08-21","","27.625"
"TUNAL","2020-08-20","","34.5"
"TUNAL","2020-08-19","","48.625"
"TUNAL","2020-08-18","","65.875"
"TUNAL","2020-08-17","","39.85714286"
"TUNAL","2020-08-16","","20.66666667"
"TUNAL","2020-08-15","","23.30434783"
"TUNAL","2020-08-14","","19.70833333"
"TUNAL","2020-08-13","","18.29166667"
"TUNAL","2020-08-12","","33.875"
"TUNAL","2020-08-11","","32.29166667"
"TUNAL","2020-08-10","","17.66666667"
"TUNAL","2020-08-09","","11.45833333"
"TUNAL","2020-08-08","","12.0"
"TUNAL","2020-08-07","","12.41666667"
"TUNAL","2020-08-06","","19.70833333"
