"Estacion","Fecha inicial","Fecha final","PM2.5"
"TUNAL","2021-02-28","","10.82608696"
"TUNAL","2021-02-27","","21.08333333"
"TUNAL","2021-02-26","","17.5"
"TUNAL","2021-02-25","","8.91666667"
"TUNAL","2021-02-24","","16.91666667"
"TUNAL","2021-02-23","","18.08333333"
"TUNAL","2021-02-22","","13.0"
"TUNAL","2021-02-21","","18.04166667"
"TUNAL","2021-02-20","","19.75"
"TUNAL","2021-02-19","","23.25"
"TUNAL","2021-02-18","","22.04545455"
"TUNAL","2021-02-17","","22.79166667"
"TUNAL","2021-02-16","","26.0"
"TUNAL","2021-02-15","","23.34782609"
"TUNAL","2021-02-14","","24.33333333"
"TUNAL","2021-02-13","","14.125"
"TUNAL","2021-02-12","","23.95454545"
"TUNAL","2021-02-11","","25.2"
"TUNAL","2021-02-10","","18.95"
"TUNAL","2021-02-09","","26.13043478"
"TUNAL","2021-02-08","","15.04347826"
"TUNAL","2021-02-07","","10.79166667"
"TUNAL","2021-02-06","","15.20833333"
"TUNAL","2021-02-05","","10.83333333"
"TUNAL","2021-02-04","","15.29166667"
"TUNAL","2021-02-03","","11.79166667"
"TUNAL","2021-02-02","","12.04166667"
"TUNAL","2021-02-01","","11.125"
"TUNAL","2021-01-31","","9.43478261"
"TUNAL","2021-01-30","","15.20833333"
"TUNAL","2021-01-29","","26.33333333"
"TUNAL","2021-01-28","","25.04166667"
"TUNAL","2021-01-27","","13.29166667"
"TUNAL","2021-01-26","","18.5"
"TUNAL","2021-01-25","","10.83333333"
"TUNAL","2021-01-24","","6.25"
"TUNAL","2021-01-23","","7.66666667"
"TUNAL","2021-01-22","","15.9"
"TUNAL","2021-01-21","","15.79166667"
"TUNAL","2021-01-20","","19.0"
"TUNAL","2021-01-19","","21.04166667"
"TUNAL","2021-01-18","","19.29166667"
"TUNAL","2021-01-17","","17.375"
"TUNAL","2021-01-16","","18.79166667"
"TUNAL","2021-01-15","","26.65217391"
"TUNAL","2021-01-14","","23.20833333"
"TUNAL","2021-01-13","","12.875"
"TUNAL","2021-01-12","","5.42105263"
"TUNAL","2021-01-11","","1.875"
"TUNAL","2021-01-10","","2.25"
"TUNAL","2021-01-09","","4.70833333"
"TUNAL","2021-01-08","","15.20833333"
"TUNAL","2021-01-07","","9.41666667"
"TUNAL","2021-01-06","","15.79166667"
"TUNAL","2021-01-05","","18.875"
"TUNAL","2021-01-04","","12.0"
"TUNAL","2021-01-03","","4.875"
"TUNAL","2021-01-02","","5.54166667"
"TUNAL","2021-01-01","","25.66666667"
"TUNAL","2020-12-31","","23.13043478"
"TUNAL","2020-12-30","","20.86363636"
"TUNAL","2020-12-29","","22.54166667"
"TUNAL","2020-12-28","","14.33333333"
"TUNAL","2020-12-27","","6.79166667"
"TUNAL","2020-12-26","","9.20833333"
"TUNAL","2020-12-25","","18.04166667"
"TUNAL","2020-12-24","","13.5"
"TUNAL","2020-12-23","","24.70833333"
"TUNAL","2020-12-22","","11.125"
"TUNAL","2020-12-21","","17.54166667"
"TUNAL","2020-12-20","","3.375"
"TUNAL","2020-12-19","","16.16666667"
"TUNAL","2020-12-18","","10.375"
"TUNAL","2020-12-17","","6.79166667"
"TUNAL","2020-12-16","","9.04166667"
"TUNAL","2020-12-15","","16.95652174"
"TUNAL","2020-12-14","","12.625"
"TUNAL","2020-12-13","","6.33333333"
"TUNAL","2020-12-12","","14.58333333"
"TUNAL","2020-12-11","","24.79166667"
"TUNAL","2020-12-10","","28.125"
"TUNAL","2020-12-09","","18.16666667"
"TUNAL","2020-12-08","","20.16666667"
"TUNAL","2020-12-07","","18.47826087"
"TUNAL","2020-12-06","","4.5"
"TUNAL","2020-12-05","","14.41666667"
"TUNAL","2020-12-04","","15.95238095"
"TUNAL","2020-12-03","","20.41666667"
"TUNAL","2020-12-02","","9.04166667"
"TUNAL","2020-12-01","","15.29166667"
"TUNAL","2020-11-30","","8.91304348"
"TUNAL","2020-11-29","","6.13043478"
"TUNAL","2020-11-28","","21.25"
"TUNAL","2020-11-27","","28.20833333"
"TUNAL","2020-11-26","","27.125"
"TUNAL","2020-11-25","","17.75"
"TUNAL","2020-11-24","","23.08333333"
"TUNAL","2020-11-23","","20.79166667"
"TUNAL","2020-11-22","","14.16666667"
"TUNAL","2020-11-21","","12.79166667"
"TUNAL","2020-11-20","","17.17391304"
"TUNAL","2020-11-19","","21.125"
"TUNAL","2020-11-18","","15.41666667"
"TUNAL","2020-11-17","","16.68"
"TUNAL","2020-11-16","","12.5"
"TUNAL","2020-11-15","","23.43478261"
"TUNAL","2020-11-14","","33.08333333"
"TUNAL","2020-11-13","","23.36363636"
"TUNAL","2020-11-12","","23.375"
"TUNAL","2020-11-11","","17.08333333"
"TUNAL","2020-11-10","","27.25"
"TUNAL","2020-11-09","","23.83333333"
"TUNAL","2020-11-08","","25.83333333"
"TUNAL","2020-11-07","","24.54166667"
"TUNAL","2020-11-06","","32.16666667"
"TUNAL","2020-11-05","","20.04347826"
"TUNAL","2020-11-04","","22.95833333"
"TUNAL","2020-11-03","","21.58333333"
"TUNAL","2020-11-02","","18.54166667"
"TUNAL","2020-11-01","","14.0"
"TUNAL","2020-10-31","","21.47826087"
"TUNAL","2020-10-30","","19.66666667"
"TUNAL","2020-10-29","","25.86956522"
"TUNAL","2020-10-28","","20.79166667"
"TUNAL","2020-10-27","","26.125"
"TUNAL","2020-10-26","","26.04166667"
"TUNAL","2020-10-25","","20.0"
"TUNAL","2020-10-24","","11.54166667"
"TUNAL","2020-10-23","","5.54166667"
"TUNAL","2020-10-22","","6.66666667"
"TUNAL","2020-10-21","","7.33333333"
"TUNAL","2020-10-20","","11.33333333"
"TUNAL","2020-10-19","","15.91666667"
"TUNAL","2020-10-18","","6.625"
"TUNAL","2020-10-17","","6.91304348"
"TUNAL","2020-10-16","","6.25"
"TUNAL","2020-10-15","","14.71428571"
"TUNAL","2020-10-14","","11.08333333"
"TUNAL","2020-10-13","","4.54166667"
"TUNAL","2020-10-12","","4.08333333"
"TUNAL","2020-10-11","","3.95833333"
"TUNAL","2020-10-10","","7.91666667"
"TUNAL","2020-10-09","","4.79166667"
"TUNAL","2020-10-08","","4.625"
"TUNAL","2020-10-07","","16.20833333"
"TUNAL","2020-10-06","","15.375"
"TUNAL","2020-10-05","","10.27272727"
"TUNAL","2020-10-04","","3.08333333"
"TUNAL","2020-10-03","","7.66666667"
"TUNAL","2020-10-02","","10.625"
"TUNAL","2020-10-01","","6.08333333"
"TUNAL","2020-09-30","","4.91304348"
"TUNAL","2020-09-29","","5.54166667"
"TUNAL","2020-09-28","","9.54166667"
"TUNAL","2020-09-27","","8.75"
"TUNAL","2020-09-26","","18.875"
"TUNAL","2020-09-25","","7.125"
"TUNAL","2020-09-24","","4.29166667"
"TUNAL","2020-09-23","","5.66666667"
"TUNAL","2020-09-22","","13.45833333"
"TUNAL","2020-09-21","","8.75"
"TUNAL","2020-09-20","","8.125"
"TUNAL","2020-09-19","","15.875"
"TUNAL","2020-09-18","","23.45833333"
"TUNAL","2020-09-17","","23.70833333"
"TUNAL","2020-09-16","","18.66666667"
"TUNAL","2020-09-15","","16.08695652"
"TUNAL","2020-09-14","","11.66666667"
"TUNAL","2020-09-13","","4.54166667"
"TUNAL","2020-09-12","","10.16666667"
"TUNAL","2020-09-11","","18.91666667"
"TUNAL","2020-09-10","","14.375"
"TUNAL","2020-09-09","","10.54166667"
"TUNAL","2020-09-08","","13.75"
"TUNAL","2020-09-07","","11.70833333"
"TUNAL","2020-09-06","","4.54166667"
"TUNAL","2020-09-05","","4.75"
"TUNAL","2020-09-04","","4.375"
"TUNAL","2020-09-03","","9.58333333"
"TUNAL","2020-09-02","","17.375"
"TUNAL","2020-09-01","","9.875"
"TUNAL","2020-08-31","","10.95652174"
"TUNAL","2020-08-30","","12.0"
"TUNAL","2020-08-29","","22.70833333"
"TUNAL","2020-08-28","","9.625"
"TUNAL","2020-08-27","","11.08333333"
"TUNAL","2020-08-26","","12.125"
"TUNAL","2020-08-25","","17.20833333"
"TUNAL","2020-08-24","","6.41666667"
"TUNAL","2020-08-23","","8.25"
"TUNAL","2020-08-22","","6.45833333"
"TUNAL","2020-08-21","","8.91666667"
"TUNAL","2020-08-20","","10.16666667"
"TUNAL","2020-08-19","","15.66666667"
"TUNAL","2020-08-18","","28.16666667"
"TUNAL","2020-08-17","","17.52380952"
"TUNAL","2020-08-16","","6.66666667"
"TUNAL","2020-08-15","","4.69565217"
"TUNAL","2020-08-14","","4.70833333"
"TUNAL","2020-08-13","","3.125"
"TUNAL","2020-08-12","","10.08333333"
"TUNAL","2020-08-11","","6.95833333"
"TUNAL","2020-08-10","","5.79166667"
"TUNAL","2020-08-09","","4.45833333"
"TUNAL","2020-08-08","","2.08333333"
"TUNAL","2020-08-07","","4.04166667"
"TUNAL","2020-08-06","","5.875"
"TUNAL","2020-08-05","","5.58333333"
"TUNAL","2020-08-04","","4.625"
"TUNAL","2020-08-03","","5.58333333"
"TUNAL","2020-08-02","","3.58333333"
"TUNAL","2020-08-01","","6.91666667"
"TUNAL","2020-07-31","","7.34782609"
"TUNAL","2020-07-30","","4.125"
"TUNAL","2020-07-29","","5.45833333"
"TUNAL","2020-07-28","","7.91304348"
"TUNAL","2020-07-27","","3.78947368"
"TUNAL","2020-07-26","","2.08333333"
"TUNAL","2020-07-25","","5.91666667"
"TUNAL","2020-07-24","","5.56521739"
"TUNAL","2020-07-23","","11.79166667"
"TUNAL","2020-07-22","","15.16666667"
"TUNAL","2020-07-21","","5.65217391"
"TUNAL","2020-07-20","","5.4"
"TUNAL","2020-07-19","","5.5"
"TUNAL","2020-07-18","","3.75"
"TUNAL","2020-07-17","","5.54166667"
"TUNAL","2020-07-16","","4.91666667"
"TUNAL","2020-07-15","","5.13043478"
"TUNAL","2020-07-14","","2.875"
"TUNAL","2020-07-13","","7.04166667"
"TUNAL","2020-07-12","","12.45833333"
"TUNAL","2020-07-11","","11.125"
"TUNAL","2020-07-10","","7.66666667"
"TUNAL","2020-07-09","","3.91666667"
"TUNAL","2020-07-08","","10.81818182"
"TUNAL","2020-07-07","","5.625"
"TUNAL","2020-07-06","","8.875"
"TUNAL","2020-07-05","","14.20833333"
"TUNAL","2020-07-04","","6.56521739"
