"Estacion","Fecha inicial","Fecha final","PM10"
"UNIVERSIDAD DEL VALLE","2021-06-28","","12.8"
"UNIVERSIDAD DEL VALLE","2021-06-27","","11.51666667"
"UNIVERSIDAD DEL VALLE","2021-06-26","","13.31666667"
"UNIVERSIDAD DEL VALLE","2021-06-25","","14.02083333"
"UNIVERSIDAD DEL VALLE","2021-06-24","","12.91666667"
"UNIVERSIDAD DEL VALLE","2021-06-23","","14.91304348"
"UNIVERSIDAD DEL VALLE","2021-06-22","","13.53529412"
"UNIVERSIDAD DEL VALLE","2021-06-21","","11.10416667"
"UNIVERSIDAD DEL VALLE","2021-06-20","","7.6375"
"UNIVERSIDAD DEL VALLE","2021-06-19","","11.55833333"
"UNIVERSIDAD DEL VALLE","2021-06-18","","13.81666667"
"UNIVERSIDAD DEL VALLE","2021-06-17","","13.84583333"
"UNIVERSIDAD DEL VALLE","2021-06-16","","13.75"
"UNIVERSIDAD DEL VALLE","2021-06-15","","6.12916667"
"UNIVERSIDAD DEL VALLE","2021-06-14","","13.91666667"
"UNIVERSIDAD DEL VALLE","2021-06-13","","11.125"
"UNIVERSIDAD DEL VALLE","2021-06-12","","12.3875"
"UNIVERSIDAD DEL VALLE","2021-06-11","","16.06153846"
"UNIVERSIDAD DEL VALLE","2021-05-24","","6.42727273"
"UNIVERSIDAD DEL VALLE","2021-05-23","","6.12916667"
"UNIVERSIDAD DEL VALLE","2021-05-22","","9.02916667"
"UNIVERSIDAD DEL VALLE","2021-05-21","","10.05"
"UNIVERSIDAD DEL VALLE","2021-05-20","","8.85"
"UNIVERSIDAD DEL VALLE","2021-05-19","","10.59583333"
"UNIVERSIDAD DEL VALLE","2021-05-18","","6.56666667"
"UNIVERSIDAD DEL VALLE","2021-05-17","","5.04166667"
"UNIVERSIDAD DEL VALLE","2021-05-16","","4.2625"
"UNIVERSIDAD DEL VALLE","2021-05-15","","8.57083333"
"UNIVERSIDAD DEL VALLE","2021-05-14","","7.375"
"UNIVERSIDAD DEL VALLE","2021-05-13","","8.2875"
"UNIVERSIDAD DEL VALLE","2021-05-12","","10.33333333"
"UNIVERSIDAD DEL VALLE","2021-05-11","","12.44583333"
"UNIVERSIDAD DEL VALLE","2021-05-10","","25.0875"
"UNIVERSIDAD DEL VALLE","2021-05-09","","10.89166667"
"UNIVERSIDAD DEL VALLE","2021-05-08","","6.95"
"UNIVERSIDAD DEL VALLE","2021-05-07","","10.10416667"
"UNIVERSIDAD DEL VALLE","2021-05-06","","15.20833333"
"UNIVERSIDAD DEL VALLE","2021-05-05","","14.175"
"UNIVERSIDAD DEL VALLE","2021-05-04","","8.99166667"
"UNIVERSIDAD DEL VALLE","2021-05-03","","5.1625"
"UNIVERSIDAD DEL VALLE","2021-05-02","","5.39166667"
"UNIVERSIDAD DEL VALLE","2021-05-01","","4.62916667"
"UNIVERSIDAD DEL VALLE","2021-04-30","","7.41666667"
"UNIVERSIDAD DEL VALLE","2021-04-29","","9.37391304"
"UNIVERSIDAD DEL VALLE","2021-04-28","","8.2"
"UNIVERSIDAD DEL VALLE","2021-04-27","","11.35"
"UNIVERSIDAD DEL VALLE","2021-04-26","","10.5375"
"UNIVERSIDAD DEL VALLE","2021-04-25","","14.02916667"
"UNIVERSIDAD DEL VALLE","2021-04-24","","11.96666667"
"UNIVERSIDAD DEL VALLE","2021-04-23","","10.82916667"
"UNIVERSIDAD DEL VALLE","2021-04-22","","14.1625"
"UNIVERSIDAD DEL VALLE","2021-04-21","","11.12916667"
"UNIVERSIDAD DEL VALLE","2021-04-20","","10.125"
"UNIVERSIDAD DEL VALLE","2021-04-19","","6.44166667"
"UNIVERSIDAD DEL VALLE","2021-04-18","","6.27777778"
"UNIVERSIDAD DEL VALLE","2021-04-16","","11.7"
"UNIVERSIDAD DEL VALLE","2021-04-15","","20.56666667"
"UNIVERSIDAD DEL VALLE","2021-04-14","","14.44166667"
"UNIVERSIDAD DEL VALLE","2021-04-13","","16.35"
"UNIVERSIDAD DEL VALLE","2021-04-12","","19.20416667"
"UNIVERSIDAD DEL VALLE","2021-04-11","","15.78636364"
"UNIVERSIDAD DEL VALLE","2021-04-10","","12.8"
"UNIVERSIDAD DEL VALLE","2021-04-09","","11.2"
"UNIVERSIDAD DEL VALLE","2021-04-08","","19.26666667"
"UNIVERSIDAD DEL VALLE","2021-04-07","","26.95416667"
"UNIVERSIDAD DEL VALLE","2021-04-06","","8.42083333"
"UNIVERSIDAD DEL VALLE","2021-04-05","","7.22916667"
"UNIVERSIDAD DEL VALLE","2021-04-04","","6.425"
"UNIVERSIDAD DEL VALLE","2021-04-03","","12.94583333"
"UNIVERSIDAD DEL VALLE","2021-04-02","","10.0875"
"UNIVERSIDAD DEL VALLE","2021-04-01","","10.48333333"
"UNIVERSIDAD DEL VALLE","2021-03-31","","14.59166667"
"UNIVERSIDAD DEL VALLE","2021-03-30","","15.85833333"
"UNIVERSIDAD DEL VALLE","2021-03-29","","13.525"
"UNIVERSIDAD DEL VALLE","2021-03-28","","13.6625"
"UNIVERSIDAD DEL VALLE","2021-03-27","","14.2375"
"UNIVERSIDAD DEL VALLE","2021-03-26","","11.16666667"
"UNIVERSIDAD DEL VALLE","2021-03-25","","13.37916667"
"UNIVERSIDAD DEL VALLE","2021-03-24","","11.07916667"
"UNIVERSIDAD DEL VALLE","2021-03-23","","9.35"
