"Estacion","Fecha inicial","Fecha final","PM2.5"
"UNIVERSIDAD DEL VALLE","2021-04-24","","16.625"
"UNIVERSIDAD DEL VALLE","2021-04-23","","15.54166667"
"UNIVERSIDAD DEL VALLE","2021-04-22","","20.25"
"UNIVERSIDAD DEL VALLE","2021-04-21","","15.45833333"
"UNIVERSIDAD DEL VALLE","2021-04-20","","12.875"
"UNIVERSIDAD DEL VALLE","2021-04-19","","8.58333333"
"UNIVERSIDAD DEL VALLE","2021-04-18","","4.375"
"UNIVERSIDAD DEL VALLE","2021-04-16","","14.61904762"
"UNIVERSIDAD DEL VALLE","2021-04-15","","24.0"
"UNIVERSIDAD DEL VALLE","2021-04-14","","17.45833333"
"UNIVERSIDAD DEL VALLE","2021-04-13","","19.25"
"UNIVERSIDAD DEL VALLE","2021-04-12","","22.91666667"
"UNIVERSIDAD DEL VALLE","2021-04-11","","18.0952381"
"UNIVERSIDAD DEL VALLE","2021-04-10","","14.83333333"
"UNIVERSIDAD DEL VALLE","2021-04-09","","14.54166667"
"UNIVERSIDAD DEL VALLE","2021-04-08","","23.45833333"
"UNIVERSIDAD DEL VALLE","2021-04-07","","32.04166667"
"UNIVERSIDAD DEL VALLE","2021-04-06","","12.375"
"UNIVERSIDAD DEL VALLE","2021-04-05","","11.41666667"
"UNIVERSIDAD DEL VALLE","2021-04-04","","10.66666667"
"UNIVERSIDAD DEL VALLE","2021-04-03","","17.45833333"
"UNIVERSIDAD DEL VALLE","2021-04-02","","12.95833333"
"UNIVERSIDAD DEL VALLE","2021-04-01","","12.625"
"UNIVERSIDAD DEL VALLE","2021-03-31","","17.20833333"
"UNIVERSIDAD DEL VALLE","2021-03-30","","19.625"
"UNIVERSIDAD DEL VALLE","2021-03-29","","16.375"
"UNIVERSIDAD DEL VALLE","2021-03-28","","14.95833333"
"UNIVERSIDAD DEL VALLE","2021-03-27","","17.34782609"
"UNIVERSIDAD DEL VALLE","2021-03-26","","13.25"
"UNIVERSIDAD DEL VALLE","2021-03-25","","16.70833333"
"UNIVERSIDAD DEL VALLE","2021-03-24","","13.33333333"
"UNIVERSIDAD DEL VALLE","2021-03-23","","12.58333333"
"UNIVERSIDAD DEL VALLE","2021-03-22","","8.66666667"
"UNIVERSIDAD DEL VALLE","2021-03-21","","14.58333333"
"UNIVERSIDAD DEL VALLE","2021-03-20","","13.75"
"UNIVERSIDAD DEL VALLE","2021-03-19","","14.83333333"
"UNIVERSIDAD DEL VALLE","2021-03-18","","9.0"
"UNIVERSIDAD DEL VALLE","2021-03-17","","19.5"
"UNIVERSIDAD DEL VALLE","2021-03-16","","16.16666667"
"UNIVERSIDAD DEL VALLE","2021-03-15","","13.375"
"UNIVERSIDAD DEL VALLE","2021-03-14","","15.875"
"UNIVERSIDAD DEL VALLE","2021-03-13","","13.95833333"
"UNIVERSIDAD DEL VALLE","2021-03-12","","12.29166667"
"UNIVERSIDAD DEL VALLE","2021-03-11","","9.29166667"
"UNIVERSIDAD DEL VALLE","2021-03-10","","10.125"
"UNIVERSIDAD DEL VALLE","2021-03-09","","16.29166667"
"UNIVERSIDAD DEL VALLE","2021-03-08","","13.83333333"
"UNIVERSIDAD DEL VALLE","2021-03-07","","19.5"
"UNIVERSIDAD DEL VALLE","2021-03-06","","16.70833333"
"UNIVERSIDAD DEL VALLE","2021-03-05","","10.45833333"
"UNIVERSIDAD DEL VALLE","2021-03-04","","6.33333333"
"UNIVERSIDAD DEL VALLE","2021-03-03","","7.5"
"UNIVERSIDAD DEL VALLE","2021-03-02","","10.45833333"
"UNIVERSIDAD DEL VALLE","2021-03-01","","9.45833333"
"UNIVERSIDAD DEL VALLE","2021-02-28","","10.65217391"
"UNIVERSIDAD DEL VALLE","2021-02-27","","9.625"
"UNIVERSIDAD DEL VALLE","2021-02-26","","12.2173913"
"UNIVERSIDAD DEL VALLE","2021-02-25","","20.66666667"
"UNIVERSIDAD DEL VALLE","2021-02-24","","20.08333333"
"UNIVERSIDAD DEL VALLE","2021-02-23","","10.875"
"UNIVERSIDAD DEL VALLE","2021-02-22","","9.29166667"
"UNIVERSIDAD DEL VALLE","2021-02-21","","7.875"
"UNIVERSIDAD DEL VALLE","2021-02-20","","14.66666667"
"UNIVERSIDAD DEL VALLE","2021-02-19","","10.63636364"
"UNIVERSIDAD DEL VALLE","2021-02-18","","5.25"
"UNIVERSIDAD DEL VALLE","2021-02-17","","9.70833333"
"UNIVERSIDAD DEL VALLE","2021-02-16","","13.33333333"
"UNIVERSIDAD DEL VALLE","2021-02-15","","10.75"
"UNIVERSIDAD DEL VALLE","2021-02-14","","10.79166667"
"UNIVERSIDAD DEL VALLE","2021-02-13","","10.29166667"
"UNIVERSIDAD DEL VALLE","2021-02-12","","10.79166667"
"UNIVERSIDAD DEL VALLE","2021-02-11","","10.04166667"
"UNIVERSIDAD DEL VALLE","2021-02-10","","6.75"
"UNIVERSIDAD DEL VALLE","2021-02-09","","14.54166667"
"UNIVERSIDAD DEL VALLE","2021-02-08","","15.66666667"
"UNIVERSIDAD DEL VALLE","2021-02-07","","14.29166667"
"UNIVERSIDAD DEL VALLE","2021-02-06","","15.25"
"UNIVERSIDAD DEL VALLE","2021-02-05","","16.41666667"
"UNIVERSIDAD DEL VALLE","2021-02-04","","15.25"
"UNIVERSIDAD DEL VALLE","2021-02-03","","8.75"
"UNIVERSIDAD DEL VALLE","2021-01-26","","14.0"
