"Estacion","Fecha inicial","Fecha final","PM10"
"USAQUEN","2021-02-28","","10.24117647"
"USAQUEN","2021-02-27","","12.03888889"
"USAQUEN","2021-02-26","","13.19565217"
"USAQUEN","2021-02-25","","10.55"
"USAQUEN","2021-02-24","","11.9625"
"USAQUEN","2021-02-23","","13.7375"
"USAQUEN","2021-02-22","","9.51333333"
"USAQUEN","2021-02-21","","17.6625"
"USAQUEN","2021-02-20","","18.06190476"
"USAQUEN","2021-02-19","","16.20833333"
"USAQUEN","2021-02-18","","20.07272727"
"USAQUEN","2021-02-17","","24.4625"
"USAQUEN","2021-02-16","","22.22916667"
"USAQUEN","2021-02-15","","17.76086957"
"USAQUEN","2021-02-14","","16.87727273"
"USAQUEN","2021-02-13","","13.84736842"
"USAQUEN","2021-02-12","","18.29090909"
"USAQUEN","2021-02-11","","18.075"
"USAQUEN","2021-02-10","","15.64090909"
"USAQUEN","2021-02-09","","21.65714286"
"USAQUEN","2021-02-08","","14.01111111"
"USAQUEN","2021-02-07","","11.58333333"
"USAQUEN","2021-02-06","","11.13333333"
"USAQUEN","2021-02-05","","8.425"
"USAQUEN","2021-02-04","","19.64090909"
"USAQUEN","2021-02-03","","12.16363636"
"USAQUEN","2021-02-02","","10.325"
"USAQUEN","2021-02-01","","6.775"
"USAQUEN","2021-01-31","","10.79130435"
"USAQUEN","2021-01-30","","17.67916667"
"USAQUEN","2021-01-29","","24.815"
"USAQUEN","2021-01-28","","31.10416667"
"USAQUEN","2021-01-27","","14.2"
"USAQUEN","2021-01-26","","10.4625"
"USAQUEN","2021-01-25","","7.56956522"
"USAQUEN","2021-01-24","","6.23181818"
"USAQUEN","2021-01-23","","5.43157895"
"USAQUEN","2021-01-22","","15.54210526"
"USAQUEN","2021-01-21","","23.07142857"
"USAQUEN","2021-01-20","","19.2047619"
"USAQUEN","2021-01-19","","27.08333333"
"USAQUEN","2021-01-18","","18.87826087"
"USAQUEN","2021-01-17","","14.89"
"USAQUEN","2021-01-16","","23.91578947"
"USAQUEN","2021-01-15","","29.23"
"USAQUEN","2021-01-14","","25.35909091"
"USAQUEN","2021-01-13","","13.39583333"
"USAQUEN","2021-01-12","","3.9952381"
"USAQUEN","2021-01-11","","3.6375"
"USAQUEN","2021-01-10","","3.34583333"
"USAQUEN","2021-01-09","","4.225"
"USAQUEN","2021-01-08","","9.80434783"
"USAQUEN","2021-01-07","","10.47619048"
"USAQUEN","2021-01-06","","13.34117647"
"USAQUEN","2021-01-05","","14.85833333"
"USAQUEN","2021-01-04","","13.52916667"
"USAQUEN","2021-01-03","","4.40416667"
"USAQUEN","2021-01-02","","4.52083333"
"USAQUEN","2021-01-01","","6.05"
"USAQUEN","2020-12-31","","21.72631579"
"USAQUEN","2020-12-30","","25.54761905"
"USAQUEN","2020-12-29","","17.14166667"
"USAQUEN","2020-12-28","","18.47272727"
"USAQUEN","2020-12-24","","9.79"
"USAQUEN","2020-12-23","","26.08333333"
"USAQUEN","2020-12-22","","16.80952381"
"USAQUEN","2020-12-21","","18.36666667"
"USAQUEN","2020-12-20","","5.05454545"
"USAQUEN","2020-12-19","","10.0125"
"USAQUEN","2020-12-18","","12.03333333"
"USAQUEN","2020-12-17","","6.25625"
"USAQUEN","2020-12-16","","9.73125"
"USAQUEN","2020-12-15","","16.36842105"
"USAQUEN","2020-12-14","","11.87"
"USAQUEN","2020-12-13","","8.82"
"USAQUEN","2020-12-12","","17.68"
"USAQUEN","2020-12-11","","20.56842105"
"USAQUEN","2020-12-10","","31.51904762"
"USAQUEN","2020-12-09","","15.01818182"
"USAQUEN","2020-12-08","","11.87272727"
"USAQUEN","2020-12-07","","11.50416667"
"USAQUEN","2020-12-06","","7.005"
"USAQUEN","2020-12-05","","6.5625"
"USAQUEN","2020-12-04","","9.61666667"
"USAQUEN","2020-12-03","","11.40416667"
"USAQUEN","2020-12-02","","5.37916667"
"USAQUEN","2020-12-01","","8.84347826"
"USAQUEN","2020-11-30","","5.36956522"
"USAQUEN","2020-11-29","","5.72916667"
"USAQUEN","2020-11-28","","13.15909091"
"USAQUEN","2020-11-27","","22.93157895"
"USAQUEN","2020-11-26","","28.32083333"
"USAQUEN","2020-11-25","","18.2047619"
"USAQUEN","2020-11-24","","21.11363636"
"USAQUEN","2020-11-23","","15.2047619"
"USAQUEN","2020-11-22","","19.63888889"
"USAQUEN","2020-11-21","","13.60869565"
"USAQUEN","2020-11-20","","12.35789474"
"USAQUEN","2020-11-19","","18.00869565"
"USAQUEN","2020-11-18","","15.91428571"
"USAQUEN","2020-11-17","","15.6625"
"USAQUEN","2020-11-16","","12.98333333"
"USAQUEN","2020-11-15","","16.65652174"
"USAQUEN","2020-11-14","","22.825"
"USAQUEN","2020-11-13","","15.18181818"
"USAQUEN","2020-11-12","","15.47142857"
"USAQUEN","2020-11-11","","11.82222222"
"USAQUEN","2020-11-10","","25.02916667"
"USAQUEN","2020-11-09","","21.03333333"
"USAQUEN","2020-11-08","","22.03636364"
"USAQUEN","2020-11-07","","25.30416667"
"USAQUEN","2020-11-06","","35.87916667"
"USAQUEN","2020-11-05","","18.68695652"
"USAQUEN","2020-11-04","","21.875"
"USAQUEN","2020-11-03","","16.77272727"
"USAQUEN","2020-11-02","","21.07058824"
"USAQUEN","2020-11-01","","11.336"
"USAQUEN","2020-10-31","","15.76153846"
"USAQUEN","2020-10-30","","20.16842105"
"USAQUEN","2020-10-29","","18.88888889"
"USAQUEN","2020-10-28","","18.62"
"USAQUEN","2020-10-27","","22.4"
"USAQUEN","2020-10-26","","29.21428571"
"USAQUEN","2020-10-25","","22.96666667"
"USAQUEN","2020-10-24","","8.3375"
"USAQUEN","2020-10-23","","4.1952381"
"USAQUEN","2020-10-22","","6.60526316"
"USAQUEN","2020-10-21","","5.80909091"
"USAQUEN","2020-10-20","","15.2875"
"USAQUEN","2020-10-19","","15.44166667"
"USAQUEN","2020-10-18","","5.4375"
"USAQUEN","2020-10-17","","6.62916667"
"USAQUEN","2020-10-16","","7.99166667"
"USAQUEN","2020-10-15","","7.635"
"USAQUEN","2020-10-14","","15.41"
"USAQUEN","2020-10-13","","3.41818182"
"USAQUEN","2020-10-12","","3.81904762"
"USAQUEN","2020-10-11","","4.625"
"USAQUEN","2020-10-10","","7.4125"
"USAQUEN","2020-10-09","","3.67083333"
"USAQUEN","2020-04-15","","24.04444444"
"USAQUEN","2020-04-14","","20.11578947"
"USAQUEN","2020-04-13","","23.48695652"
"USAQUEN","2020-04-12","","13.35217391"
"USAQUEN","2020-04-11","","6.91578947"
"USAQUEN","2020-04-10","","9.97222222"
"USAQUEN","2020-04-09","","6.18"
"USAQUEN","2020-04-06","","11.47"
"USAQUEN","2020-04-05","","9.78695652"
