"Estacion","Fecha inicial","Fecha final","PM2.5"
"USAQUEN","2021-02-28","","3.77142857"
"USAQUEN","2021-02-27","","7.82916667"
"USAQUEN","2021-02-26","","6.75416667"
"USAQUEN","2021-02-25","","4.33181818"
"USAQUEN","2021-02-24","","6.16315789"
"USAQUEN","2021-02-23","","7.23333333"
"USAQUEN","2021-02-22","","5.6625"
"USAQUEN","2021-02-21","","13.2952381"
"USAQUEN","2021-02-20","","13.65833333"
"USAQUEN","2021-02-19","","11.35"
"USAQUEN","2021-02-18","","11.02272727"
"USAQUEN","2021-02-17","","10.56"
"USAQUEN","2021-02-16","","11.87368421"
"USAQUEN","2021-02-15","","7.61111111"
"USAQUEN","2021-02-14","","12.29166667"
"USAQUEN","2021-02-13","","9.525"
"USAQUEN","2021-02-12","","12.83157895"
"USAQUEN","2021-02-11","","11.1625"
"USAQUEN","2021-02-10","","7.11111111"
"USAQUEN","2021-02-09","","14.79583333"
"USAQUEN","2021-02-08","","7.775"
"USAQUEN","2021-02-07","","5.925"
"USAQUEN","2021-02-06","","5.85833333"
"USAQUEN","2021-02-05","","4.065"
"USAQUEN","2021-02-04","","10.165"
"USAQUEN","2021-02-03","","4.93333333"
"USAQUEN","2021-02-02","","3.92631579"
"USAQUEN","2021-02-01","","4.00526316"
"USAQUEN","2021-01-31","","3.58333333"
"USAQUEN","2021-01-30","","9.80434783"
"USAQUEN","2021-01-29","","14.86363636"
"USAQUEN","2021-01-28","","12.08"
"USAQUEN","2021-01-27","","5.15714286"
"USAQUEN","2021-01-26","","3.605"
"USAQUEN","2021-01-25","","3.80416667"
"USAQUEN","2021-01-24","","3.75416667"
"USAQUEN","2021-01-23","","3.0125"
"USAQUEN","2021-01-22","","4.03684211"
"USAQUEN","2021-01-21","","13.1125"
"USAQUEN","2021-01-20","","14.57083333"
"USAQUEN","2021-01-19","","15.97619048"
"USAQUEN","2021-01-18","","12.23913043"
"USAQUEN","2021-01-17","","11.02"
"USAQUEN","2021-01-16","","18.10869565"
"USAQUEN","2021-01-15","","19.52727273"
"USAQUEN","2021-01-14","","12.36363636"
"USAQUEN","2021-01-13","","2.94761905"
"USAQUEN","2021-01-12","","1.015"
"USAQUEN","2021-01-11","","1.24166667"
"USAQUEN","2021-01-10","","1.30416667"
"USAQUEN","2021-01-09","","2.84583333"
"USAQUEN","2021-01-08","","5.08333333"
"USAQUEN","2021-01-07","","6.53181818"
"USAQUEN","2021-01-06","","9.74166667"
"USAQUEN","2021-01-05","","6.99166667"
"USAQUEN","2021-01-04","","3.19090909"
"USAQUEN","2021-01-03","","2.66666667"
"USAQUEN","2021-01-02","","1.85416667"
"USAQUEN","2021-01-01","","4.03181818"
"USAQUEN","2020-12-31","","18.10909091"
"USAQUEN","2020-12-30","","18.52272727"
"USAQUEN","2020-12-29","","7.55555556"
"USAQUEN","2020-12-28","","4.26666667"
"USAQUEN","2020-12-27","","7.5"
"USAQUEN","2020-12-26","","6.46666667"
"USAQUEN","2020-12-25","","12.7875"
"USAQUEN","2020-12-24","","9.92857143"
"USAQUEN","2020-12-23","","3.4"
"USAQUEN","2020-12-22","","6.9125"
"USAQUEN","2020-12-21","","7.2"
"USAQUEN","2020-12-20","","3.74166667"
"USAQUEN","2020-12-19","","5.75"
"USAQUEN","2020-12-18","","4.42916667"
"USAQUEN","2020-12-17","","3.31428571"
"USAQUEN","2020-12-16","","7.87083333"
"USAQUEN","2020-12-15","","8.74090909"
"USAQUEN","2020-12-14","","8.42083333"
