"Estacion","Fecha inicial","Fecha final","PM10"
"""USME""","2021-02-28","","19.29565217"
"""USME""","2021-02-27","","30.95416667"
"""USME""","2021-02-26","","29.7625"
"""USME""","2021-02-25","","24.37083333"
"""USME""","2021-02-24","","42.99166667"
"""USME""","2021-02-23","","35.3"
"""USME""","2021-02-22","","31.8875"
"""USME""","2021-02-21","","32.75"
"""USME""","2021-02-20","","38.8125"
"""USME""","2021-02-19","","36.68333333"
"""USME""","2021-02-18","","53.22916667"
"""USME""","2021-02-17","","52.2"
"""USME""","2021-02-16","","61.735"
"""USME""","2021-02-15","","47.19565217"
"""USME""","2021-02-14","","49.54583333"
"""USME""","2021-02-13","","35.29166667"
"""USME""","2021-02-12","","41.16666667"
"""USME""","2021-02-11","","49.95833333"
"""USME""","2021-02-10","","42.075"
"""USME""","2021-02-09","","56.82380952"
"""USME""","2021-02-08","","35.18333333"
"""USME""","2021-02-07","","36.97916667"
"""USME""","2021-02-06","","38.14166667"
"""USME""","2021-02-05","","33.32916667"
"""USME""","2021-02-04","","45.97916667"
"""USME""","2021-02-03","","37.83478261"
"""USME""","2021-02-02","","37.47083333"
"""USME""","2021-02-01","","34.71666667"
"""USME""","2021-01-31","","42.86956522"
"""USME""","2021-01-30","","51.3125"
"""USME""","2021-01-29","","57.86363636"
"""USME""","2021-01-28","","58.99583333"
"""USME""","2021-01-27","","41.275"
"""USME""","2021-01-26","","39.3"
"""USME""","2021-01-25","","22.10833333"
"""USME""","2021-01-24","","22.15833333"
"""USME""","2021-01-23","","24.45"
"""USME""","2021-01-22","","45.625"
"""USME""","2021-01-21","","49.97916667"
"""USME""","2021-01-20","","46.47894737"
"""USME""","2021-01-19","","56.12"
"""USME""","2021-01-18","","52.95416667"
"""USME""","2021-01-17","","42.42083333"
"""USME""","2021-01-16","","58.64583333"
"""USME""","2021-01-15","","72.42608696"
"""USME""","2021-01-14","","59.82916667"
"""USME""","2021-01-13","","39.17916667"
"""USME""","2021-01-12","","21.41666667"
"""USME""","2021-01-11","","15.47916667"
"""USME""","2021-01-10","","12.9875"
"""USME""","2021-01-09","","16.95416667"
"""USME""","2021-01-08","","35.41666667"
"""USME""","2021-01-07","","27.90416667"
"""USME""","2021-01-06","","30.4"
"""USME""","2021-01-05","","39.17916667"
"""USME""","2021-01-04","","33.5625"
"""USME""","2021-01-03","","14.49166667"
"""USME""","2021-01-02","","15.42916667"
"""USME""","2021-01-01","","38.48333333"
"""USME""","2020-12-31","","40.87391304"
"""USME""","2020-12-30","","45.84166667"
"""USME""","2020-12-29","","38.54583333"
"""USME""","2020-12-28","","41.39583333"
"""USME""","2020-12-27","","21.94166667"
"""USME""","2020-12-26","","29.0875"
"""USME""","2020-12-25","","36.14166667"
"""USME""","2020-12-24","","25.0"
"""USME""","2020-12-23","","33.69583333"
"""USME""","2020-12-22","","32.75"
"""USME""","2020-12-21","","30.33333333"
"""USME""","2020-12-20","","16.975"
"""USME""","2020-12-19","","28.40833333"
"""USME""","2020-12-18","","29.53333333"
"""USME""","2020-12-17","","23.575"
"""USME""","2020-12-16","","27.7"
"""USME""","2020-12-15","","39.7"
"""USME""","2020-12-14","","29.47727273"
"""USME""","2020-12-13","","23.18"
"""USME""","2020-12-12","","35.9"
"""USME""","2020-12-11","","51.99583333"
"""USME""","2020-12-10","","54.87142857"
"""USME""","2020-12-09","","29.54166667"
"""USME""","2020-12-08","","26.4"
"""USME""","2020-12-07","","20.76666667"
"""USME""","2020-12-06","","12.52916667"
"""USME""","2020-12-05","","19.33333333"
"""USME""","2020-12-04","","23.38333333"
"""USME""","2020-12-03","","27.05833333"
"""USME""","2020-12-02","","15.55"
"""USME""","2020-12-01","","20.16666667"
"""USME""","2020-11-30","","15.00434783"
"""USME""","2020-11-29","","13.24583333"
"""USME""","2020-11-28","","21.62173913"
"""USME""","2020-11-27","","40.4375"
"""USME""","2020-11-26","","44.55416667"
"""USME""","2020-11-25","","23.57083333"
"""USME""","2020-11-24","","34.1375"
"""USME""","2020-11-23","","24.03478261"
"""USME""","2020-11-22","","23.425"
"""USME""","2020-11-21","","23.94782609"
"""USME""","2020-11-20","","23.77391304"
"""USME""","2020-11-19","","33.00416667"
"""USME""","2020-11-18","","30.45833333"
"""USME""","2020-11-17","","34.32"
"""USME""","2020-11-16","","14.7625"
"""USME""","2020-11-15","","28.825"
"""USME""","2020-11-14","","45.28333333"
"""USME""","2020-11-13","","22.5125"
