"Estacion","Fecha inicial","Fecha final","PM2.5"
"""USME""","2021-02-28","","5.27391304"
"""USME""","2021-02-27","","9.40833333"
"""USME""","2021-02-26","","8.53333333"
"""USME""","2021-02-25","","5.82916667"
"""USME""","2021-02-24","","14.60416667"
"""USME""","2021-02-23","","11.77083333"
"""USME""","2021-02-22","","7.29166667"
"""USME""","2021-02-21","","15.25"
"""USME""","2021-02-20","","15.43333333"
"""USME""","2021-02-19","","18.475"
"""USME""","2021-02-18","","20.89166667"
"""USME""","2021-02-17","","17.27916667"
"""USME""","2021-02-16","","24.02727273"
"""USME""","2021-02-15","","16.17391304"
"""USME""","2021-02-14","","21.36666667"
"""USME""","2021-02-13","","12.53333333"
"""USME""","2021-02-12","","15.2"
"""USME""","2021-02-11","","23.01666667"
"""USME""","2021-02-10","","15.75833333"
"""USME""","2021-02-09","","23.77368421"
"""USME""","2021-02-08","","7.08333333"
"""USME""","2021-02-07","","7.28333333"
"""USME""","2021-02-06","","9.9625"
"""USME""","2021-02-05","","6.19583333"
"""USME""","2021-02-04","","10.42916667"
"""USME""","2021-02-03","","8.23913043"
"""USME""","2021-02-02","","8.30416667"
"""USME""","2021-02-01","","9.35416667"
"""USME""","2021-01-31","","8.27391304"
"""USME""","2021-01-30","","13.65"
"""USME""","2021-01-29","","18.82727273"
"""USME""","2021-01-28","","20.475"
"""USME""","2021-01-27","","7.69166667"
"""USME""","2021-01-26","","8.67083333"
"""USME""","2021-01-25","","3.81666667"
"""USME""","2021-01-24","","4.13333333"
"""USME""","2021-01-23","","4.48333333"
"""USME""","2021-01-22","","13.3875"
"""USME""","2021-01-21","","12.125"
"""USME""","2021-01-20","","11.51578947"
"""USME""","2021-01-19","","17.47"
"""USME""","2021-01-18","","12.81666667"
"""USME""","2021-01-17","","13.55416667"
"""USME""","2021-01-16","","21.35416667"
"""USME""","2021-01-15","","25.75652174"
"""USME""","2021-01-14","","17.66666667"
"""USME""","2021-01-13","","5.57916667"
"""USME""","2021-01-12","","2.725"
"""USME""","2021-01-11","","2.3375"
"""USME""","2021-01-10","","1.6875"
"""USME""","2021-01-09","","2.19583333"
"""USME""","2021-01-08","","11.725"
"""USME""","2021-01-07","","5.43333333"
"""USME""","2021-01-06","","9.8875"
"""USME""","2021-01-05","","14.075"
"""USME""","2021-01-04","","6.50833333"
"""USME""","2021-01-03","","3.1125"
"""USME""","2021-01-02","","3.575"
"""USME""","2021-01-01","","21.375"
"""USME""","2020-12-31","","17.92173913"
"""USME""","2020-12-30","","20.24583333"
"""USME""","2020-12-29","","17.5875"
"""USME""","2020-12-28","","10.35416667"
"""USME""","2020-12-27","","4.2375"
"""USME""","2020-12-26","","5.95"
"""USME""","2020-12-25","","21.61666667"
"""USME""","2020-12-24","","6.64166667"
"""USME""","2020-12-23","","10.04166667"
"""USME""","2020-12-22","","8.29583333"
"""USME""","2020-12-21","","4.4625"
"""USME""","2020-12-20","","3.13333333"
"""USME""","2020-12-19","","8.1375"
"""USME""","2020-12-18","","4.80416667"
"""USME""","2020-12-17","","4.47916667"
"""USME""","2020-12-16","","4.45416667"
"""USME""","2020-12-15","","11.61304348"
"""USME""","2020-12-14","","4.85454545"
"""USME""","2020-12-13","","5.185"
"""USME""","2020-12-12","","13.725"
"""USME""","2020-12-11","","18.42083333"
"""USME""","2020-12-10","","24.01333333"
